AU,Indicator,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Court Doc Storage,Revenue,542884,1252826,2596169,2597793,2630109,2672596,2903903,2718001,2466797,2314958,2074549,2374036
Court Automation,Revenue,1227703,1593253,2628251,2619676,2646855,2648330,2825949,2726929,2305091,2087469,1999331,1917314
Operations and  Administration ,Revenue,,,123249,247488,269303,334659,454552,495079,187085,141346,316097,103991
Child Support Maintenance,Revenue,352173,534412,630235,438164,234841,325675,354876,310157,308813,350320,278917,278583
Electronic ( E ) Citation Fee,Revenue,,,,,,,181976,266922,251818,218775,221291,173977
SAO Records Automation,Revenue,,,,,,,,,9323,14532,20173,15774
Crime Lab,Revenue,52347,62306,70551,66260,60265,39558,26143,20918,135966,64100,52081,37601
Law Library,Revenue,323222,412465,481640,484178,548954,598858,535034,514159,433830,410325,345732,345833
Probation Services,Revenue,770839,673832,693839,594622,631522,703748,892425,894948,1100389,1025822,1210539,1069365
Drug Court  and MICAP,Revenue,,,377872,511848,530334,475980,614562,663486,601334,484231,391987,282194
Arrestee's Medical Costs,Revenue,170945,120420,92933,65585,60487,56970,61711,65256,72380,62220,53925,41946
Children's Waiting  Room Fee,Revenue,85253,96385,109663,108340,123571,137499,123002,115751,97840,91163,78634,77583
Neutral Site  Custody Exchange,Revenue,246439,254186,291888,287879,329352,367856,328121,310463,260757,243058,209717,207113
Court Fees,Revenue,13642361,10167288,9015708,10179718,9873365,10514307,10105709,9628407,8887804,8457613,7926077,7118509
Traffic Fines,Revenue,,5490154,6545238,10005407,10483260,9612511,9134716,8045567,7389411,7039296,7282035,6646022
Court Security Fees,Revenue,1168013,853382,833944,1117690,1320892,1434463,1353511,1289944,1120946,1026067,887899,847627
Psychological  Services,Revenue,211037,205872,253905,238008,190971,220075,209600,199104,190200,165373,163691,192081
State's Attorney Fines and Fees,Revenue,2377561,2274820,2702852,3549843,3382994,3419399,2627090,2386658,2379756,2258921,1920029,1749643
Circuit Court Probation,Revenue,1113157,1147451,1150138,1049081,62797,52290,69515,97712,121840,125862,166091,144025
DUI Evaluation,Revenue,,,,965358,847032,794392,794153,747969,753327,621531,649452,624516
Sheriff Work Release Program,Revenue,139731,147189,165619,182214,154097,154354,180553,155784,177858,161757,176983,224159
Sheriff Fees,Revenue,1056178,1170029,1343725,1625477,1899458,2061890,1541758,2433084,2650790,2211305,1704090,1403117
Court Doc Storage,Expenditure,539743,903132,1410385,1972158,2412907,2503780,2612508,2525160,2045143,2151799,2800098,2651573
Court Automation,Expenditure,782187,1671708,2159881,2266940,2051311,1800971,2117323,2534502,2384842,2500404,2142099,1621147
Operations and  Administration ,Expenditure,,,127225,32480,108658,183656,728491,243111,7766,355273,120319,380403
Child Support Maintenance,Expenditure,404510,456161,691284,405891,193457,195439,256218,351999,507922,384202,300947,275884
Electronic ( E ) Citation Fee,Expenditure,,,,,,,,188866,186222,221818,267196,340832
SAO Records Automation,Expenditure,,,,,,,,,2249,5254,13959,1253
Crime Lab,Expenditure,46690,43075,66713,78287,25412,24955,23777,69032,55305,84401,88986,80375
Law Library,Expenditure,278758,306914,305210,331911,386220,468231,481821,461838,537018,495993,507726,466092
Probation Services,Expenditure,551533,451013,644326,577905,773837,812730,643588,675460,536195,530506,505535,686587
Drug Court  and MICAP,Expenditure,,,81890,332241,614971,656016,674154,763773,489419,481787,350266,245617
Arrestee's Medical Costs,Expenditure,200000,180000,20000,2034,39418,904,100000,150000,,199000,,80000
Children's Waiting  Room Fee,Expenditure,66164,71253,74902,75000,97322,79392,70055,108372,77178,92850,109582,105039
Neutral Site  Custody Exchange,Expenditure,234588,245996,233916,228823,249346,229082,245894,289449,258214,175987,208106,144339
Court Fees,Expenditure,,,,,,,,,,,,
Traffic Fines,Expenditure,,,,,,,,,,,,
Court Security Fees,Expenditure,,,,,,,,,,,,
Psychological  Services,Expenditure,,,,,,,,,,,,
State's Attorney Fines and Fees,Expenditure,,,,,,,,,,,,
Circuit Court Probation,Expenditure,,,,,,,,,,,,
DUI Evaluation,Expenditure,,,,,,,,,,,,
Sheriff Work Release Program,Expenditure,,,,,,,,,,,,
Sheriff Fees,Expenditure,,,,,,,,,,,,
