concept,aggregation_method,base_period,color,concept_type,description,development_relevance,domain,drill_up,general_comments,indicator_url,license_type,limitations_and_exceptions,long_definition,name,notes_from_original_source,other_notes,periodicity,related_indicators,related_source_links,scales,series_code,short_definition,source,source_url,statistical_concept_and_methodology,tags,topic,unit,unit_of_measure
2_alpha_code,,,,string,,,,,,,,,,2-alpha code,,,,,,,,,,,,,,,
aggregation_method,,,,string,,,,,,,,,,Aggregation method,,,,,,,,,,,,,,,
balance_of_payments_manual_in_use,,,,string,,,,,,,,,,Balance of Payments Manual in use,,,,,,,,,,,,,,,
base_period,,,,string,,,,,,,,,,Base Period,,,,,,,,,,,,,,,
color,,,,string,,,,,,,,,,Color,,,,,,,,,,,,_none,,,
country,,,,entity_set,,,geo,"[""world_6region"", ""income_groups"", ""landlocked"", ""g77_and_oecd_countries"", ""main_religion_2008"", ""world_4region"", ""unicef_region"", ""un_sdg_ldc"", ""un_sdg_region""]",,,,,,Country,,,,,,,,,,,,categorizations,,,
currency_unit,,,,string,,,,,,,,,,Currency Unit,,,,,,,,,,,,,,,
description,,,,string,,,,,,,,,,Description,,,,,,,,,,,,_none,,,
development_relevance,,,,string,,,,,,,,,,Development relevance,,,,,,,,,,,,,,,
domain,,,,string,,,,,,,,,,Domain,,,,,,,,,,,,_none,,,
drill_up,,,,string,,,,,,,,,,drill ups,,,,,,,,,,,,_none,,,
external_debt_reporting_status,,,,string,,,,,,,,,,External debt Reporting status,,,,,,,,,,,,,,,
format,,,,string,value formatter settings: add 'format' concept property to your measures then use 'percent' to add % sign or 'share' to multiply x100 and add a % sign,,,,,,,,,Format,,,,,,,,,,,,_none,,,
g77_and_oecd_countries,,,"{""palette"": {""others"": ""#f05656"", ""oecd"": ""#71c44c"", ""g77"": ""#7487ef""}}",entity_set,,,geo,,,https://docs.google.com/spreadsheet/pub?key=tVI_UCwI1enCk4p61fWxUig,,,,G77 and OECD countries,,,,,,,,,,,,categorizations,,,
general_comments,,,,string,,,,,,,,,,General comments,,,,,,,,,,,,,,,
geo,,,,entity_domain,,,,,,,,,,Geographic location,,,,,,,,,,,,_none,,,
global,,,,entity_set,,,geo,,,,,,,World,,,,,,,,,,,,_none,,,
government_accounting_concept,,,,string,,,,,,,,,,Government Accounting concept,,,,,,,,,,,,,,,
imf_data_dissemination_standard,,,,string,,,,,,,,,,IMF data dissemination standard,,,,,,,,,,,,,,,
income_3groups,,,,entity_set,,,geo,,,,,,,Income Groups (3 levels),,,,,,,,,,,,categorizations,,,
income_groups,,,"{""palette"": {""upper_middle_income"": ""#a7cb7d"", ""lower_middle_income"": ""#7ea1d1"", ""high_income"": ""#7bc135"", ""low_income"": ""#4366f4""}}",entity_set,,,geo,,,https://docs.google.com/spreadsheet/pub?key=phT4mwjvEuGCSmAe5aq7HKw,,,,Income groups,,,,,,,,,,,,categorizations,,,
indicator_url,,,,string,,,,,,,,,,Indicator url,,,,,,,,,,,,_none,,,
iso3166_1_alpha2,,,,string,,,,,,http://www.iso.org/iso/home/standards/country_codes.htm,,,,ISO 3166-1 alpha-2,,,,,,,,,,,,_none,,,
iso3166_1_alpha3,,,,string,,,,,,http://www.iso.org/iso/home/standards/country_codes.htm,,,,ISO 3166-1 alpha-3,,,,,,,,,,,,_none,,,
