geo,time,gc_ast_totl_cn
afg,2006,2579600000
afg,2007,3671660514.31
afg,2008,-709286344.6382
afg,2009,8334394392.32955
afg,2010,18630167247.1193
afg,2011,9950913878.40644
afg,2012,22073425868.0769
afg,2013,859041028.2
afg,2014,-19517892763.8438
afg,2015,-10230477028.66
afg,2016,10769602186.9
afg,2017,9637608088.50998
ago,1999,576193333.2
ago,2000,9895719003
ago,2001,4941248293
ago,2002,17925244003
ago,2003,11374569019
ago,2004,187329000000
ago,2005,25013772866
ago,2006,774424000000
ago,2007,809060000000
ago,2008,535215000000
ago,2009,-551234000000
ago,2010,-131194000000
ago,2011,943834000000
ago,2012,561351000000
ago,2013,-179184000000
ago,2014,-447364509895.76001
ago,2015,74927356838.84979
ago,2016,2333571232250.58008
ago,2017,2763777267150.14014
alb,1995,1346000000
alb,1996,435647000
alb,1997,2211312000
alb,1998,4199009000
alb,2002,-3298300000
alb,2003,-5929130000
alb,2004,-16871010000
alb,2011,1732000000
alb,2012,3999200000
alb,2013,8045230000
alb,2014,1476460000
alb,2015,4848100000
alb,2016,6002100000
alb,2017,21421990000
alb,2018,31713800000
alb,2019,-11017490000
are,2011,-3288105086.98998
are,2012,-18114192617.74
are,2013,-28130714593
are,2014,-1235431533.82999
are,2015,12432692582.95
are,2016,12303696434.0099
are,2017,8594315806.17123
are,2018,4947860412.50919
are,2019,-4306315041.88
arg,2002,-5547400000
arg,2003,12189185827.94
arg,2004,6714071262.55
arg,2014,88897200000
arg,2015,23949100000
arg,2016,71961500000
arg,2017,146877200000
arg,2018,819597400000
arg,2019,-828753641010.23999
arm,2004,24263394932.8
arm,2005,-2940607323
arm,2006,25110292947
arm,2007,46857684619
arm,2008,49393261299.9999
arm,2009,192743390610
arm,2010,-47179340430.16
arm,2011,2340629946.3597
arm,2012,64139840327
arm,2013,71803592273.39999
arm,2014,-1728917474.38531
arm,2015,28687166976
arm,2016,131575392072.2
arm,2017,52902145609.5
arm,2018,97944363689.39999
arm,2019,198879593390.60001
aus,1972,0
aus,1973,0
aus,1974,0
aus,1975,0
aus,1976,0
aus,1977,0
aus,1978,0
aus,1979,0
aus,1980,0
aus,1981,0
aus,1982,0
aus,1983,0
aus,1984,0
aus,1985,0
aus,1986,0
aus,1987,0
aus,1988,0
aus,1989,0
aus,1990,-1221000000
aus,1991,-1559000000
aus,1992,-2060000000
aus,1993,-2535000000
aus,1994,-3365000000
aus,1995,-1483000000
aus,1996,-5198000000
aus,1997,-7340000000
aus,1998,-15209000000
aus,1999,-1766000000
aus,2000,4712000000
aus,2005,12361000000
aus,2006,15701000000
aus,2007,18977000000
aus,2008,25499000000
aus,2009,25670000000
aus,2010,-563000000
aus,2011,1665000000
aus,2012,6382000000
aus,2013,14253000000
aus,2014,24283000000
aus,2015,18009000000
aus,2016,19449000000
