geo,time,dc_dac_poll_cd
afg,2005,330000.01311
afg,2006,550000.01192
afg,2007,1809999.94278
afg,2008,1889999.98569
afg,2009,6340000.15259
afg,2010,6780000.20981
afg,2011,9430000.30518
afg,2012,9069999.69482
afg,2013,3430000.06676
afg,2014,1289999.96185
afg,2015,550000.01192
afg,2016,519999.98093
afg,2017,620000.00477
afg,2018,610000.01431
afg,2019,800000.01192
ago,2005,180000.00715
ago,2006,92349998.47412
ago,2007,490000.00954
ago,2008,6869999.88556
ago,2009,7329999.92371
ago,2010,1370000.00477
ago,2011,-100000.00149
ago,2012,-239999.99464
ago,2013,40439998.62671
ago,2014,14449999.80927
ago,2015,13840000.15259
ago,2016,4329999.92371
ago,2017,-1970000.02861
ago,2018,-1889999.98569
ago,2019,-2119999.88556
alb,2005,189999.99762
alb,2007,409999.99642
alb,2008,460000.00834
alb,2009,209999.99344
alb,2010,430000.00715
alb,2011,59999.99866
alb,2012,100000.00149
alb,2013,140000.0006
alb,2014,119999.99732
alb,2015,109999.9994
alb,2016,59999.99866
alb,2017,29999.99933
alb,2018,39999.99911
alb,2019,289999.99166
arg,2005,59999.99866
arg,2006,19999.99955
arg,2007,50000.00075
arg,2008,19999.99955
arg,2009,19999.99955
arg,2010,9999.99978
arg,2011,9999.99978
arg,2012,19999.99955
arg,2013,19999.99955
arg,2014,9999.99978
arg,2015,0
arg,2016,0
arg,2017,9999.99978
arg,2018,19999.99955
arg,2019,39999.99911
arm,2005,100000.00149
arm,2006,170000.00179
arm,2007,209999.99344
arm,2008,500000
arm,2009,509999.99046
arm,2010,560000.00238
arm,2011,1120000.00477
arm,2012,460000.00834
arm,2013,569999.99285
arm,2014,330000.01311
arm,2015,349999.99404
arm,2016,170000.00179
arm,2017,270000.01073
arm,2018,439999.99762
arm,2019,180000.00715
aze,2005,29999.99933
aze,2006,129999.99523
aze,2007,469999.99881
aze,2008,330000.01311
aze,2009,219999.99881
aze,2010,180000.00715
aze,2011,400000.00596
aze,2012,430000.00715
aze,2013,300000.01192
aze,2014,159999.99642
aze,2015,129999.99523
aze,2016,50000.00075
aze,2017,569999.99285
aze,2018,1360000.01431
aze,2019,79999.99821
bdi,2006,29999.99933
bdi,2007,9999.99978
bdi,2008,9999.99978
bdi,2011,90000.00358
bdi,2012,140000.0006
bdi,2013,150000.00596
bdi,2014,150000.00596
bdi,2015,9999.99978
bdi,2018,0
bdi,2019,19999.99955
ben,2007,9999.99978
ben,2008,9999.99978
ben,2015,9999.99978
ben,2018,19999.99955
ben,2019,9999.99978
bfa,2007,39999.99911
bfa,2008,19999.99955
bfa,2009,50000.00075
bfa,2011,209999.99344
bfa,2013,9999.99978
bfa,2014,9999.99978
bfa,2015,19999.99955
bgd,2005,9999.99978
bgd,2006,19999.99955
bgd,2007,300000.01192
bgd,2008,70000.0003
bgd,2009,50000.00075
bgd,2010,50000.00075
bgd,2011,29999.99933
bgd,2012,9999.99978
bgd,2013,9999.99978
bgd,2014,19999.99955
bgd,2015,9999.99978
bgd,2016,0
bgd,2017,119999.99732
bgd,2018,79999.99821
bih,2005,9999.99978
bih,2006,159999.99642
bih,2007,79999.99821
bih,2009,9999.99978
bih,2010,9999.99978
bih,2011,25909999.84741
bih,2012,1679999.94755
bih,2013,-1240000.00954
bih,2014,-1230000.01907
bih,2015,-1220000.02861
bih,2016,-1220000.02861
bih,2017,-1240000.00954
bih,2018,-1289999.96185
bih,2019,-1159999.96662
blr,2005,3980000.01907
blr,2006,6769999.98093
blr,2007,14930000.30518
blr,2008,18309999.46594
blr,2009,15500000
blr,2010,15090000.15259
blr,2011,21209999.08447
blr,2012,15909999.84741
blr,2013,21120000.83923
blr,2014,20020000.45776
blr,2015,18770000.45776
blr,2016,19180000.30518
blr,2017,33009998.32153
blr,2018,34150001.52588
blr,2019,39139999.38965
blz,2017,0
bol,2007,9999.99978
bol,2009,39999.99911
bol,2010,29999.99933
bol,2011,79999.99821
bol,2012,79999.99821
bol,2013,100000.00149
bol,2014,70000.0003
bol,2015,59999.99866
bol,2016,19999.99955
bol,2019,0
bra,2005,140000.0006
bra,2006,50000.00075
bra,2007,200000.00298
bra,2008,150000.00596
bra,2009,109999.9994
bra,2010,70000.0003
bra,2011,79999.99821
bra,2012,79999.99821
bra,2013,70000.0003
bra,2014,119999.99732
bra,2015,90000.00358
bra,2016,79999.99821
bra,2017,39999.99911
bra,2018,70000.0003
bra,2019,720000.02861
btn,2007,9999.99978
btn,2019,0
bwa,2008,59999.99866
bwa,2014,19999.99955
bwa,2019,9999.99978
caf,2017,0
caf,2018,159999.99642
chl,2011,9999.99978
chl,2012,9999.99978
chl,2015,0
chl,2016,0
chl,2017,9999.99978
chn,2005,5340000.15259
chn,2006,509999.99046
chn,2007,67209999.08447
chn,2008,18559999.46594
chn,2009,31159999.84741
chn,2010,45229999.54224
chn,2011,-1129999.99523
chn,2012,45709999.08447
chn,2013,13850000.38147
chn,2014,-13359999.65668
chn,2015,-16739999.77112
chn,2016,-16799999.23706
chn,2017,-16750000
chn,2018,-16639999.38965
chn,2019,-11340000.15259
civ,2017,50000.00075
civ,2019,9999.99978
cmr,2005,70000.0003
cmr,2006,50000.00075
cmr,2007,119999.99732
cmr,2008,180000.00715
cmr,2009,129999.99523
cmr,2010,109999.9994
cmr,2011,159999.99642
cmr,2012,59999.99866
cmr,2013,39999.99911
cmr,2014,19999.99955
cmr,2015,9999.99978
cmr,2018,50000.00075
cmr,2019,200000.00298
cod,2005,59999.99866
cod,2006,140000.0006
cod,2007,90000.00358
cod,2008,300000.01192
cod,2009,59999.99866
cod,2010,50000.00075
cod,2011,70000.0003
cod,2012,19999.99955
cod,2013,50000.00075
cod,2014,9999.99978
cod,2015,9999.99978
cod,2016,9999.99978
cod,2017,29999.99933
cod,2018,70000.0003
cod,2019,70000.0003
cog,2006,19999.99955
cog,2007,109999.9994
cog,2008,50000.00075
cog,2009,109999.9994
cog,2010,39999.99911
cog,2011,50000.00075
cog,2012,19999.99955
cog,2013,19999.99955
cog,2014,29999.99933
cog,2015,0
cog,2017,29999.99933
cog,2018,39999.99911
cog,2019,79999.99821
col,2005,9999.99978
col,2007,9999.99978
col,2008,9999.99978
col,2009,19999.99955
col,2010,19999.99955
col,2011,39999.99911
col,2012,19999.99955
col,2013,29999.99933
col,2014,29999.99933
col,2015,39999.99911
col,2016,100000.00149
col,2017,140000.0006
col,2018,289999.99166
col,2019,379999.99523
com,2019,0
cpv,2008,9999.99978
cpv,2015,0
cpv,2016,9999.99978
cpv,2017,9999.99978
cpv,2018,19999.99955
cpv,2019,50000.00075
cri,2009,9999.99978
cri,2015,0
cri,2016,0
cri,2019,9999.99978
