geo,time,dc_dac_chel_cd
abw,1998,9999.99978
afg,1965,9999.99978
afg,1967,9999.99978
afg,1968,9999.99978
afg,1969,19999.99955
afg,1970,19999.99955
afg,1972,70000.0003
afg,1973,50000.00075
afg,1974,39999.99911
afg,1975,209999.99344
afg,1976,340000.00358
afg,1977,540000.02146
afg,1978,670000.01669
afg,1979,579999.98331
afg,1980,200000.00298
afg,1981,29999.99933
afg,1982,9999.99978
afg,1988,4780000.20981
afg,1989,1809999.94278
afg,1990,2009999.99046
afg,1991,2740000.00954
afg,1992,3930000.06676
afg,1993,1500000
afg,1994,1600000.02384
afg,1995,3410000.08583
afg,1996,1460000.03815
afg,1997,2190000.05722
afg,1998,3299999.95232
afg,1999,2740000.00954
afg,2000,5110000.13351
afg,2001,7469999.79019
afg,2002,13300000.19073
afg,2003,15039999.96185
afg,2004,18809999.46594
afg,2005,17670000.07629
afg,2006,17579999.92371
afg,2007,19690000.53406
afg,2008,15789999.96185
afg,2009,20030000.68665
afg,2010,17659999.84741
afg,2011,23760000.22888
afg,2012,28360000.61035
afg,2013,27770000.45776
afg,2014,32069999.69482
afg,2015,34990001.67847
afg,2016,32490001.67847
afg,2017,28350000.38147
afg,2018,33740001.67847
afg,2019,31350000.38147
ago,1969,19999.99955
ago,1970,19999.99955
ago,1971,19999.99955
ago,1972,39999.99911
ago,1973,100000.00149
ago,1974,59999.99866
ago,1975,889999.98569
ago,1976,300000.01192
ago,1977,170000.00179
ago,1978,140000.0006
ago,1979,129999.99523
ago,1980,150000.00596
ago,1981,100000.00149
ago,1982,200000.00298
ago,1983,180000.00715
ago,1984,1490000.00954
ago,1985,839999.97377
ago,1986,1309999.94278
ago,1987,800000.01192
ago,1988,1730000.01907
ago,1989,2339999.91417
ago,1990,4199999.80927
ago,1991,1850000.02384
ago,1992,1700000.04768
ago,1993,2759999.99046
ago,1994,3930000.06676
ago,1995,3619999.88556
ago,1996,7690000.05722
ago,1997,5739999.77112
ago,1998,5170000.07629
ago,1999,5780000.20981
ago,2000,3490000.00954
ago,2001,4320000.17166
ago,2002,5909999.84741
ago,2003,6900000.09537
ago,2004,7099999.90463
ago,2005,5110000.13351
ago,2006,3509999.99046
ago,2007,1620000.00477
ago,2008,1379999.99523
ago,2009,670000.01669
ago,2010,400000.00596
ago,2011,589999.97377
ago,2012,419999.98689
ago,2013,1230000.01907
ago,2014,150000.00596
ago,2015,39999.99911
ago,2016,740000.00954
ago,2017,560000.00238
ago,2018,460000.00834
ago,2019,50000.00075
alb,1990,19999.99955
alb,1991,509999.99046
alb,1992,1500000
alb,1993,3440000.05722
alb,1994,6380000.11444
alb,1995,11930000.30518
alb,1996,12430000.30518
alb,1997,4210000.03815
alb,1998,3630000.11444
alb,1999,17979999.54224
alb,2000,7000000
alb,2001,5800000.19073
alb,2002,9409999.84741
alb,2003,10579999.92371
alb,2004,7340000.15259
alb,2005,9569999.69482
alb,2006,9300000.19073
alb,2007,7909999.84741
alb,2008,14720000.26703
alb,2009,12460000.03815
alb,2010,14199999.80927
alb,2011,12659999.84741
alb,2012,11260000.22888
alb,2013,28309999.46594
alb,2014,26950000.76294
alb,2015,22290000.91553
alb,2016,21459999.08447
alb,2017,22020000.45776
alb,2018,16600000.38147
alb,2019,30610000.61035
arg,1963,1059999.94278
arg,1964,1159999.96662
arg,1965,629999.99523
arg,1966,1070000.05245
arg,1967,-779999.97139
arg,1968,-870000.00477
arg,1969,59999.99866
arg,1970,19999.99955
arg,1971,29999.99933
arg,1972,29999.99933
arg,1973,29999.99933
arg,1974,9999.99978
arg,1977,19999.99955
arg,1978,340000.00358
arg,1979,189999.99762
arg,1980,219999.99881
arg,1981,310000.00238
arg,1982,19999.99955
arg,1983,9999.99978
arg,1984,109999.9994
arg,1985,19999.99955
arg,1986,59999.99866
arg,1987,200000.00298
arg,1988,150000.00596
arg,1989,250000
arg,1990,150000.00596
arg,1991,100000.00149
arg,1992,119999.99732
arg,1993,419999.98689
arg,1994,319999.99285
arg,1995,239999.99464
arg,1996,250000
arg,1997,109999.9994
arg,1998,159999.99642
arg,1999,209999.99344
arg,2000,200000.00298
arg,2001,170000.00179
arg,2002,119999.99732
arg,2003,280000.00119
