geo,time,sh_xpd_ghed_gd_zs
afg,2002,0.08418
afg,2003,0.65096
afg,2004,0.54293
afg,2005,0.52918
afg,2006,0.49784
afg,2007,0.55995
afg,2008,0.6278
afg,2009,0.5319
afg,2010,0.46916
afg,2011,0.48
afg,2012,0.34289
afg,2013,0.44336
afg,2014,0.47266
afg,2015,0.52267
afg,2016,0.60013
afg,2017,0.64313
afg,2018,0.54922
afg,2019,1.08443
ago,2000,1.11099
ago,2001,2.04631
ago,2002,1.30863
ago,2003,1.4656
ago,2004,1.68663
ago,2005,1.27876
ago,2006,1.44412
ago,2007,1.72199
ago,2008,2.13844
ago,2009,2.60046
ago,2010,1.6741
ago,2011,1.71322
ago,2012,1.56334
ago,2013,1.69517
ago,2014,1.31816
ago,2015,1.23424
ago,2016,1.19754
ago,2017,1.29187
ago,2018,1.06878
ago,2019,1.04435
alb,2000,2.76583
alb,2001,2.75328
alb,2002,2.58867
alb,2003,2.67035
alb,2004,2.82083
alb,2005,2.66532
alb,2006,2.55931
alb,2007,2.43571
alb,2008,2.27126
alb,2009,2.33806
alb,2010,2.37874
alb,2011,2.36556
alb,2012,2.45519
alb,2013,2.57776
alb,2014,2.59362
alb,2015,2.73135
alb,2016,2.80371
alb,2017,2.67507
alb,2018,2.82499
and,2000,3.90049
and,2001,3.81792
and,2002,4.07068
and,2003,3.63835
and,2004,3.36862
and,2005,3.73282
and,2006,3.06836
and,2007,3.03697
and,2008,3.80029
and,2009,4.27247
and,2010,4.57286
and,2011,4.06563
and,2012,4.06955
and,2013,4.11721
and,2014,4.18242
and,2015,4.33484
and,2016,4.35636
and,2017,4.59379
and,2018,4.5867
and,2019,4.66368
are,2000,1.63413
are,2001,1.91322
are,2002,1.66402
are,2003,1.62155
are,2004,1.40601
are,2005,1.31882
are,2006,1.33256
are,2007,1.50539
are,2008,1.8716
are,2009,2.98415
are,2010,2.74825
are,2011,2.6579
are,2012,2.48481
are,2013,2.58594
are,2014,2.57659
are,2015,2.55335
are,2016,2.49996
are,2017,2.22512
are,2018,2.13816
are,2019,2.23576
arg,2000,4.49895
arg,2001,4.5921
arg,2002,4.0335
arg,2003,3.77216
arg,2004,3.74438
arg,2005,3.9134
arg,2006,4.01899
arg,2007,4.25492
arg,2008,4.50853
arg,2009,5.66982
arg,2010,5.56835
arg,2011,5.68118
arg,2012,6.13486
arg,2013,6.22042
arg,2014,6.3273
arg,2015,6.82437
arg,2016,5.59119
arg,2017,6.59936
arg,2018,5.9358
arg,2019,5.93056
arm,2000,0.95468
arm,2001,1.33908
arm,2002,1.17184
arm,2003,1.20636
arm,2004,1.29411
arm,2005,1.47841
arm,2006,1.58641
arm,2007,1.61389
arm,2008,1.48813
arm,2009,1.81169
arm,2010,1.68629
arm,2011,1.67286
arm,2012,1.57817
arm,2013,1.37566
arm,2014,1.50548
arm,2015,1.61021
arm,2016,1.63734
arm,2017,1.37251
arm,2018,1.23468
arm,2019,1.40615
atg,2000,2.71552
atg,2001,3.21144
atg,2002,3.09016
atg,2003,3.34666
atg,2004,2.96937
atg,2005,2.7781
atg,2006,2.45364
atg,2007,2.28422
atg,2008,2.13454
atg,2009,2.30076
atg,2010,3.13688
atg,2011,3.09945
atg,2012,3.08454
atg,2013,3.08961
atg,2014,3.47428
atg,2015,3.15658
atg,2016,2.86058
atg,2017,2.73787
atg,2018,2.91417
atg,2019,2.59646
aus,2000,5.4695
aus,2001,5.47267
aus,2002,5.67827
aus,2003,5.63917
aus,2004,5.81346
aus,2005,5.73987
aus,2006,5.72574
aus,2007,5.88175
aus,2008,5.97145
aus,2009,6.25201
aus,2010,6.10033
aus,2011,6.25756
aus,2012,6.18007
aus,2013,5.93706
aus,2014,6.1005
aus,2015,6.3837
aus,2016,6.33803
aus,2017,6.36546
aus,2018,6.2971
aus,2019,7.10425
aut,2000,6.82579
aut,2001,6.8265
aut,2002,6.89934
aut,2003,6.98269
aut,2004,6.9961
aut,2005,6.9942
aut,2006,6.94344
aut,2007,6.93927
aut,2008,7.17632
aut,2009,7.44918
aut,2010,7.39958
aut,2011,7.2879
aut,2012,7.43251
aut,2013,7.42313
aut,2014,7.51864
aut,2015,7.51185
aut,2016,7.49086
aut,2017,7.44577
aut,2018,7.48925
aut,2019,7.61765
aze,2000,0.86689
aze,2001,0.79007
aze,2002,0.73447
aze,2003,0.779
aze,2004,0.86432
aze,2005,0.91787
aze,2006,0.86608
aze,2007,0.90689
aze,2008,0.86374
aze,2009,1.13073
aze,2010,1.01078
aze,2011,0.94791
aze,2012,1.11365
aze,2013,1.06307
aze,2014,1.12798
aze,2015,1.30262
aze,2016,1.1634
aze,2017,1.00201
aze,2018,0.92868
aze,2019,1.28157
bdi,2000,1.46507
bdi,2001,1.69244
bdi,2002,1.5355
bdi,2003,1.35508
bdi,2004,2.3682
bdi,2005,2.06247
bdi,2006,2.36402
bdi,2007,2.46384
bdi,2008,1.55913
bdi,2009,2.08075
bdi,2010,1.98529
bdi,2011,3.47108
bdi,2012,2.66949
bdi,2013,1.54087
bdi,2014,2.7868
bdi,2015,2.41955
bdi,2016,1.91217
bdi,2017,2.04084
bdi,2018,2.28904
bdi,2019,2.66727
bel,2000,5.96186
bel,2001,6.13948
bel,2002,6.13246
bel,2003,6.79258
bel,2004,6.9958
bel,2005,6.89791
bel,2006,6.80768
bel,2007,6.77582
bel,2008,7.26968
bel,2009,7.8751
bel,2010,7.78026
bel,2011,7.90884
bel,2012,8.04331
bel,2013,8.0387
bel,2014,8.08606
bel,2015,7.91766
bel,2016,8.32023
bel,2017,8.33751
bel,2018,8.26993
bel,2019,8.18139
ben,2000,0.80706
ben,2001,0.92712
ben,2002,0.72565
ben,2003,0.66475
ben,2004,0.73166
ben,2005,0.68286
ben,2006,0.71946
ben,2007,0.59594
ben,2008,0.5629
ben,2009,0.74734
ben,2010,0.72443
ben,2011,0.79595
ben,2012,0.74672
ben,2013,0.76463
ben,2014,0.57533
ben,2015,0.58545
ben,2016,0.57491
ben,2017,0.81441
ben,2018,0.49088
ben,2019,0.541
bfa,2000,0.96129
bfa,2001,0.97162
bfa,2002,1.05799
bfa,2003,0.98019
bfa,2004,1.69978
bfa,2005,1.22285
bfa,2006,1.43098
bfa,2007,1.43213
bfa,2008,1.36111
bfa,2009,1.64178
bfa,2010,1.30631
bfa,2011,1.3462
bfa,2012,1.0645
bfa,2013,1.61236
bfa,2014,1.62685
bfa,2015,1.45619
bfa,2016,2.38884
bfa,2017,2.61084
bfa,2018,2.08707
bfa,2019,2.28509
bgd,2000,0.59431
bgd,2001,0.45549
bgd,2002,0.5584
bgd,2003,0.57762
bgd,2004,0.57158
bgd,2005,0.53574
bgd,2006,0.57359
bgd,2007,0.58525
bgd,2008,0.53093
bgd,2009,0.52133
bgd,2010,0.56377
bgd,2011,0.57771
bgd,2012,0.56256
bgd,2013,0.52374
bgd,2014,0.50554
bgd,2015,0.46536
bgd,2016,0.40611
bgd,2017,0.40604
bgd,2018,0.42589
bgd,2019,0.46258
bgr,2000,3.4715
bgr,2001,3.8459
bgr,2002,4.20195
bgr,2003,4.37132
bgr,2004,4.09508
bgr,2005,4.10457
bgr,2006,3.63341
bgr,2007,3.43429
bgr,2008,3.48336
bgr,2009,3.54884
bgr,2010,3.94297
bgr,2011,3.86487
bgr,2012,3.84872
bgr,2013,4.05425
bgr,2014,4.48853
bgr,2015,4.14251
bgr,2016,4.12227
bgr,2017,4.13161
bgr,2018,4.23249
bgr,2019,4.2155
bhr,2000,2.35164
bhr,2001,2.46214
bhr,2002,2.57194
bhr,2003,2.49013
bhr,2004,2.25667
bhr,2005,2.14727
bhr,2006,2.11138
bhr,2007,2.1646
bhr,2008,2.17031
bhr,2009,2.59249
bhr,2010,2.41983
bhr,2011,2.23692
bhr,2012,2.68348
bhr,2013,2.80836
bhr,2014,2.86725
bhr,2015,3.2358
bhr,2016,2.98269
bhr,2017,2.7498
bhr,2018,2.43788
bhr,2019,2.37498
bhs,2000,1.50592
bhs,2001,1.56618
bhs,2002,1.50943
bhs,2003,1.62847
bhs,2004,1.61168
bhs,2005,1.58766
bhs,2006,1.65727
bhs,2007,1.80025
bhs,2008,2.08453
bhs,2009,2.34724
bhs,2010,2.36928
bhs,2011,2.37498
bhs,2012,2.31367
bhs,2013,2.55139
bhs,2014,2.5044
bhs,2015,2.31835
bhs,2016,2.73471
bhs,2017,3.65793
bhs,2018,2.96177
bhs,2019,2.98773
bih,2000,4.08414
bih,2001,4.33065
bih,2002,4.43333
bih,2003,5.49272
bih,2004,5.16201
bih,2005,4.94053
bih,2006,5.00461
bih,2007,5.27355
bih,2008,5.39554
bih,2009,6.13817
bih,2010,6.13887
bih,2011,6.21122
bih,2012,6.51473
bih,2013,6.58716
bih,2014,6.67787
bih,2015,6.47305
bih,2016,6.55783
bih,2017,6.26776
bih,2018,6.21219
bih,2019,6.21884
blr,2000,4.15423
blr,2001,4.25792
blr,2002,4.07934
blr,2003,4.38554
blr,2004,4.39937
blr,2005,4.52237
blr,2006,3.98554
blr,2007,3.99475
blr,2008,3.48282
blr,2009,3.48038
blr,2010,3.84922
blr,2011,3.08842
blr,2012,3.4437
blr,2013,3.56868
blr,2014,3.37288
blr,2015,3.68674
blr,2016,4.19299
blr,2017,3.98055
blr,2018,3.9
blr,2019,4.12527
blz,2000,1.87336
blz,2001,2.38592
blz,2002,2.46418
blz,2003,2.33617
blz,2004,2.28201
blz,2005,2.38873
blz,2006,2.59857
blz,2007,3.19228
blz,2008,3.75388
blz,2009,3.76067
blz,2010,3.78137
blz,2011,3.74186
blz,2012,3.59769
blz,2013,3.76949
blz,2014,3.89337
blz,2015,4.03296
blz,2016,4.23173
blz,2017,3.97646
blz,2018,3.99212
blz,2019,4.16896
bol,2000,2.43202
bol,2001,2.61402
bol,2002,2.60215
bol,2003,2.75486
bol,2004,2.53552
bol,2005,2.7537
bol,2006,2.61106
bol,2007,2.77554
bol,2008,2.70189
bol,2009,3.15831
bol,2010,3.05729
bol,2011,3.02061
bol,2012,2.99635
bol,2013,3.26243
bol,2014,3.69241
bol,2015,4.30645
bol,2016,4.42945
bol,2017,4.44758
bol,2018,4.83574
bol,2019,4.93192
bra,2000,3.47015
bra,2001,3.51297
bra,2002,3.68635
bra,2003,3.50955
bra,2004,3.46693
bra,2005,3.34526
bra,2006,3.54131
bra,2007,3.48463
bra,2008,3.50442
bra,2009,3.70742
bra,2010,3.57701
bra,2011,3.46568
bra,2012,3.35463
bra,2013,3.55114
bra,2014,3.69887
bra,2015,3.85385
bra,2016,3.94844
bra,2017,3.95315
bra,2018,3.88924
bra,2019,3.90756
brb,2000,2.76476
brb,2001,2.94436
brb,2002,3.13669
brb,2003,3.75885
brb,2004,4.34378
brb,2005,3.87171
brb,2006,3.70412
brb,2007,3.29791
brb,2008,3.58304
brb,2009,3.90287
brb,2010,3.62076
brb,2011,3.34586
brb,2012,4.3039
brb,2013,3.8065
brb,2014,3.28547
brb,2015,3.20033
brb,2016,3.15078
brb,2017,3.00336
brb,2018,2.93843
brb,2019,2.82452
brn,2000,2.14735
brn,2001,2.12139
brn,2002,2.12148
brn,2003,2.16173
brn,2004,2.12315
brn,2005,1.87143
brn,2006,1.63553
brn,2007,1.71081
brn,2008,1.68887
brn,2009,2.16199
brn,2010,2.09005
brn,2011,1.70617
brn,2012,1.68713
brn,2013,1.71973
brn,2014,1.77396
brn,2015,2.26837
brn,2016,2.42139
brn,2017,2.14751
brn,2018,2.29567
brn,2019,2.03761
btn,2000,3.54263
btn,2001,3.53788
btn,2002,3.32763
btn,2003,2.85615
btn,2004,3.03693
btn,2005,2.64208
btn,2006,2.43469
btn,2007,2.64051
btn,2008,2.33727
btn,2009,2.61995
btn,2010,2.56419
btn,2011,2.45895
btn,2012,2.51807
btn,2013,2.55413
btn,2014,2.45532
btn,2015,2.78964
btn,2016,2.64466
btn,2017,2.48946
btn,2018,2.57961
btn,2019,2.65405
bwa,2000,3.19477
bwa,2001,3.48673
bwa,2002,3.73318
bwa,2003,3.58005
bwa,2004,3.38186
bwa,2005,2.84126
bwa,2006,2.7309
bwa,2007,3.02309
bwa,2008,3.59624
bwa,2009,3.36084
bwa,2010,3.56495
bwa,2011,3.54791
bwa,2012,3.96144
bwa,2013,3.97918
bwa,2014,3.79871
bwa,2015,3.88002
bwa,2016,3.699
bwa,2017,4.64136
bwa,2018,4.68888
bwa,2019,4.74941
caf,2000,1.72021
caf,2001,1.51701
caf,2002,1.43572
caf,2003,1.54276
caf,2004,1.47439
caf,2005,1.03537
caf,2006,1.22729
caf,2007,1.27165
caf,2008,0.84919
caf,2009,0.7419
caf,2010,0.5849
caf,2011,0.4157
caf,2012,0.62264
caf,2013,0.98294
caf,2014,0.71109
caf,2015,0.45585
caf,2016,0.59953
caf,2017,0.72882
caf,2018,0.68856
caf,2019,0.8195
can,2000,6.00891
can,2001,6.27901
can,2002,6.41562
can,2003,6.59056
can,2004,6.624
can,2005,6.59906
can,2006,6.4867
can,2007,6.57271
can,2008,6.70117
can,2009,7.52118
can,2010,7.47694
can,2011,7.30277
can,2012,7.40118
can,2013,7.35821
can,2014,7.2318
can,2015,7.58066
can,2016,7.67784
can,2017,7.56278
can,2018,7.58278
can,2019,7.6093
che,2000,2.60352
che,2001,2.82852
che,2002,3.08993
che,2003,3.17492
che,2004,3.14566
che,2005,3.1061
che,2006,2.91808
che,2007,2.87562
che,2008,2.99652
che,2009,3.23709
che,2010,3.21735
che,2011,3.30036
che,2012,3.45819
che,2013,3.43032
che,2014,3.40756
che,2015,3.50238
che,2016,3.5025
che,2017,3.62295
che,2018,3.55291
che,2019,3.62564
chl,2000,2.51822
chl,2001,2.60041
chl,2002,2.7278
chl,2003,2.80482
chl,2004,2.72364
chl,2005,2.59216
chl,2006,2.49548
chl,2007,2.60964
chl,2008,2.93381
chl,2009,3.37831
chl,2010,3.19128
chl,2011,3.1934
chl,2012,3.36552
chl,2013,3.54739
chl,2014,3.72688
chl,2015,3.98668
chl,2016,4.22976
chl,2017,4.5705
chl,2018,4.65451
chl,2019,4.75196
chn,2000,0.99071
chn,2001,0.97476
chn,2002,1.11262
chn,2003,1.25345
chn,2004,1.29852
chn,2005,1.36798
chn,2006,1.38712
chn,2007,1.43418
chn,2008,1.73637
chn,2009,2.14862
chn,2010,2.19599
chn,2011,2.33301
chn,2012,2.54479
chn,2013,2.68987
chn,2014,2.79104
chn,2015,2.97191
chn,2016,2.89319
chn,2017,2.87103
chn,2018,2.91555
chn,2019,2.99503
civ,2000,0.5869
civ,2001,0.50979
civ,2002,0.5433
civ,2003,0.5155
civ,2004,0.55994
civ,2005,0.52909
civ,2006,0.5578
