geo,time,dc_dac_finl_cd
afg,1972,39999.99911
afg,1973,19999.99955
afg,1975,70000.0003
afg,1976,29999.99933
afg,1979,59999.99866
afg,1980,9999.99978
afg,1984,19999.99955
afg,1985,19999.99955
afg,1988,540000.02146
afg,1989,1110000.01431
afg,1990,150000.00596
afg,1991,2279999.97139
afg,1992,1429999.94755
afg,1993,1470000.02861
afg,1994,1299999.95232
afg,1995,1389999.98569
afg,1996,3529999.97139
afg,1997,2609999.8951
afg,1998,2910000.08583
afg,1999,3599999.90463
afg,2000,4960000.03815
afg,2001,8720000.26703
afg,2002,15260000.22888
afg,2003,13569999.69482
afg,2004,15449999.80927
afg,2005,14569999.69482
afg,2006,15260000.22888
afg,2007,19159999.84741
afg,2008,26069999.69482
afg,2009,28040000.91553
afg,2010,25819999.69482
afg,2011,31049999.23706
afg,2012,33720001.2207
afg,2013,34409999.84741
afg,2014,37770000.45776
afg,2015,29250000
afg,2016,33520000.45776
afg,2017,20629999.16077
afg,2018,22840000.15259
afg,2019,26040000.91553
ago,1980,29999.99933
ago,1981,289999.99166
ago,1982,200000.00298
ago,1984,29999.99933
ago,1985,209999.99344
ago,1986,1120000.00477
ago,1987,2789999.96185
ago,1988,1299999.95232
ago,1989,720000.02861
ago,1990,1059999.94278
ago,1991,1440000.05722
ago,1992,419999.98689
ago,1993,750000
ago,1994,1450000.04768
ago,1995,1679999.94755
ago,1996,3750000
ago,1997,660000.02623
ago,1998,1179999.94755
ago,1999,3619999.88556
ago,2000,1289999.96185
ago,2001,2039999.96185
ago,2002,3160000.08583
ago,2003,3890000.1049
ago,2004,5260000.22888
ago,2005,2910000.08583
ago,2006,2410000.08583
ago,2007,2029999.97139
ago,2008,2400000.09537
ago,2009,2160000.08583
ago,2010,1950000.04768
ago,2011,1570000.05245
ago,2012,1860000.01431
ago,2013,949999.98808
ago,2014,790000.02146
ago,2015,529999.97139
ago,2016,360000.01431
alb,1990,19999.99955
alb,1991,629999.99523
alb,1992,259999.99046
alb,1993,170000.00179
alb,1994,189999.99762
alb,1995,219999.99881
alb,1996,109999.9994
alb,1997,930000.00715
alb,1998,409999.99642
alb,1999,370000.00477
alb,2000,330000.01311
alb,2001,460000.00834
alb,2002,949999.98808
alb,2003,1340000.03338
alb,2004,1409999.96662
alb,2005,709999.97854
alb,2006,759999.99046
alb,2007,330000.01311
alb,2008,500000
alb,2009,479999.98927
alb,2010,629999.99523
alb,2011,569999.99285
alb,2012,330000.01311
alb,2013,439999.99762
alb,2014,419999.98689
alb,2015,370000.00477
alb,2016,59999.99866
alb,2017,129999.99523
alb,2018,119999.99732
alb,2019,79999.99821
are,1989,50000.00075
are,1990,19999.99955
arg,1973,29999.99933
arg,1974,29999.99933
arg,1975,19999.99955
arg,1985,9999.99978
arg,1986,9999.99978
arg,1987,19999.99955
arg,1988,29999.99933
arg,1989,70000.0003
arg,1990,50000.00075
arg,1991,70000.0003
arg,1992,140000.0006
arg,1994,90000.00358
arg,1995,59999.99866
arg,1996,39999.99911
arg,1997,70000.0003
arg,1998,129999.99523
arg,1999,9999.99978
arg,2000,79999.99821
arg,2001,70000.0003
arg,2002,19999.99955
arg,2003,119999.99732
arg,2004,170000.00179
arg,2005,230000.00417
arg,2006,319999.99285
arg,2007,180000.00715
arg,2008,449999.98808
arg,2009,280000.00119
arg,2010,200000.00298
arg,2011,189999.99762
arg,2012,109999.9994
arg,2013,109999.9994
arg,2014,119999.99732
arg,2015,59999.99866
arg,2017,70000.0003
arg,2018,90000.00358
arg,2019,79999.99821
arm,1996,280000.00119
arm,1998,280000.00119
arm,1999,200000.00298
arm,2000,90000.00358
arm,2002,9999.99978
arm,2005,70000.0003
arm,2006,250000
arm,2007,270000.01073
arm,2008,310000.00238
arm,2009,300000.01192
arm,2010,129999.99523
arm,2011,239999.99464
arm,2012,200000.00298
arm,2013,109999.9994
arm,2014,289999.99166
arm,2015,239999.99464
arm,2016,219999.99881
arm,2017,59999.99866
arm,2018,50000.00075
arm,2019,50000.00075
atg,1989,19999.99955
atg,2010,29999.99933
atg,2011,9999.99978
atg,2012,19999.99955
atg,2013,19999.99955
aze,1996,629999.99523
aze,1998,189999.99762
aze,1999,180000.00715
aze,2000,280000.00119
aze,2001,119999.99732
aze,2002,79999.99821
aze,2003,70000.0003
aze,2004,490000.00954
aze,2005,170000.00179
aze,2006,180000.00715
aze,2007,50000.00075
aze,2008,200000.00298
aze,2009,159999.99642
aze,2010,449999.98808
aze,2011,670000.01669
aze,2012,340000.00358
aze,2013,479999.98927
aze,2014,119999.99732
aze,2015,70000.0003
aze,2016,50000.00075
aze,2017,59999.99866
aze,2018,109999.9994
aze,2019,90000.00358
bdi,1980,219999.99881
bdi,1981,39999.99911
bdi,1982,829999.98331
bdi,1983,649999.97616
bdi,1984,270000.01073
bdi,1985,280000.00119
bdi,1986,39999.99911
bdi,1987,19999.99955
bdi,1994,649999.97616
bdi,1995,759999.99046
bdi,1996,349999.99404
bdi,1997,50000.00075
bdi,1998,400000.00596
bdi,1999,819999.99285
bdi,2000,970000.02861
bdi,2001,839999.97377
bdi,2002,1179999.94755
bdi,2003,19999.99955
bdi,2004,1490000.00954
bdi,2005,870000.00477
bdi,2006,1330000.04292
bdi,2007,990000.00954
bdi,2008,219999.99881
bdi,2009,460000.00834
bdi,2010,469999.99881
bdi,2011,620000.00477
bdi,2012,709999.97854
bdi,2013,469999.99881
bdi,2014,860000.01431
bdi,2015,759999.99046
bdi,2016,550000.01192
bdi,2017,589999.97377
bdi,2018,740000.00954
bdi,2019,810000.00238
ben,1981,9999.99978
ben,1991,59999.99866
ben,1992,39999.99911
ben,1998,9999.99978
ben,2000,90000.00358
ben,2001,140000.0006
ben,2002,140000.0006
ben,2003,300000.01192
ben,2004,39999.99911
ben,2006,100000.00149
ben,2007,209999.99344
ben,2008,170000.00179
ben,2009,449999.98808
ben,2010,689999.99762
ben,2011,370000.00477
ben,2012,259999.99046
ben,2013,159999.99642
ben,2014,109999.9994
ben,2015,70000.0003
ben,2016,39999.99911
ben,2017,9999.99978
ben,2018,0
ben,2019,29999.99933
bfa,1981,50000.00075
bfa,1982,39999.99911
bfa,1983,50000.00075
bfa,1984,19999.99955
bfa,1986,159999.99642
bfa,1991,50000.00075
bfa,1992,19999.99955
bfa,1993,9999.99978
bfa,1994,9999.99978
bfa,1995,29999.99933
bfa,1997,419999.98689
bfa,1998,319999.99285
bfa,1999,479999.98927
bfa,2000,469999.99881
bfa,2001,769999.98093
bfa,2002,1279999.97139
bfa,2003,1120000.00477
bfa,2004,1500000
bfa,2005,1210000.03815
bfa,2006,1080000.04292
bfa,2007,649999.97616
bfa,2008,180000.00715
bfa,2009,119999.99732
bfa,2010,79999.99821
bfa,2013,50000.00075
bfa,2014,259999.99046
bfa,2015,529999.97139
bfa,2016,170000.00179
bfa,2017,649999.97616
bfa,2018,709999.97854
bfa,2019,460000.00834
bgd,1972,219999.99881
bgd,1973,259999.99046
bgd,1974,119999.99732
bgd,1975,9999.99978
bgd,1976,1110000.01431
bgd,1977,2000000
bgd,1978,180000.00715
bgd,1979,370000.00477
bgd,1980,2049999.95232
bgd,1981,2420000.07629
bgd,1982,189999.99762
bgd,1983,620000.00477
bgd,1984,3079999.92371
bgd,1985,4230000.01907
bgd,1986,2279999.97139
bgd,1987,2730000.01907
bgd,1988,18100000.38147
bgd,1989,14609999.65668
bgd,1990,12439999.58038
bgd,1991,15800000.19073
bgd,1992,10590000.15259
bgd,1993,4260000.22888
bgd,1994,5030000.20981
bgd,1995,4710000.03815
bgd,1996,1039999.96185
bgd,1997,810000.00238
bgd,1998,699999.98808
bgd,1999,620000.00477
bgd,2000,629999.99523
bgd,2001,500000
bgd,2002,610000.01431
bgd,2003,709999.97854
bgd,2004,670000.01669
bgd,2005,980000.01907
bgd,2006,810000.00238
bgd,2007,1169999.95708
bgd,2008,1389999.98569
bgd,2009,1220000.02861
bgd,2010,1629999.99523
bgd,2011,819999.99285
bgd,2012,769999.98093
bgd,2013,839999.97377
bgd,2014,910000.02623
bgd,2015,779999.97139
bgd,2016,449999.98808
bgd,2017,959999.97854
bgd,2018,2869999.88556
bgd,2019,980000.01907
bgr,1990,39999.99911
bgr,1991,19999.99955
bgr,1992,129999.99523
bgr,1994,19999.99955
bgr,1996,19999.99955
bgr,1999,19999.99955
bgr,2000,19999.99955
