geo,time,dc_dac_deul_cd
afg,1960,649999.97616
afg,1961,3380000.11444
afg,1962,2150000.09537
afg,1963,2809999.94278
afg,1964,6630000.11444
afg,1965,15810000.41962
afg,1966,16409999.84741
afg,1967,9609999.65668
afg,1968,6840000.15259
afg,1969,5570000.17166
afg,1970,7139999.86649
afg,1971,12020000.45776
afg,1972,10840000.15259
afg,1973,5079999.92371
afg,1974,1679999.94755
afg,1975,9699999.80927
afg,1976,6539999.96185
afg,1977,2299999.95232
afg,1978,5800000.19073
afg,1979,12939999.58038
afg,1980,1350000.02384
afg,1981,-2930000.06676
afg,1982,-750000
afg,1983,-889999.98569
afg,1984,-610000.01431
afg,1985,1279999.97139
afg,1986,-2619999.88556
afg,1987,439999.99762
afg,1988,7889999.86649
afg,1989,8619999.88556
afg,1990,8069999.69482
afg,1991,5519999.98093
afg,1992,14989999.77112
afg,1993,16059999.46594
afg,1994,21639999.38965
afg,1995,15609999.65668
afg,1996,17420000.07629
afg,1997,18510000.22888
afg,1998,11609999.65668
afg,1999,16459999.08447
afg,2000,10630000.11444
afg,2001,44139999.38965
afg,2002,92569999.69482
afg,2003,82099998.47412
afg,2004,75129997.25342
afg,2005,99230003.35693
afg,2006,117989997.86377
afg,2007,217149993.89648
afg,2008,294019989.01367
afg,2009,337339996.33789
afg,2010,469760009.76562
afg,2011,539299987.79297
afg,2012,515539978.02734
afg,2013,548690002.44141
afg,2014,529390014.64844
afg,2015,362070007.32422
afg,2016,502839996.33789
afg,2017,478429992.67578
afg,2018,438049987.79297
afg,2019,409230010.98633
ago,1963,9999.99978
ago,1967,9999.99978
ago,1968,9999.99978
ago,1969,9999.99978
ago,1970,90000.00358
ago,1971,59999.99866
ago,1972,50000.00075
ago,1973,59999.99866
ago,1974,79999.99821
ago,1975,1179999.94755
ago,1976,500000
ago,1977,-50000.00075
ago,1978,219999.99881
ago,1979,490000.00954
ago,1980,239999.99464
ago,1981,2130000.11444
ago,1982,1620000.00477
ago,1983,1470000.02861
ago,1984,2529999.97139
ago,1985,2470000.02861
ago,1986,4139999.86649
ago,1987,6000000
ago,1988,7179999.82834
ago,1989,5309999.94278
ago,1990,10010000.22888
ago,1991,8850000.38147
ago,1992,6809999.94278
ago,1993,8369999.88556
ago,1994,18219999.31335
ago,1995,16979999.54224
ago,1996,25270000.45776
ago,1997,15720000.26703
ago,1998,11829999.92371
ago,1999,18020000.45776
ago,2000,11319999.69482
ago,2001,9939999.58038
ago,2002,16479999.54224
ago,2003,13460000.03815
ago,2004,12949999.80927
ago,2005,12239999.77112
ago,2006,11350000.38147
ago,2007,12260000.22888
ago,2008,11649999.61853
ago,2009,8399999.61853
ago,2010,7050000.19073
ago,2011,5679999.82834
ago,2012,4829999.92371
ago,2013,4159999.84741
ago,2014,4230000.01907
ago,2015,2230000.01907
ago,2016,2630000.11444
ago,2017,2650000.09537
ago,2018,4190000.05722
ago,2019,4250000
alb,1988,3220000.02861
alb,1989,2549999.95232
alb,1990,2119999.88556
alb,1991,23000000
alb,1992,13729999.54224
alb,1993,18590000.15259
alb,1994,16840000.15259
alb,1995,21299999.23706
alb,1996,33430000.30518
alb,1997,26520000.45776
alb,1998,23379999.16077
alb,1999,23340000.15259
alb,2000,19450000.76294
alb,2001,24549999.23706
alb,2002,24690000.53406
alb,2003,21129999.16077
alb,2004,23610000.61035
alb,2005,30459999.08447
alb,2006,29579999.92371
alb,2007,45990001.67847
alb,2008,44709999.08447
alb,2009,58819999.69482
alb,2010,35349998.47412
alb,2011,38759998.32153
alb,2012,25870000.83923
alb,2013,29700000.76294
alb,2014,40659999.84741
alb,2015,62270000.45776
alb,2016,13050000.19073
alb,2017,26899999.61853
alb,2018,58659999.84741
alb,2019,36880001.06812
are,1975,19999.99955
are,1976,9999.99978
are,1977,9999.99978
are,1978,9999.99978
are,1979,5530000.20981
are,1980,119999.99732
are,1981,-4300000.19073
are,1982,150000.00596
are,1983,219999.99881
are,1984,259999.99046
are,1985,239999.99464
are,1986,29950000.76294
are,1987,109319999.69482
are,1988,-16219999.31335
are,1989,-9729999.54224
are,1990,349999.99404
are,1991,-14560000.41962
are,1992,-13770000.45776
are,1993,-12970000.26703
are,1994,-13149999.61853
are,1995,310000.00238
are,1996,2230000.01907
are,1997,400000.00596
are,1998,930000.00715
are,1999,1039999.96185
are,2000,649999.97616
are,2001,529999.97139
are,2002,500000
are,2003,1080000.04292
are,2004,1029999.97139
arg,1960,12260000.22888
arg,1961,14880000.11444
arg,1962,-1610000.01431
arg,1963,1559999.94278
arg,1964,-15229999.54224
arg,1965,-20209999.08447
arg,1966,2039999.96185
arg,1967,2079999.92371
arg,1968,2349999.90463
arg,1969,15720000.26703
arg,1970,14890000.34332
arg,1971,9550000.19073
arg,1972,11630000.11444
arg,1973,10460000.03815
arg,1974,9550000.19073
arg,1975,8029999.73297
arg,1976,8720000.26703
arg,1977,10010000.22888
