geo,time,bx_gsr_royl_cd
abw,1986,0
abw,1987,0
abw,1988,0
abw,1989,0
abw,1990,0
abw,1991,0
abw,1992,0
abw,1993,0
abw,1994,0
abw,1999,0
abw,2000,0
abw,2001,0
abw,2002,0
abw,2003,156424.58101
abw,2004,0
abw,2005,29713.23929
abw,2006,71831.44599
abw,2007,55865.92179
abw,2008,55865.92179
abw,2009,0
abw,2010,0
abw,2011,0
abw,2012,0
abw,2018,932986.79527
abw,2019,1750298.46454
abw,2020,153605.36692
afg,1979,0
afg,1980,0
afg,1981,0
afg,1982,0
afg,1983,0
afg,1984,0
afg,1985,0
afg,1986,0
afg,1987,0
afg,1988,0
afg,1989,0
afg,2008,643174.51
afg,2009,744281.07
afg,2010,626710.87
afg,2011,433679.25
afg,2012,0
afg,2013,0
afg,2014,463662.43055
afg,2015,12809.26
afg,2016,0
afg,2017,0
afg,2018,0
afg,2019,5555.67147
afg,2020,335.19546
ago,1985,0
ago,1986,0
ago,1987,0
ago,1988,0
ago,1989,0
ago,1990,0
ago,1991,0
ago,1992,0
ago,1993,14100000
ago,1994,18300000
ago,1995,7421000
ago,1996,16587000
ago,1997,5960000
ago,1998,9480000
ago,1999,2790000
ago,2000,15750000
ago,2001,4420000
ago,2002,0
ago,2003,0
ago,2004,226800000
ago,2005,49430571.11
ago,2006,1339588441.64
ago,2007,12021694.12
ago,2008,12000000
ago,2012,16332320.86
ago,2013,18843635.45
ago,2014,21944072.217
ago,2015,17490960
ago,2016,10997630
ago,2017,11569560
ago,2018,8226880
ago,2019,516010
ago,2020,0
alb,1980,0
alb,1981,0
alb,1982,0
alb,1983,0
alb,1984,0
alb,1985,0
alb,1986,0
alb,1987,0
alb,1988,0
alb,1989,0
alb,1990,0
alb,1991,0
alb,1992,0
alb,1993,0
alb,1994,0
alb,2003,5321983.91
alb,2004,15410498.39
alb,2005,505314.45802
alb,2006,723627.41607
alb,2007,7530000
alb,2008,40441133.41069
alb,2009,17098527.15703
alb,2010,739036.1847
alb,2011,13339406.10511
alb,2012,1650606.3956
alb,2013,1185804.07536
alb,2014,740461.81454
alb,2015,1945283.40574
alb,2016,2703932.26363
alb,2017,10991466.04991
alb,2018,14949446.67866
alb,2019,17149047.05871
alb,2020,15865804.91848
arg,1976,23000000
arg,1977,14000000
arg,1978,4000000
arg,1979,3000000
arg,1980,4000000
arg,1981,6000000
arg,1982,12000000
arg,1983,2000000
arg,1984,4000000
arg,1985,8000000
arg,1986,16000000
arg,1987,14000000
arg,1988,6000000
arg,1989,7000000
arg,1990,4000000
arg,1991,4000000
arg,1992,5700000
arg,1993,6960000
arg,1994,8700000
arg,1995,12400000
arg,1996,15554642.49289
arg,1997,17579252.91461
arg,1998,26332381.7138
arg,1999,25406457.6116
arg,2000,36756558.0115
arg,2001,46775129.54571
arg,2002,33450000
arg,2003,51500000
arg,2004,61210000
arg,2005,51080000
arg,2006,80512422.81227
arg,2007,96694187.45342
arg,2008,99367650.40207
arg,2009,105965489.61758
arg,2010,152187821.07805
arg,2011,155396388.28354
arg,2012,158152120.0527
arg,2013,179902421.57
arg,2014,174205013.4769
arg,2015,161745946.96071
arg,2016,168807424.70925
arg,2017,356498295.97395
arg,2018,321051040.76563
arg,2019,289164966.43633
arg,2020,219524980.30673
arm,1994,0
arm,1995,0
arm,1996,0
arm,1997,0
arm,1998,0
arm,2013,0
arm,2014,0
arm,2015,0
arm,2016,0
arm,2017,0
arm,2018,0
arm,2019,0
arm,2020,0
atg,1977,0
atg,1978,0
atg,1979,0
atg,1980,0
atg,1981,0
atg,1982,0
atg,1983,0
atg,1984,0
atg,1985,0
atg,1986,0
atg,1987,0
atg,1988,0
atg,1989,0
atg,1990,0
atg,1991,0
atg,1992,0
atg,1993,0
atg,1994,0
atg,1995,0
atg,1996,0
atg,1997,0
atg,1998,0
atg,1999,0
atg,2000,0
atg,2001,0
atg,2002,0
atg,2003,0
atg,2004,0
atg,2005,0
atg,2006,0
atg,2007,0
atg,2008,0
atg,2009,0
atg,2010,0
atg,2011,0
atg,2012,0
atg,2013,0
atg,2014,0
atg,2015,0
atg,2016,0
atg,2017,0
atg,2018,0
atg,2019,0
atg,2020,0
aus,1989,170237056.69093
aus,1990,162330634.56482
aus,1991,154230038.15731
aus,1992,148081020.27171
aus,1993,186941007.3984
aus,1994,239301517.38852
aus,1995,261031140.98505
aus,1996,294468435.60439
aus,1997,358625655.75004
aus,1998,309259521.38691
aus,1999,381549793.13994
aus,2000,394187702.94977
aus,2001,336750552.21652
aus,2002,345584849.62523
aus,2003,450714506.61192
aus,2004,537973548.65814
aus,2005,573756156.57271
aus,2006,641546473.14199
aus,2007,713645961.03989
aus,2008,746149101.6504
aus,2009,789823546.48755
aus,2010,978059795.18893
aus,2011,948333508.18577
aus,2012,859824156.70512
aus,2013,813652776.29939
aus,2014,851550055.53604
aus,2015,783100619.94872
aus,2016,820885409.15889
aus,2017,922957692.48029
aus,2018,969116937.61849
aus,2019,896025988.019
aus,2020,859689346.55724
aut,2005,390572076.18876
aut,2006,707564674.26484
aut,2007,944971637.63105
