geo,time,dc_dac_grcl_cd
afg,1998,19999.99955
afg,2000,59999.99866
afg,2001,1379999.99523
afg,2002,8949999.80927
afg,2003,8609999.65668
afg,2004,9609999.65668
afg,2005,17280000.68665
afg,2006,10909999.84741
afg,2007,17250000
afg,2008,10130000.11444
afg,2009,17969999.31335
afg,2010,140000.0006
afg,2011,769999.98093
afg,2012,769999.98093
afg,2013,419999.98689
afg,2014,400000.00596
afg,2015,289999.99166
afg,2016,0
ago,1997,19999.99955
ago,2004,39999.99911
ago,2005,370000.00477
ago,2006,29999.99933
ago,2007,79999.99821
ago,2008,19999.99955
ago,2009,19999.99955
ago,2010,119999.99732
ago,2011,29999.99933
ago,2012,19999.99955
ago,2013,9999.99978
ago,2014,9999.99978
alb,1996,4829999.92371
alb,1997,14399999.61853
alb,1998,16159999.84741
alb,1999,28979999.54224
alb,2000,12329999.92371
alb,2001,12489999.77112
alb,2002,14739999.77112
alb,2003,83379997.25342
alb,2004,19200000.76294
alb,2005,24120000.83923
alb,2006,18319999.69482
alb,2007,30620000.83923
alb,2008,70459999.08447
alb,2009,54990001.67847
alb,2010,51930000.30518
alb,2011,51970001.2207
alb,2012,39240001.67847
alb,2013,2339999.91417
alb,2014,1750000
alb,2015,1590000.03338
alb,2016,620000.00477
alb,2017,990000.00954
alb,2018,1450000.04768
alb,2019,1659999.96662
arg,1997,9999.99978
arg,1998,9999.99978
arg,2002,19999.99955
arg,2003,29999.99933
arg,2004,119999.99732
arg,2005,319999.99285
arg,2006,219999.99881
arg,2007,349999.99404
arg,2008,550000.01192
arg,2009,610000.01431
arg,2010,629999.99523
arg,2011,519999.98093
arg,2012,340000.00358
arg,2013,90000.00358
arg,2014,140000.0006
arg,2015,70000.0003
arg,2016,59999.99866
arg,2017,50000.00075
arg,2019,0
arm,1996,3240000.00954
arm,1997,1090000.03338
arm,1998,4039999.96185
arm,1999,2190000.05722
arm,2000,3259999.99046
arm,2001,1580000.04292
arm,2002,2369999.88556
arm,2003,2859999.8951
arm,2004,2000000
arm,2005,1980000.01907
arm,2006,1470000.02861
arm,2007,5400000.09537
arm,2008,3009999.99046
arm,2009,2910000.08583
arm,2010,1730000.01907
arm,2011,1919999.95708
arm,2012,1289999.96185
arm,2013,349999.99404
arm,2014,360000.01431
arm,2015,300000.01192
arm,2016,50000.00075
arm,2017,90000.00358
arm,2018,59999.99866
arm,2019,39999.99911
atg,2005,39999.99911
atg,2006,19999.99955
atg,2007,79999.99821
atg,2008,100000.00149
atg,2009,59999.99866
atg,2010,79999.99821
atg,2011,59999.99866
atg,2012,50000.00075
atg,2013,9999.99978
atg,2014,9999.99978
atg,2015,0
atg,2016,0
atg,2017,0
aze,1997,270000.01073
aze,1998,59999.99866
aze,1999,189999.99762
aze,2000,119999.99732
aze,2001,90000.00358
aze,2002,79999.99821
aze,2003,250000
aze,2004,310000.00238
aze,2005,639999.98569
aze,2006,200000.00298
aze,2007,310000.00238
aze,2008,300000.01192
aze,2009,159999.99642
aze,2010,140000.0006
aze,2011,189999.99762
aze,2012,159999.99642
aze,2013,19999.99955
aze,2014,29999.99933
aze,2015,0
aze,2018,39999.99911
aze,2019,19999.99955
bdi,1998,9999.99978
bdi,1999,19999.99955
bdi,2000,9999.99978
bdi,2001,9999.99978
bdi,2002,9999.99978
bdi,2004,50000.00075
bdi,2005,379999.99523
bdi,2006,200000.00298
bdi,2007,79999.99821
bdi,2008,200000.00298
bdi,2009,70000.0003
bdi,2010,59999.99866
bdi,2011,79999.99821
bdi,2012,70000.0003
bdi,2014,19999.99955
bdi,2015,0
ben,2001,59999.99866
ben,2002,29999.99933
ben,2003,29999.99933
ben,2004,39999.99911
ben,2005,180000.00715
ben,2006,19999.99955
ben,2007,140000.0006
ben,2008,100000.00149
bfa,2007,70000.0003
bfa,2008,259999.99046
bfa,2009,70000.0003
bfa,2010,70000.0003
bfa,2013,9999.99978
bfa,2014,9999.99978
bfa,2015,9999.99978
bgd,1997,19999.99955
bgd,1998,90000.00358
bgd,2000,50000.00075
bgd,2003,500000
bgd,2004,100000.00149
bgd,2005,29999.99933
bgd,2006,70000.0003
bgd,2007,409999.99642
bgd,2008,349999.99404
bgd,2009,209999.99344
bgd,2010,79999.99821
bgd,2011,200000.00298
bgd,2012,170000.00179
bgd,2013,79999.99821
bgd,2014,50000.00075
bgd,2015,19999.99955
bgd,2019,0
bgr,1996,250000
bgr,1997,3839999.91417
bgr,1998,3369999.88556
bgr,1999,1940000.05722
bgr,2000,2009999.99046
bgr,2001,1600000.02384
bgr,2002,4769999.98093
bgr,2003,5789999.96185
bgr,2004,8689999.58038
bih,1996,7219999.79019
bih,1997,10390000.34332
bih,1998,22170000.07629
bih,1999,1980000.01907
bih,2000,6300000.19073
bih,2001,8819999.69482
bih,2002,5730000.01907
bih,2003,5309999.94278
bih,2004,7170000.07629
bih,2005,1269999.98093
bih,2006,10760000.22888
bih,2007,14390000.34332
bih,2008,5920000.07629
bih,2009,3359999.8951
bih,2010,439999.99762
bih,2011,660000.02623
