geo,time,sp_pop_totl
abw,1960,54208
abw,1961,55434
abw,1962,56234
abw,1963,56699
abw,1964,57029
abw,1965,57357
abw,1966,57702
abw,1967,58044
abw,1968,58377
abw,1969,58734
abw,1970,59070
abw,1971,59442
abw,1972,59849
abw,1973,60236
abw,1974,60527
abw,1975,60653
abw,1976,60586
abw,1977,60366
abw,1978,60102
abw,1979,59972
abw,1980,60097
abw,1981,60561
abw,1982,61341
abw,1983,62213
abw,1984,62826
abw,1985,63024
abw,1986,62645
abw,1987,61838
abw,1988,61072
abw,1989,61033
abw,1990,62152
abw,1991,64623
abw,1992,68240
abw,1993,72495
abw,1994,76705
abw,1995,80324
abw,1996,83211
abw,1997,85450
abw,1998,87280
abw,1999,89009
abw,2000,90866
abw,2001,92892
abw,2002,94992
abw,2003,97016
abw,2004,98744
abw,2005,100028
abw,2006,100830
abw,2007,101226
abw,2008,101362
abw,2009,101452
abw,2010,101665
abw,2011,102050
abw,2012,102565
abw,2013,103165
abw,2014,103776
abw,2015,104339
abw,2016,104865
abw,2017,105361
abw,2018,105846
abw,2019,106310
abw,2020,106766
afg,1960,8996967
afg,1961,9169406
afg,1962,9351442
afg,1963,9543200
afg,1964,9744772
afg,1965,9956318
afg,1966,10174840
afg,1967,10399936
afg,1968,10637064
afg,1969,10893772
afg,1970,11173654
afg,1971,11475450
afg,1972,11791222
afg,1973,12108963
afg,1974,12412960
afg,1975,12689164
afg,1976,12943093
afg,1977,13171294
afg,1978,13341199
afg,1979,13411060
afg,1980,13356500
afg,1981,13171679
afg,1982,12882518
afg,1983,12537732
afg,1984,12204306
afg,1985,11938204
afg,1986,11736177
afg,1987,11604538
afg,1988,11618008
afg,1989,11868873
afg,1990,12412311
afg,1991,13299016
afg,1992,14485543
afg,1993,15816601
afg,1994,17075728
afg,1995,18110662
afg,1996,18853444
afg,1997,19357126
afg,1998,19737770
afg,1999,20170847
afg,2000,20779957
afg,2001,21606992
afg,2002,22600774
afg,2003,23680871
afg,2004,24726689
afg,2005,25654274
afg,2006,26433058
afg,2007,27100542
afg,2008,27722281
afg,2009,28394806
afg,2010,29185511
afg,2011,30117411
afg,2012,31161378
afg,2013,32269592
afg,2014,33370804
afg,2015,34413603
afg,2016,35383028
afg,2017,36296111
afg,2018,37171922
afg,2019,38041757
afg,2020,38928341
ago,1960,5454938
ago,1961,5531451
ago,1962,5608499
ago,1963,5679409
ago,1964,5734995
ago,1965,5770573
ago,1966,5781305
ago,1967,5774440
ago,1968,5771973
ago,1969,5803677
ago,1970,5890360
ago,1971,6041239
ago,1972,6248965
ago,1973,6497283
ago,1974,6761623
ago,1975,7023994
ago,1976,7279630
ago,1977,7533814
ago,1978,7790774
ago,1979,8058112
ago,1980,8341290
ago,1981,8640478
ago,1982,8952971
ago,1983,9278104
ago,1984,9614756
ago,1985,9961993
