geo,time,ny_gdp_fcst_cd
abw,1995,1210614525.13966
abw,1996,1258810055.86592
abw,1997,1408519553.07263
abw,1998,1536854748.60335
abw,1999,1589581005.58659
abw,2000,1728899441.34078
abw,2001,1776031284.9162
abw,2002,1796601675.97765
abw,2003,1864301675.97765
abw,2004,2049480446.92737
abw,2005,2138800558.65922
abw,2006,2212525139.6648
abw,2007,2335477653.63128
abw,2008,2442702793.29609
abw,2009,2216618994.41341
afg,1960,528888946.66667
afg,1961,540000028.88889
afg,1962,537777811.11111
afg,1963,731111195.55556
afg,1964,777777880
afg,1965,973333300
afg,1966,1348888895.55556
afg,1967,1611111173.33333
afg,1968,1333333377.77778
afg,1969,1362222193.33333
afg,1970,1688886748.88889
afg,1971,1766664511.11111
afg,1972,1535555628.88889
afg,1973,1668888804.44444
afg,1974,2035555624.44444
afg,1975,2275555555.55556
afg,1976,2491111104.44444
afg,1977,2866666608.88889
afg,1978,3202222215.55556
afg,1979,3588100498.85583
afg,1980,3532879691.60998
afg,1981,3373737343.43434
afg,2002,3997968017.18573
afg,2003,4406034988.87218
afg,2004,5073046291.33641
afg,2005,6018811495.32748
afg,2006,6739682822.57741
afg,2007,9482926140.72221
afg,2008,9828036904.43945
afg,2009,11974028778.5847
afg,2010,15260604822.739
afg,2011,17125088997.5837
afg,2012,19136521416.7402
afg,2013,19328060346.7034
afg,2014,19750533198.7149
afg,2015,18367629936.6865
afg,2016,17252463695.5263
afg,2017,17778499829.3097
afg,2018,17133879941.1502
afg,2019,17916795822.817
afg,2020,19219086639.2435
ago,2002,15162140307.189
ago,2003,17762092477.4449
ago,2004,23653326374.7076
ago,2005,37049154936.2029
ago,2006,52267454375.5545
ago,2007,65718045892.0477
ago,2008,86807248505.33231
ago,2009,68669662764.31329
ago,2010,82889260135.11681
ago,2011,111230711192.231
ago,2012,129791488578.37199
ago,2013,138564174396.98001
ago,2014,144936145516.284
ago,2015,114024982340.599
ago,2016,98646444473.91
ago,2017,119020870304.25
ago,2018,99286446046.5
ago,2019,85179841995.82381
ago,2020,55492916994.9511
alb,1996,2993495625.3128
alb,1997,2077123381.04976
alb,1998,2243675575.54909
alb,1999,2868081100.6517
alb,2000,3070155824.67641
alb,2001,3506146456.91215
alb,2002,3865780473.45622
alb,2003,4935041278.65722
alb,2004,6306956421.79943
alb,2005,7044076166.78832
alb,2006,7698662839.41229
alb,2007,9303533533.34535
alb,2008,11167786722.8642
alb,2009,10421307648.8159
alb,2010,10366742449.972
alb,2011,11210783798.731
alb,2012,10673896927.6475
alb,2013,11145139737.9747
alb,2014,11545724307.9257
alb,2015,10000865342.4017
alb,2016,10400974686.3484
alb,2017,11372712006.717
alb,2018,13256492315.8983
alb,2019,13462123170.7006
alb,2020,13033070133.4561
and,2000,1313598673.30017
and,2001,1400912751.67785
and,2002,1583832109.91907
and,2003,2145665914.22122
and,2004,2634082443.50633
and,2005,2870339510.01119
and,2006,3133082423.78622
and,2007,3573227484.25951
and,2008,3726234070.60202
and,2009,3351819949.98611
and,2010,3125096115.60387
and,2011,3258129175.94655
and,2012,2822035204.93383
and,2013,2849581617.74472
and,2014,2909778132.05792
and,2015,2487506934.42805
and,2016,2571208766.88067
and,2017,2664889290.55581
and,2018,2873264052.90505
and,2019,2832553453.48707
arg,1965,28344705966.6389
arg,1966,28630951565.9896
arg,1967,24256667553.2569
arg,1968,26436857247.4982
arg,1969,31256001849.3251
arg,1970,31584210365.5447
arg,1971,33292998823.4908
arg,1972,34733000536.2862
arg,1973,52543888855.7933
arg,1974,72436777342.4554
arg,1975,52438647921.9226
arg,1976,51169499890.7722
arg,1977,56781000100.9448
arg,1978,58082870156.2634
arg,1979,69252328953.37891
