geo,time,eg_use_comm_fo_zs
ago,1971,15.8342
ago,1972,21.26081
ago,1973,20.10694
ago,1974,20.9261
ago,1975,17.82626
ago,1976,16.82224
ago,1977,14.22483
ago,1978,20.38403
ago,1979,19.95566
ago,1980,19.96306
ago,1981,19.15939
ago,1982,16.61655
ago,1983,17.62341
ago,1984,17.06525
ago,1985,20.30757
ago,1986,19.89129
ago,1987,20.38424
ago,1988,22.01796
ago,1989,22.10325
ago,1990,25.48039
ago,1991,25.48286
ago,1992,24.09808
ago,1993,24.96466
ago,1994,24.43968
ago,1995,22.7802
ago,1996,23.4981
ago,1997,23.87447
ago,1998,22.12487
ago,1999,24.71441
ago,2000,25.22005
ago,2001,26.6793
ago,2002,28.1478
ago,2003,31.72142
ago,2004,31.56164
ago,2005,27.08377
ago,2006,31.67467
ago,2007,34.74248
ago,2008,37.96076
ago,2009,41.79933
ago,2010,42.99252
ago,2011,43.84978
ago,2012,48.01006
ago,2013,46.50855
ago,2014,48.30559
alb,1971,74.6607
alb,1972,77.17411
alb,1973,74.36663
alb,1974,75.39746
alb,1975,75.74642
alb,1976,76.19392
alb,1977,75.88188
alb,1978,78.0247
alb,1979,75.01181
alb,1980,80.92879
alb,1981,78.03791
alb,1982,77.83653
alb,1983,78.87594
alb,1984,81.09748
alb,1985,81.43376
alb,1986,77.05831
alb,1987,78.63751
alb,1988,80.3814
alb,1989,79.69381
alb,1990,76.59398
alb,1991,69.825
alb,1992,56.07929
alb,1993,53.47898
alb,1994,54.84691
alb,1995,49.54164
alb,1996,45.45376
alb,1997,41.44934
alb,1998,45.29482
alb,1999,58.23879
alb,2000,58.7151
alb,2001,60.95583
alb,2002,63.23313
alb,2003,64.52837
alb,2004,65.57827
alb,2005,66.48668
alb,2006,64.45599
alb,2007,65.12239
alb,2008,63.84718
alb,2009,63.42173
alb,2010,63.239
alb,2011,61.50277
alb,2012,57.75408
alb,2013,56.39534
alb,2014,61.4218
are,1971,100
are,1972,100
are,1973,100
are,1974,100
are,1975,100
are,1976,100
are,1977,100
are,1978,100
are,1979,99.99998
are,1980,99.99999
are,1983,99.99999
are,1984,99.99999
are,1986,100
are,1987,100
are,1988,100
are,1989,100
are,1990,100
are,1992,99.85522
are,1993,99.88737
are,1994,99.90964
are,1995,99.91497
are,1996,99.93961
are,1997,99.94282
are,1998,99.94641
are,1999,99.94753
are,2000,99.94633
are,2001,99.95791
are,2002,99.95757
are,2003,99.95687
are,2004,99.94024
are,2005,99.93718
are,2006,99.92993
are,2007,99.92518
are,2008,99.92683
are,2011,91.67559
are,2012,90.10454
are,2013,93.61488
are,2014,86.12835
arg,1971,92.8844
arg,1972,93.26555
arg,1973,93.3735
arg,1974,91.53779
arg,1975,91.64856
arg,1976,92.13089
arg,1977,92.37625
arg,1978,90.95194
arg,1979,91.36611
arg,1980,90.27526
arg,1981,90.01718
arg,1982,90.44518
arg,1983,89.16189
arg,1984,88.45826
arg,1985,87.1564
arg,1986,88.45047
arg,1987,88.16166
arg,1988,90.18101
arg,1989,91.37925
arg,1990,88.65261
arg,1991,88.85474
arg,1992,88.80595
arg,1993,87.68723
arg,1994,87.00194
arg,1995,87.0921
arg,1996,87.69628
arg,1997,86.89501
arg,1998,86.78512
arg,1999,88.27912
arg,2000,88.38751
arg,2001,85.99454
arg,2002,85.80341
arg,2003,86.01471
arg,2004,89.32497
arg,2005,89.05328
arg,2006,88.65323
arg,2007,89.22538
arg,2008,90.65179
arg,2009,89.61199
arg,2010,89.50324
arg,2011,88.85381
arg,2012,89.02491
arg,2013,88.96606
arg,2014,87.72241
arm,1990,97.04406
arm,1991,96.51657
arm,1992,92.71928
arm,1993,82.06377
arm,1994,76.9684
arm,1995,84.25106
arm,1996,57.65082
arm,1997,70.6361
arm,1998,72.12611
arm,1999,65.25164
arm,2000,70.04899
arm,2001,71.17674
arm,2002,61.8061
arm,2003,65.71062
arm,2004,66.90143
arm,2005,68.09842
arm,2006,67.49581
arm,2007,70.55256
arm,2008,73.28613
arm,2009,68.20546
arm,2010,67.40111
arm,2011,71.54993
arm,2012,77.33294
arm,2013,75.49284
arm,2014,74.56187
atg,1990,0
atg,2004,0
atg,2005,0
atg,2006,0
atg,2007,0
aus,1960,85.90669
aus,1961,86.25191
aus,1962,87.06993
aus,1963,87.12822
aus,1964,87.97581
aus,1965,88.04199
aus,1966,89.24177
aus,1967,89.50085
aus,1968,90.10461
aus,1969,90.26962
aus,1970,91.53111
aus,1971,91.17778
aus,1972,91.30559
aus,1973,92.09782
aus,1974,91.82732
aus,1975,91.78091
aus,1976,91.88762
aus,1977,92.67902
aus,1978,92.65499
aus,1979,92.82094
aus,1980,93.18251
aus,1981,92.77558
aus,1982,92.92545
aus,1983,92.84943
aus,1984,93.20671
aus,1985,92.87885
aus,1986,93.42174
aus,1987,93.73861
aus,1988,93.57843
aus,1989,93.85217
aus,1990,93.91129
aus,1991,93.68872
aus,1992,94.34266
aus,1993,93.75835
aus,1994,93.88648
aus,1995,93.83177
aus,1996,93.64822
aus,1997,93.51265
aus,1998,93.87865
aus,1999,93.92791
aus,2000,89.32817
aus,2001,98.05309
aus,2002,95.89021
aus,2003,93.88602
aus,2004,94.06821
aus,2005,94.21585
aus,2006,94.28317
aus,2007,94.2931
aus,2008,94.35149
aus,2009,95.51006
aus,2010,94.42474
aus,2011,94.42166
aus,2012,94.37701
aus,2013,93.70805
aus,2014,93.38684
aus,2015,89.62563
aut,1960,85.44075
aut,1961,86.60941
aut,1962,87.40391
aut,1963,87.86942
aut,1964,89.0884
aut,1965,87.97762
aut,1966,87.48782
aut,1967,87.74547
aut,1968,88.49454
aut,1969,89.51176
aut,1970,88.99204
aut,1971,90.19969
aut,1972,90.12373
aut,1973,89.77446
aut,1974,88.65248
aut,1975,88.39899
aut,1976,89.59968
aut,1977,88.19236
aut,1978,87.60895
aut,1979,87.00763
aut,1980,85.89522
aut,1981,83.96376
aut,1982,82.74159
aut,1983,82.44589
aut,1984,81.83511
aut,1985,81.04281
aut,1986,79.7484
aut,1987,79.57886
aut,1988,74.69315
aut,1989,76.54435
aut,1990,79.13235
aut,1991,79.12701
