geo,time,ny_gdp_pcap_pp_cd
abw,1990,23293.03741
abw,1991,25004.17191
abw,1992,25643.08368
abw,1993,26515.89026
abw,1994,27695.54486
abw,1995,27690.09133
abw,1996,27541.54916
abw,1997,29223.23688
abw,1998,29508.86227
abw,1999,29716.83431
abw,2000,32026.97274
abw,2001,31064.35565
abw,2002,29847.92835
abw,2003,30356.04527
abw,2004,33050.90338
abw,2005,34051.4928
abw,2006,35168.56147
abw,2007,36619.58803
abw,2008,37247.9805
abw,2009,33553.882
abw,2010,32625.49269
abw,2011,34324.79936
abw,2012,33567.55002
abw,2013,36829.03277
abw,2014,36779.42943
abw,2015,37311.75032
abw,2016,37585.02508
abw,2017,38897.12267
afg,2002,877.01427
afg,2003,927.85755
afg,2004,925.44143
afg,2005,1023.05175
afg,2006,1077.76154
afg,2007,1228.70386
afg,2008,1272.57297
afg,2009,1519.69292
afg,2010,1710.57541
afg,2011,1699.48811
afg,2012,1914.77423
afg,2013,2015.51477
afg,2014,2069.42402
afg,2015,2087.30532
afg,2016,1981.11807
afg,2017,2058.40022
afg,2018,2082.63565
afg,2019,2152.36649
afg,2020,2078.64861
ago,1990,3279.22212
ago,1991,3311.77645
ago,1992,3086.56512
ago,1993,2325.18727
ago,1994,2330.24281
ago,1995,2649.36112
ago,1996,2966.38332
ago,1997,3136.51629
ago,1998,3215.10562
ago,1999,3226.12814
ago,2000,3289.40955
ago,2001,3389.19697
ago,2002,3785.15032
ago,2003,3838.79505
ago,2004,4225.46793
ago,2005,4837.70983
ago,2006,5362.01984
ago,2007,6050.61055
ago,2008,6607.29163
ago,2009,6470.67524
ago,2010,6587.98694
ago,2011,6710.75062
ago,2012,7412.96703
ago,2013,7682.47539
ago,2014,8179.29783
ago,2015,7337.56982
ago,2016,7103.22643
ago,2017,7310.89659
ago,2018,7099.97196
ago,2019,6952.41936
ago,2020,6445.43287
alb,1990,2548.11244
alb,1991,1908.0953
alb,1992,1822.33476
alb,1993,2056.37309
alb,1994,2288.67596
alb,1995,2664.37302
alb,1996,2978.50845
alb,1997,2717.64435
alb,1998,3021.04158
alb,1999,3471.66151
alb,2000,3860.80463
alb,2001,4299.54649
alb,2002,4661.4027
alb,2003,5000.04936
alb,2004,5427.73266
alb,2005,5865.3019
alb,2006,6566.57283
alb,2007,7283.34264
alb,2008,8228.34804
alb,2009,8813.02946
alb,2010,9628.72196
alb,2011,10207.76757
alb,2012,10526.25918
alb,2013,10570.96373
alb,2014,11259.26751
alb,2015,11658.90552
alb,2016,12078.84314
alb,2017,12770.96429
alb,2018,13498.11653
alb,2019,13998.02565
alb,2020,13412.09728
are,1990,87172.09973
are,1991,85793.71703
are,1992,85571.6647
are,1993,83796.62966
are,1994,86653.66391
are,1995,89669.43702
are,1996,91887.19029
are,1997,96181.55608
are,1998,92629.35658
are,1999,91712.02149
are,2000,98365.15739
are,2001,96724.06511
are,2002,95551.72764
are,2003,99239.96016
are,2004,101872.97359
are,2005,97671.6293
are,2006,95679.85753
are,2007,87102.97189
are,2008,79732.2435
are,2009,68167.57588
are,2010,64882.85034
are,2011,67686.38538
are,2012,69102.47617
are,2013,70374.23536
are,2014,73619.04466
are,2015,64901.88005
are,2016,63968.88804
are,2017,67183.60531
are,2018,68576.11552
are,2019,71150.54214
are,2020,66771.49975
arg,1990,7191.10509
arg,1991,8000.36231
arg,1992,8713.54576
arg,1993,9526.91335
arg,1994,10168.75018
arg,1995,9963.3609
arg,1996,10579.47727
arg,1997,11507.89541
arg,1998,11949.41866
arg,1999,11581.89051
arg,2000,11618.79323
arg,2001,11226.87975
arg,2002,10052.48826
arg,2003,11025.1861
arg,2004,12214.74071
arg,2005,13568.76921
arg,2006,14951.72895
arg,2007,16570.00783
arg,2008,17404.06914
arg,2009,16334.74081
arg,2010,18061.93436
arg,2011,19322.22712
arg,2012,19641.35286
arg,2013,20131.68042
arg,2014,19683.77151
arg,2015,20105.19899
arg,2016,20307.87005
arg,2017,23597.11775
arg,2018,23293.39863
arg,2019,22999.27505
arg,2020,20770.72642
arm,1990,2772.17485
arm,1991,2554.37317
arm,1992,1548.09624
arm,1993,1479.58548
arm,1994,1631.32153
arm,1995,1817.14826
arm,1996,1989.33573
arm,1997,2115.61704
arm,1998,2313.61779
arm,1999,2439.91275
arm,2000,2658.34432
arm,2001,2995.90885
arm,2002,3463.98606
arm,2003,4043.65506
arm,2004,4614.8698
arm,2005,5455.43499
arm,2006,6411.81964
arm,2007,7551.64364
arm,2008,8300.49199
arm,2009,7233.03993
arm,2010,7506.32191
arm,2011,8025.45848
arm,2012,9364.3753
arm,2013,9835.80246
arm,2014,10036.88984
arm,2015,9969.66485
arm,2016,10704.22976
arm,2017,12115.13929
arm,2018,13020.39632
arm,2019,14231.18019
arm,2020,13312.11386
atg,1990,11586.77979
atg,1991,12079.01639
atg,1992,12284.91355
atg,1993,12974.81357
atg,1994,13837.11177
atg,1995,13221.94934
atg,1996,14045.64927
atg,1997,14757.12431
atg,1998,15306.50488
atg,1999,15789.4352
atg,2000,16843.12161
atg,2001,16173.32622
atg,2002,16367.7349
atg,2003,17458.88373
atg,2004,18718.37078
atg,2005,20269.69099
atg,2006,23180.40071
atg,2007,25613.5465
atg,2008,25690.68949
atg,2009,22435.3937
atg,2010,20611.44578
atg,2011,20347.86848
atg,2012,19598.02386
atg,2013,18797.62637
atg,2014,19039.0045
atg,2015,18911.30689
atg,2016,19920.26578
atg,2017,19840.28404
atg,2018,21521.88505
atg,2019,22774.1742
atg,2020,18241.8682
aus,1990,17367.11058
aus,1991,17822.47528
aus,1992,18214.59787
aus,1993,19159.52159
aus,1994,20094.05411
aus,1995,20923.5552
aus,1996,22008.91159
aus,1997,22972.48786
aus,1998,24210.63627
aus,1999,25296.26355
aus,2000,26343.0767
aus,2001,27439.82779
aus,2002,28768.72863
aus,2003,29807.40956
aus,2004,31407.46145
aus,2005,32653.40162
aus,2006,34369.61939
aus,2007,36599.85073
aus,2008,37499.52513
aus,2009,40281.79967
aus,2010,39336.66348
aus,2011,42003.15806
