geo,time,dc_dac_prtl_cd
afg,2002,1000000
afg,2003,239999.99464
afg,2004,1980000.01907
afg,2005,5550000.19073
afg,2006,6579999.92371
afg,2007,8989999.77112
afg,2008,14180000.30518
afg,2009,11640000.34332
afg,2010,14010000.22888
afg,2011,2099999.90463
afg,2012,2359999.8951
afg,2013,230000.00417
afg,2014,50000.00075
afg,2015,670000.01669
afg,2016,810000.00238
afg,2017,1950000.04768
afg,2018,970000.02861
afg,2019,1649999.97616
ago,1961,23469999.31335
ago,1966,2859999.8951
ago,1967,18469999.31335
ago,1989,9300000.19073
ago,1990,11710000.03815
ago,1991,12930000.30518
ago,1992,16250000
ago,1993,19840000.15259
ago,1994,18100000.38147
ago,1995,24030000.68665
ago,1996,33500000
ago,1997,29360000.61035
ago,1998,23930000.30518
ago,1999,19780000.68665
ago,2000,13350000.38147
ago,2001,11869999.88556
ago,2002,14439999.58038
ago,2003,19489999.77112
ago,2004,715479980.46875
ago,2005,20930000.30518
ago,2006,20079999.92371
ago,2007,19129999.16077
ago,2008,19110000.61035
ago,2009,-9850000.38147
ago,2010,-12800000.19073
ago,2011,-7489999.77112
ago,2012,1539999.96185
ago,2013,-9680000.30518
ago,2014,-23020000.45776
ago,2015,-19399999.61853
ago,2016,-22719999.31335
ago,2017,-23209999.08447
ago,2018,-22979999.54224
ago,2019,-22049999.23706
alb,1995,9999.99978
alb,2012,0
alb,2013,0
alb,2014,29999.99933
alb,2018,0
arg,1996,9999.99978
arg,1997,29999.99933
arg,2001,129999.99523
arg,2002,509999.99046
arg,2004,79999.99821
arg,2005,29999.99933
arg,2006,70000.0003
arg,2007,140000.0006
arg,2008,119999.99732
arg,2009,90000.00358
arg,2010,39999.99911
arg,2011,100000.00149
arg,2012,79999.99821
arg,2013,119999.99732
arg,2014,129999.99523
arg,2015,109999.9994
arg,2016,109999.9994
arg,2017,119999.99732
arg,2018,129999.99523
arg,2019,119999.99732
arm,2002,9999.99978
arm,2016,0
arm,2017,0
arm,2018,0
arm,2019,9999.99978
atg,2017,19999.99955
aze,2015,0
aze,2016,0
aze,2017,0
aze,2018,0
aze,2019,0
bdi,1996,200000.00298
bdi,2005,100000.00149
bdi,2006,79999.99821
bdi,2007,9999.99978
bdi,2016,0
bdi,2017,0
ben,2002,19999.99955
ben,2003,9999.99978
ben,2004,9999.99978
ben,2011,9999.99978
ben,2018,0
ben,2019,0
bfa,2016,0
bfa,2017,0
bfa,2018,0
bfa,2019,0
bgd,2016,0
bgd,2017,9999.99978
bgd,2019,0
bgr,1996,109999.9994
bgr,2000,79999.99821
bgr,2001,29999.99933
bgr,2002,79999.99821
bgr,2003,9999.99978
bgr,2004,79999.99821
bih,1997,129999.99523
bih,1998,990000.00954
bih,1999,920000.01669
bih,2000,1049999.95232
bih,2001,889999.98569
bih,2002,2180000.06676
bih,2003,1120000.00477
bih,2004,7369999.88556
bih,2005,9479999.54224
bih,2006,5820000.17166
bih,2007,12720000.26703
bih,2008,21639999.38965
bih,2009,5969999.79019
bih,2010,3619999.88556
bih,2011,140000.0006
bih,2012,0
bih,2013,-469999.99881
bih,2014,-39999.99911
bih,2015,-389999.98569
bih,2016,-389999.98569
bih,2017,-400000.00596
bih,2018,-419999.98689
bih,2019,-400000.00596
blr,2013,0
blr,2014,9999.99978
blr,2015,9999.99978
blr,2016,0
blr,2017,0
blr,2018,9999.99978
blr,2019,0
bol,2004,9999.99978
bra,1992,140000.0006
bra,1993,250000
bra,1994,469999.99881
bra,1995,70000.0003
bra,1996,829999.98331
bra,1997,340000.00358
bra,1998,930000.00715
bra,1999,860000.01431
bra,2000,620000.00477
bra,2001,860000.01431
bra,2002,1269999.98093
bra,2003,370000.00477
bra,2004,879999.99523
bra,2005,1139999.98569
bra,2006,1200000.04768
bra,2007,3799999.95232
bra,2008,1809999.94278
bra,2009,1419999.95708
bra,2010,8100000.38147
bra,2011,8250000
bra,2012,6469999.79019
bra,2013,4730000.01907
bra,2014,3690000.05722
bra,2015,3069999.93324
bra,2016,2299999.95232
bra,2017,3259999.99046
bra,2018,3849999.90463
bra,2019,4230000.01907
btn,2017,0
bwa,1998,39999.99911
bwa,2007,9999.99978
bwa,2008,79999.99821
bwa,2009,39999.99911
bwa,2010,9999.99978
bwa,2011,90000.00358
bwa,2012,59999.99866
bwa,2013,79999.99821
bwa,2014,70000.0003
bwa,2015,29999.99933
bwa,2016,29999.99933
bwa,2017,39999.99911
bwa,2018,39999.99911
bwa,2019,29999.99933
caf,1998,150000.00596
caf,2000,289999.99166
caf,2001,289999.99166
caf,2014,129999.99523
caf,2015,70000.0003
caf,2016,50000.00075
caf,2017,9999.99978
caf,2018,819999.99285
caf,2019,540000.02146
chl,1996,9999.99978
chl,2001,50000.00075
chl,2002,70000.0003
chl,2003,59999.99866
chl,2004,50000.00075
chl,2005,50000.00075
chl,2006,90000.00358
chl,2007,129999.99523
chl,2008,100000.00149
chl,2009,90000.00358
chl,2010,39999.99911
chl,2011,90000.00358
chl,2012,70000.0003
chl,2013,70000.0003
chl,2014,79999.99821
chl,2015,100000.00149
chl,2016,59999.99866
chl,2017,119999.99732
chn,1993,150000.00596
chn,1994,170000.00179
chn,1997,9999.99978
chn,1998,59999.99866
chn,1999,29999.99933
chn,2000,370000.00477
chn,2001,259999.99046
chn,2002,270000.01073
chn,2004,300000.01192
chn,2005,270000.01073
chn,2006,129999.99523
chn,2007,150000.00596
chn,2008,790000.02146
chn,2009,490000.00954
chn,2010,119999.99732
chn,2011,5590000.15259
chn,2012,9189999.58038
chn,2013,12630000.11444
chn,2014,9800000.19073
chn,2015,4019999.98093
chn,2016,8840000.15259
chn,2017,310000.00238
chn,2018,1259999.99046
chn,2019,1250000
civ,1992,9999.99978
civ,1995,100000.00149
civ,1996,9999.99978
civ,2001,29999.99933
civ,2002,79999.99821
civ,2004,100000.00149
civ,2005,230000.00417
civ,2006,119999.99732
civ,2007,200000.00298
civ,2008,180000.00715
civ,2009,29999.99933
civ,2011,90000.00358
civ,2012,59999.99866
civ,2013,50000.00075
civ,2014,29999.99933
civ,2015,19999.99955
civ,2016,29999.99933
civ,2017,29999.99933
civ,2018,50000.00075
civ,2019,649999.97616
cmr,2002,9999.99978
cmr,2004,9999.99978
cmr,2005,19999.99955
cmr,2009,9999.99978
cmr,2012,9999.99978
cmr,2013,0
cmr,2016,9999.99978
cmr,2017,39999.99911
cmr,2018,39999.99911
cmr,2019,239999.99464
cod,1991,39999.99911
cod,1995,19999.99955
cod,1997,9999.99978
cod,1999,29999.99933
cod,2002,4699999.80927
cod,2003,2400000.09537
cod,2004,170000.00179
cod,2005,509999.99046
cod,2006,1820000.05245
cod,2007,1490000.00954
cod,2008,1259999.99046
cod,2009,479999.98927
cod,2010,209999.99344
cod,2011,29999.99933
cod,2012,39999.99911
cod,2013,0
cod,2016,119999.99732
cod,2017,310000.00238
cod,2018,259999.99046
cod,2019,90000.00358
cog,1994,9999.99978
cog,1995,70000.0003
cog,2013,19999.99955
cog,2014,0
cog,2015,0
cog,2016,100000.00149
cog,2017,150000.00596
cog,2018,29999.99933
cog,2019,9999.99978
col,1994,9999.99978
col,1997,29999.99933
col,1999,9999.99978
col,2002,9999.99978
col,2005,9999.99978
col,2006,9999.99978
col,2007,100000.00149
col,2008,39999.99911
col,2010,19999.99955
col,2011,70000.0003
col,2012,70000.0003
col,2013,79999.99821
col,2014,29999.99933
col,2015,70000.0003
col,2016,209999.99344
col,2017,1000000
col,2018,579999.98331
col,2019,720000.02861
com,2013,0
com,2016,9999.99978
com,2017,0
com,2018,50000.00075
cpv,1961,2720000.02861
cpv,1966,2410000.08583
cpv,1967,709999.97854
cpv,1989,11710000.03815
cpv,1990,15500000
cpv,1991,14229999.54224
cpv,1992,16000000
cpv,1993,15550000.19073
cpv,1994,16989999.77112
cpv,1995,13060000.41962
cpv,1996,15109999.65668
cpv,1997,12359999.65668
cpv,1998,23090000.15259
cpv,1999,20909999.84741
cpv,2000,22819999.69482
cpv,2001,23030000.68665
cpv,2002,10890000.34332
cpv,2003,40229999.54224
cpv,2004,30770000.45776
cpv,2005,45360000.61035
cpv,2006,47299999.23706
cpv,2007,43700000.76294
cpv,2008,62430000.30518
cpv,2009,53470001.2207
cpv,2010,142130004.88281
cpv,2011,146729995.72754
cpv,2012,168190002.44141
cpv,2013,159130004.88281
cpv,2014,137380004.88281
cpv,2015,50139999.38965
cpv,2016,30790000.91553
cpv,2017,24270000.45776
cpv,2018,19000000
cpv,2019,20059999.46594
cri,1996,19999.99955
cri,2001,150000.00596
cri,2014,9999.99978
cri,2015,9999.99978
cri,2018,0
cub,2001,9999.99978
cub,2002,150000.00596
cub,2004,90000.00358
cub,2006,9999.99978
cub,2007,9999.99978
cub,2008,59999.99866
cub,2010,9999.99978
cub,2011,170000.00179
cub,2012,100000.00149
cub,2013,109999.9994
cub,2014,39999.99911
cub,2015,50000.00075
cub,2016,259999.99046
cub,2017,200000.00298
cub,2018,310000.00238
cub,2019,129999.99523
cyp,1994,9999.99978
cyp,1999,39999.99911
cyp,2002,189999.99762
cyp,2003,29999.99933
cyp,2004,109999.9994
cze,1996,9999.99978
cze,1997,9999.99978
cze,2000,79999.99821
cze,2001,50000.00075
cze,2002,79999.99821
cze,2004,129999.99523
dma,2017,50000.00075
dom,1995,289999.99166
dom,2018,0
dza,1993,39999.99911
dza,1995,610000.01431
dza,1996,79999.99821
dza,1997,90000.00358
dza,1998,79999.99821
dza,1999,79999.99821
dza,2000,79999.99821
dza,2001,59999.99866
dza,2002,9999.99978
dza,2003,19999.99955
dza,2004,9999.99978
dza,2005,9999.99978
dza,2006,100000.00149
dza,2007,129999.99523
dza,2008,59999.99866
dza,2009,59999.99866
dza,2010,19999.99955
dza,2011,9999.99978
dza,2012,19999.99955
dza,2013,19999.99955
dza,2014,79999.99821
dza,2015,170000.00179
dza,2016,189999.99762
dza,2017,50000.00075
dza,2018,230000.00417
dza,2019,189999.99762
ecu,1996,9999.99978
ecu,2001,150000.00596
ecu,2013,9999.99978
ecu,2017,0
ecu,2019,0
egy,1993,50000.00075
egy,1995,2710000.03815
egy,1996,9999.99978
egy,2001,9999.99978
egy,2005,19999.99955
egy,2006,9999.99978
egy,2007,70000.0003
egy,2008,90000.00358
egy,2009,29999.99933
egy,2010,9999.99978
egy,2011,90000.00358
egy,2012,90000.00358
egy,2013,119999.99732
egy,2014,119999.99732
egy,2015,109999.9994
egy,2016,109999.9994
egy,2017,119999.99732
egy,2018,140000.0006
egy,2019,129999.99523
eri,2009,39999.99911
eri,2012,9999.99978
eri,2017,9999.99978
eri,2019,50000.00075
est,1996,9999.99978
est,2001,9999.99978
est,2004,9999.99978
eth,2002,2150000.09537
eth,2003,819999.99285
eth,2004,9999.99978
eth,2005,79999.99821
eth,2006,129999.99523
eth,2007,129999.99523
eth,2008,209999.99344
eth,2009,19999.99955
eth,2011,19999.99955
eth,2012,39999.99911
eth,2013,39999.99911
eth,2014,50000.00075
eth,2015,39999.99911
eth,2016,39999.99911
eth,2017,39999.99911
eth,2018,39999.99911
eth,2019,50000.00075
gab,1995,280000.00119
gab,2001,50000.00075
gab,2002,70000.0003
gab,2019,490000.00954
geo,1995,39999.99911
geo,1998,59999.99866
geo,1999,29999.99933
geo,2002,119999.99732
geo,2003,59999.99866
geo,2004,150000.00596
geo,2005,9999.99978
geo,2006,9999.99978
geo,2007,9999.99978
geo,2008,100000.00149
geo,2009,109999.9994
geo,2010,300000.01192
geo,2011,100000.00149
geo,2012,50000.00075
geo,2013,150000.00596
geo,2014,59999.99866
geo,2015,19999.99955
geo,2016,70000.0003
geo,2017,159999.99642
geo,2018,129999.99523
