geo,time,sh_anm_nprg_zs
bel,2001,10.9
bel,2002,10.7
bel,2003,10.7
bel,2004,10.6
bel,2005,10.6
bel,2006,10.7
bel,2007,10.7
bel,2008,10.7
bel,2009,10.8
bel,2010,10.8
bel,2011,11
bel,2012,11.2
bel,2013,11.3
bel,2014,11.5
bel,2015,11.8
bel,2016,12.3
bel,2017,12.7
bel,2018,13.1
bel,2019,13.5
ben,2000,62.1
ben,2001,61.8
ben,2002,61.4
ben,2003,61.1
ben,2004,60.6
ben,2005,60
ben,2006,59.4
ben,2007,58.8
ben,2008,58
ben,2009,57.1
ben,2010,56.3
ben,2011,55.6
ben,2012,55.1
ben,2013,54.8
ben,2014,54.6
ben,2015,54.6
ben,2016,54.6
ben,2017,54.6
ben,2018,54.7
ben,2019,54.8
bfa,2000,56
bfa,2001,55.7
bfa,2002,55.4
bfa,2003,55.1
bfa,2004,54.8
bfa,2005,54.4
bfa,2006,54.1
bfa,2007,53.8
bfa,2008,53.5
bfa,2009,53.2
bfa,2010,53
bfa,2011,52.9
bfa,2012,52.9
bfa,2013,52.8
bfa,2014,52.8
bfa,2015,52.7
bfa,2016,52.6
bfa,2017,52.4
bfa,2018,52.3
bfa,2019,52.2
bgd,2000,34.7
bgd,2001,34.6
bgd,2002,34.7
bgd,2003,34.8
bgd,2004,35
bgd,2005,35.1
bgd,2006,35.2
bgd,2007,35.3
bgd,2008,35.2
bgd,2009,35.2
bgd,2010,35.2
bgd,2011,35.2
bgd,2012,35.3
bgd,2013,35.3
bgd,2014,35.4
bgd,2015,35.5
bgd,2016,35.7
bgd,2017,35.9
bgd,2018,36.2
bgd,2019,36.5
bgr,2000,22.8
bgr,2001,22.7
bgr,2002,22.9
bgr,2003,23.1
bgr,2004,23.3
bgr,2005,23.4
bgr,2006,23.3
bgr,2007,23.1
bgr,2008,22.9
bgr,2009,22.7
bgr,2010,22.5
bgr,2011,22.4
bgr,2012,22.4
bgr,2013,22.5
bgr,2014,22.6
bgr,2015,22.7
bgr,2016,22.9
bgr,2017,23
bgr,2018,23.3
bgr,2019,23.6
bhr,2000,43.7
bhr,2001,42.9
bhr,2002,42.1
bhr,2003,41.5
bhr,2004,40.9
bhr,2005,40.3
bhr,2006,39.6
bhr,2007,38.9
bhr,2008,38.2
bhr,2009,37.5
bhr,2010,37
bhr,2011,36.6
bhr,2012,36.4
bhr,2013,36.2
bhr,2014,35.9
bhr,2015,35.7
bhr,2016,35.7
bhr,2017,35.6
bhr,2018,35.6
bhr,2019,35.5
bhs,2000,17.3
bhs,2001,16.7
bhs,2002,16.3
bhs,2003,16
bhs,2004,15.7
bhs,2005,15.5
bhs,2006,15.2
bhs,2007,14.8
bhs,2008,14.5
bhs,2009,14.1
bhs,2010,13.9
bhs,2011,13.5
bhs,2012,13.2
bhs,2013,13.2
bhs,2014,13.2
bhs,2015,13.3
bhs,2016,13.5
bhs,2017,13.6
bhs,2018,14
bhs,2019,14.4
bih,2000,25.2
bih,2001,24.8
bih,2002,24.6
bih,2003,24.4
bih,2004,24.4
bih,2005,24.3
bih,2006,24.2
bih,2007,24.1
bih,2008,24
bih,2009,23.9
bih,2010,23.8
bih,2011,23.8
bih,2012,23.7
bih,2013,23.7
bih,2014,23.7
bih,2015,23.7
bih,2016,23.8
bih,2017,23.8
bih,2018,24
bih,2019,24.3
blr,2000,21.8
blr,2001,21.7
blr,2002,21.6
blr,2003,21.5
blr,2004,21.2
blr,2005,20.9
blr,2006,20.5
blr,2007,20.1
blr,2008,19.7
blr,2009,19.2
blr,2010,18.9
blr,2011,18.8
blr,2012,18.9
blr,2013,19
blr,2014,19.1
blr,2015,19.4
blr,2016,19.6
blr,2017,19.9
blr,2018,20.2
blr,2019,20.4
blz,2000,27.1
blz,2001,26.5
blz,2002,26
blz,2003,25.4
blz,2004,24.9
blz,2005,24.4
blz,2006,24
blz,2007,23.5
blz,2008,23.1
blz,2009,22.5
blz,2010,21.9
blz,2011,21.4
blz,2012,21.1
blz,2013,20.9
blz,2014,20.8
blz,2015,20.6
blz,2016,20.5
blz,2017,20.4
blz,2018,20.4
blz,2019,20.5
bol,2000,32.9
bol,2001,33
bol,2002,33.1
bol,2003,33
bol,2004,32.7
bol,2005,32.3
bol,2006,32
bol,2007,31.4
bol,2008,30.8
bol,2009,30.2
bol,2010,29.6
bol,2011,28.9
bol,2012,28.2
bol,2013,27.4
bol,2014,27
bol,2015,26.2
bol,2016,25.2
bol,2017,24.5
bol,2018,24
bol,2019,23.9
bra,2000,27
bra,2001,26.3
bra,2002,25.8
bra,2003,25.3
bra,2004,24.9
bra,2005,24.2
bra,2006,23.6
bra,2007,22.8
bra,2008,21.9
bra,2009,20.9
bra,2010,19.8
bra,2011,19
bra,2012,18.3
bra,2013,17.6
bra,2014,17.1
bra,2015,16.7
bra,2016,16.4
bra,2017,16.2
bra,2018,16.1
bra,2019,16
brb,2000,20.5
brb,2001,20.3
brb,2002,20.1
brb,2003,19.9
brb,2004,19.4
brb,2005,19
brb,2006,18.6
brb,2007,18.2
brb,2008,17.8
brb,2009,17.5
brb,2010,17.2
brb,2011,17.1
brb,2012,16.9
brb,2013,16.7
brb,2014,16.7
brb,2015,16.6
brb,2016,16.6
brb,2017,16.6
brb,2018,16.7
brb,2019,16.9
brn,2000,16.6
brn,2001,16.1
brn,2002,15.8
brn,2003,15.6
brn,2004,15.3
brn,2005,15.1
brn,2006,15.1
brn,2007,15.1
brn,2008,14.9
brn,2009,14.7
brn,2010,14.5
brn,2011,14.5
brn,2012,14.4
brn,2013,14.5
brn,2014,14.6
brn,2015,14.8
brn,2016,15.1
brn,2017,15.5
brn,2018,15.9
brn,2019,16.5
btn,2000,45
btn,2001,44.5
btn,2002,44.1
btn,2003,43.7
btn,2004,43.4
btn,2005,43
btn,2006,42.7
btn,2007,42.2
btn,2008,41.7
btn,2009,41.2
btn,2010,40.7
btn,2011,40.2
btn,2012,39.7
btn,2013,39.4
btn,2014,39
btn,2015,38.8
btn,2016,38.6
btn,2017,38.6
btn,2018,38.6
btn,2019,38.7
bwa,2000,36.5
bwa,2001,36.1
bwa,2002,35.6
bwa,2003,35.1
bwa,2004,34.8
bwa,2005,34.3
bwa,2006,33.8
bwa,2007,33.1
bwa,2008,32.6
bwa,2009,32.1
bwa,2010,31.7
bwa,2011,31.4
bwa,2012,31.3
bwa,2013,31.3
bwa,2014,31.4
bwa,2015,31.6
bwa,2016,31.9
bwa,2017,32.1
bwa,2018,32.3
bwa,2019,32.6
caf,2000,50.4
caf,2001,50.1
caf,2002,49.9
caf,2003,49.8
caf,2004,49.6
caf,2005,49.5
caf,2006,49.3
caf,2007,48.9
caf,2008,48.5
caf,2009,48.1
caf,2010,47.9
caf,2011,47.5
caf,2012,47.3
caf,2013,47.2
caf,2014,47.2
caf,2015,47.1
caf,2016,47
caf,2017,46.7
caf,2018,46.4
caf,2019,46.3
can,2000,9.1
can,2001,8.9
can,2002,8.7
can,2003,8.7
can,2004,8.6
can,2005,8.6
can,2006,8.5
can,2007,8.5
can,2008,8.5
can,2009,8.5
can,2010,8.5
can,2011,8.6
can,2012,8.7
can,2013,8.8
can,2014,8.9
can,2015,9.1
can,2016,9.3
can,2017,9.5
can,2018,9.8
can,2019,10.2
che,2000,9.5
che,2001,9.4
che,2002,9.4
che,2003,9.3
che,2004,9.3
che,2005,9.3
che,2006,9.3
che,2007,9.3
che,2008,9.3
che,2009,9.3
che,2010,9.3
che,2011,9.4
che,2012,9.5
che,2013,9.6
che,2014,9.8
che,2015,10
che,2016,10.3
che,2017,10.5
che,2018,10.9
che,2019,11.2
chl,2000,8.7
chl,2001,8.5
chl,2002,8.3
chl,2003,8.1
chl,2004,8
chl,2005,7.8
chl,2006,7.8
chl,2007,7.7
chl,2008,7.6
chl,2009,7.6
chl,2010,7.5
chl,2011,7.5
chl,2012,7.5
chl,2013,7.6
chl,2014,7.6
chl,2015,7.7
chl,2016,7.8
chl,2017,7.9
chl,2018,8.1
chl,2019,8.4
chn,2000,21.9
chn,2001,20.9
chn,2002,20.1
chn,2003,19.4
chn,2004,18.8
chn,2005,18.1
chn,2006,17.4
chn,2007,16.7
chn,2008,16.2
chn,2009,15.6
chn,2010,15.1
chn,2011,14.8
chn,2012,14.7
chn,2013,14.7
chn,2014,14.6
chn,2015,14.8
chn,2016,15
chn,2017,15.1
chn,2018,15.2
chn,2019,15.4
civ,2000,53.7
civ,2001,53.5
civ,2002,53.3
civ,2003,53.2
civ,2004,53.2
civ,2005,53
civ,2006,52.9
civ,2007,52.7
civ,2008,52.5
civ,2009,52.3
civ,2010,52.1
civ,2011,51.9
civ,2012,51.8
civ,2013,51.7
civ,2014,51.5
civ,2015,51.3
civ,2016,51.1
civ,2017,50.9
civ,2018,50.7
civ,2019,50.5
cmr,2000,41.1
cmr,2001,41.1
cmr,2002,41.2
cmr,2003,41.3
cmr,2004,41.3
cmr,2005,41.4
cmr,2006,41.3
cmr,2007,41.1
cmr,2008,41
cmr,2009,40.7
cmr,2010,40.5
cmr,2011,40.4
cmr,2012,40.4
cmr,2013,40.4
cmr,2014,40.3
cmr,2015,40.3
cmr,2016,40.2
cmr,2017,40.1
cmr,2018,40.1
cmr,2019,40.2
cod,2000,52.5
cod,2001,52.3
cod,2002,52.2
cod,2003,51.9
cod,2004,51.6
cod,2005,51.1
cod,2006,50.6
cod,2007,50.1
cod,2008,49.3
cod,2009,48.4
cod,2010,47.5
cod,2011,46.6
cod,2012,45.8
cod,2013,44.9
cod,2014,44.1
cod,2015,43.4
cod,2016,42.9
cod,2017,42.4
cod,2018,42.1
cod,2019,41.9
cog,2000,57.1
cog,2001,57.1
cog,2002,57.2
cog,2003,57.3
cog,2004,57.2
cog,2005,57
cog,2006,56.6
cog,2007,56.3
cog,2008,55.7
cog,2009,55.1
cog,2010,54.4
cog,2011,53.8
cog,2012,53
cog,2013,52.3
cog,2014,51.6
cog,2015,51
cog,2016,50.2
cog,2017,49.6
cog,2018,49
cog,2019,48.7
col,2000,30.1
col,2001,29.6
col,2002,29.1
col,2003,28.6
col,2004,28
col,2005,27.3
col,2006,26.6
col,2007,25.7
col,2008,24.8
col,2009,24
col,2010,23.2
col,2011,22.5
col,2012,22
col,2013,21.5
col,2014,21.2
col,2015,21
col,2016,20.9
col,2017,20.9
col,2018,20.9
col,2019,21.1
com,2000,37.9
com,2001,37.3
com,2002,36.8
com,2003,36.3
com,2004,35.8
com,2005,35.2
com,2006,34.6
com,2007,34
com,2008,33.5
com,2009,33.1
com,2010,32.7
com,2011,32.4
com,2012,32.2
com,2013,32.2
com,2014,32.3
com,2015,32.5
com,2016,32.7
com,2017,32.9
com,2018,33.1
com,2019,33.5
cpv,2000,31.3
cpv,2001,30.7
cpv,2002,30.2
cpv,2003,29.7
cpv,2004,29.3
cpv,2005,28.9
cpv,2006,28.5
cpv,2007,28.1
cpv,2008,27.7
cpv,2009,27.3
cpv,2010,26.8
cpv,2011,26.5
cpv,2012,26.2
cpv,2013,25.9
cpv,2014,25.6
cpv,2015,25.2
cpv,2016,24.8
cpv,2017,24.5
cpv,2018,24.2
cpv,2019,23.9
cri,2000,15.9
cri,2001,15.5
cri,2002,15.1
cri,2003,14.7
cri,2004,14.3
cri,2005,13.9
cri,2006,13.5
cri,2007,13.1
cri,2008,12.8
cri,2009,12.5
cri,2010,12.2
cri,2011,12.1
cri,2012,12.1
cri,2013,12.1
cri,2014,12.2
cri,2015,12.4
cri,2016,12.6
cri,2017,12.9
cri,2018,13.2
cri,2019,13.6
cub,2000,28.5
cub,2001,27.8
cub,2002,27.2
cub,2003,26.7
cub,2004,26
cub,2005,25.1
cub,2006,24.1
cub,2007,23.2
cub,2008,22.5
cub,2009,21.7
cub,2010,20.9
cub,2011,20.4
cub,2012,20.1
cub,2013,19.8
cub,2014,19.6
cub,2015,19.4
cub,2016,19.2
cub,2017,19.2
cub,2018,19.2
cub,2019,19.2
cyp,2000,12.2
cyp,2001,12
cyp,2002,11.9
cyp,2003,11.8
cyp,2004,11.8
cyp,2005,11.8
cyp,2006,11.8
cyp,2007,11.7
cyp,2008,11.7
cyp,2009,11.6
cyp,2010,11.7
cyp,2011,11.7
cyp,2012,11.8
cyp,2013,11.9
cyp,2014,12.1
cyp,2015,12.3
cyp,2016,12.5
cyp,2017,12.8
cyp,2018,13.1
cyp,2019,13.4
cze,2000,19.8
cze,2001,19.6
cze,2002,19.5
cze,2003,19.4
cze,2004,19.3
cze,2005,19.2
cze,2006,19.2
cze,2007,19.2
cze,2008,19.2
cze,2009,19.4
cze,2010,19.5
cze,2011,19.8
cze,2012,19.9
cze,2013,20.1
cze,2014,20.3
cze,2015,20.5
cze,2016,20.6
cze,2017,20.7
cze,2018,20.9
cze,2019,21.1
deu,2000,9.7
deu,2001,9.6
deu,2002,9.5
deu,2003,9.5
deu,2004,9.4
deu,2005,9.4
deu,2006,9.3
deu,2007,9.3
deu,2008,9.3
deu,2009,9.3
deu,2010,9.3
deu,2011,9.4
deu,2012,9.5
deu,2013,9.6
deu,2014,9.8
deu,2015,10.1
deu,2016,10.4
deu,2017,10.7
deu,2018,11.1
deu,2019,11.6
dji,2000,36.7
dji,2001,36.1
dji,2002,35.3
dji,2003,34.5
dji,2004,33.7
dji,2005,32.8
dji,2006,32.2
dji,2007,31.8
dji,2008,31.2
dji,2009,30.8
dji,2010,30.5
dji,2011,30.5
dji,2012,30.6
dji,2013,30.7
dji,2014,30.8
dji,2015,31
dji,2016,31.2
dji,2017,31.5
dji,2018,31.7
dji,2019,32.1
dma,2000,25.6
dma,2001,24.6
dma,2002,23.7
dma,2003,22.9
dma,2004,22.4
dma,2005,21.9
dma,2006,21.5
dma,2007,21.2
dma,2008,21
dma,2009,20.7
dma,2010,20.4
dma,2011,20.2
dma,2012,20
dma,2013,19.8
dma,2014,19.8
dma,2015,19.8
dma,2016,19.9
dma,2017,20
dma,2018,20.3
dma,2019,20.7
dnk,2000,12
dnk,2001,12
dnk,2002,11.9
dnk,2003,11.7
dnk,2004,11.5
dnk,2005,11.4
dnk,2006,11.4
dnk,2007,11.3
dnk,2008,11.2
dnk,2009,11.1
dnk,2010,11.1
dnk,2011,11.2
dnk,2012,11.3
dnk,2013,11.3
dnk,2014,11.4
dnk,2015,11.5
dnk,2016,11.6
dnk,2017,11.8
dnk,2018,11.9
dnk,2019,12.1
dom,2000,36.8
dom,2001,36.2
dom,2002,35.5
dom,2003,34.7
dom,2004,33.9
dom,2005,33
dom,2006,31.9
dom,2007,30.8
dom,2008,30
dom,2009,29.4
dom,2010,28.8
dom,2011,28.4
dom,2012,27.9
dom,2013,27.6
dom,2014,27.5
dom,2015,27.2
dom,2016,26.8
dom,2017,26.5
dom,2018,26.4
dom,2019,26.4
dza,2000,37.7
dza,2001,37
dza,2002,36.5
dza,2003,36
dza,2004,35.6
dza,2005,35.2
dza,2006,34.8
dza,2007,34.4
dza,2008,34
dza,2009,33.6
dza,2010,33.3
dza,2011,33
dza,2012,32.8
dza,2013,32.7
dza,2014,32.7
dza,2015,32.7
dza,2016,32.8
dza,2017,33
dza,2018,33.1
dza,2019,33.3
ecu,2000,24.8
ecu,2001,23.9
ecu,2002,23.1
ecu,2003,22.4
ecu,2004,21.7
ecu,2005,21.1
ecu,2006,20.4
ecu,2007,19.7
ecu,2008,19
ecu,2009,18.5
ecu,2010,18
ecu,2011,17.5
ecu,2012,17
ecu,2013,16.8
ecu,2014,16.7
ecu,2015,16.7
ecu,2016,16.7
ecu,2017,16.7
ecu,2018,16.8
ecu,2019,17
egy,2000,35.9
egy,2001,35.6
egy,2002,35.5
egy,2003,35.4
egy,2004,35.1
egy,2005,34.8
egy,2006,34.4
egy,2007,34
egy,2008,33.5
egy,2009,32.8
egy,2010,32.2
egy,2011,31.7
egy,2012,31.2
egy,2013,30.9
egy,2014,30.5
egy,2015,29.9
egy,2016,29.4
egy,2017,29
egy,2018,28.7
egy,2019,28.4
eri,2000,40.8
eri,2001,40.3
eri,2002,39.9
eri,2003,39.5
eri,2004,39.1
eri,2005,38.7
eri,2006,38.2
eri,2007,37.6
eri,2008,37.1
eri,2009,36.6
eri,2010,36.2
eri,2011,35.9
eri,2012,35.7
eri,2013,35.7
eri,2014,35.7
eri,2015,35.9
eri,2016,36.1
eri,2017,36.2
eri,2018,36.4
eri,2019,36.7
esp,2000,11.3
esp,2001,11.1
esp,2002,11.1
esp,2003,11
esp,2004,11
esp,2005,11.1
esp,2006,11.2
esp,2007,11.3
esp,2008,11.4
esp,2009,11.5
esp,2010,11.6
esp,2011,11.7
esp,2012,11.8
esp,2013,11.9
esp,2014,12.1
esp,2015,12.2
esp,2016,12.4
esp,2017,12.7
esp,2018,12.9
esp,2019,13.3
est,2000,21.6
est,2001,21.3
est,2002,21.2
est,2003,21.1
est,2004,20.9
est,2005,20.8
est,2006,20.8
est,2007,20.6
est,2008,20.4
est,2009,20.4
est,2010,20.5
est,2011,20.6
est,2012,20.7
est,2013,20.7
est,2014,21
est,2015,21.1
est,2016,21.2
est,2017,21.3
est,2018,21.4
est,2019,21.7
eth,2000,32.4
eth,2001,31.5
eth,2002,30.6
eth,2003,29.7
eth,2004,28.7
eth,2005,27.6
eth,2006,26.5
eth,2007,25.4
eth,2008,24.3
eth,2009,23.3
eth,2010,22.6
eth,2011,22
eth,2012,21.8
eth,2013,21.6
eth,2014,21.7
eth,2015,21.9
eth,2016,22.2
eth,2017,22.5
eth,2018,22.9
eth,2019,23.5
fin,2000,10.3
fin,2001,10.1
fin,2002,10
fin,2003,9.9
fin,2004,9.8
fin,2005,9.7
fin,2006,9.6
fin,2007,9.5
fin,2008,9.5
fin,2009,9.4
fin,2010,9.4
fin,2011,9.4
fin,2012,9.5
fin,2013,9.6
fin,2014,9.7
fin,2015,9.8
fin,2016,10
fin,2017,10.2
fin,2018,10.5
fin,2019,10.7
fji,2000,34.1
fji,2001,33.6
fji,2002,33.1
fji,2003,32.7
fji,2004,32.5
fji,2005,32.2
fji,2006,31.9
fji,2007,31.7
fji,2008,31.4
fji,2009,31.1
fji,2010,31
fji,2011,30.9
fji,2012,30.9
fji,2013,30.8
fji,2014,30.8
fji,2015,30.8
fji,2016,31
fji,2017,31.1
fji,2018,31.2
fji,2019,31.5
fra,2000,8.2
fra,2001,8.1
fra,2002,8.1
fra,2003,8.2
fra,2004,8.2
fra,2005,8.3
fra,2006,8.3
fra,2007,8.4
fra,2008,8.4
fra,2009,8.4
fra,2010,8.4
fra,2011,8.5
fra,2012,8.6
fra,2013,8.7
fra,2014,8.9
fra,2015,9.2
fra,2016,9.5
fra,2017,9.8
fra,2018,10.1
fra,2019,10.4
fsm,2000,20.5
fsm,2001,20.4
fsm,2002,20.4
fsm,2003,20.5
fsm,2004,20.7
fsm,2005,20.8
fsm,2006,21
fsm,2007,21.2
fsm,2008,21.2
fsm,2009,21.3
fsm,2010,21.4
fsm,2011,21.7
fsm,2012,21.9
fsm,2013,22.2
fsm,2014,22.4
fsm,2015,22.8
fsm,2016,23.2
fsm,2017,23.6
fsm,2018,23.9
fsm,2019,24.4
gab,2000,58.6
gab,2001,58.5
gab,2002,58.4
gab,2003,58.3
gab,2004,58.2
gab,2005,58
gab,2006,57.8
gab,2007,57.4
gab,2008,57.1
gab,2009,56.7
gab,2010,56.3
gab,2011,55.9
gab,2012,55.4
gab,2013,54.9
gab,2014,54.4
gab,2015,54
gab,2016,53.6
gab,2017,53.2
gab,2018,52.8
gab,2019,52.4
gbr,2000,9.2
gbr,2001,9
gbr,2002,8.9
gbr,2003,8.8
gbr,2004,8.8
gbr,2005,8.8
gbr,2006,8.8
gbr,2007,8.8
gbr,2008,8.9
gbr,2009,8.9
gbr,2010,9
gbr,2011,9.1
gbr,2012,9.2
gbr,2013,9.3
gbr,2014,9.5
gbr,2015,9.7
gbr,2016,9.9
gbr,2017,10.2
gbr,2018,10.5
gbr,2019,10.9
geo,2000,31.6
geo,2001,31
geo,2002,30.4
geo,2003,29.9
geo,2004,29.3
geo,2005,28.9
geo,2006,28.7
geo,2007,28.3
geo,2008,27.9
geo,2009,27.7
geo,2010,27.4
geo,2011,27.1
geo,2012,26.9
geo,2013,26.8
geo,2014,26.8
geo,2015,26.8
geo,2016,26.8
geo,2017,26.9
geo,2018,27.2
geo,2019,27.5
gha,2000,48.4
gha,2001,48.4
gha,2002,48.6
gha,2003,48.8
gha,2004,48.9
gha,2005,48.8
gha,2006,48.6
gha,2007,48.1
gha,2008,47.5
gha,2009,46.7
gha,2010,45.7
gha,2011,44.5
gha,2012,43.4
gha,2013,42.4
gha,2014,41.1
gha,2015,39.8
gha,2016,38.4
gha,2017,36.9
gha,2018,35.6
gha,2019,34.5
gin,2000,51.6
gin,2001,51.7
gin,2002,51.8
gin,2003,51.9
gin,2004,51.9
gin,2005,51.9
gin,2006,51.8
gin,2007,51.7
gin,2008,51.4
gin,2009,51.1
gin,2010,50.8
gin,2011,50.6
gin,2012,50.3
gin,2013,50.1
gin,2014,49.8
gin,2015,49.4
gin,2016,48.9
gin,2017,48.4
gin,2018,47.9
gin,2019,47.5
gmb,2000,62.2
gmb,2001,61.9
gmb,2002,61.7
gmb,2003,61.4
gmb,2004,61.1
gmb,2005,60.6
gmb,2006,60.2
gmb,2007,59.7
gmb,2008,59.1
gmb,2009,58.4
gmb,2010,57.7
gmb,2011,57
gmb,2012,56.2
gmb,2013,55.3
gmb,2014,54.5
gmb,2015,53.5
gmb,2016,52.4
gmb,2017,51.2
gmb,2018,50.1
gmb,2019,48.9
gnb,2000,53.5
gnb,2001,53.2
gnb,2002,53
gnb,2003,52.8
gnb,2004,52.6
gnb,2005,52.3
gnb,2006,52
gnb,2007,51.7
gnb,2008,51.2
gnb,2009,50.7
gnb,2010,50.2
gnb,2011,49.8
gnb,2012,49.4
gnb,2013,49.1
gnb,2014,48.9
gnb,2015,48.6
gnb,2016,48.4
gnb,2017,48.1
gnb,2018,47.9
gnb,2019,47.7
gnq,2000,56.3
gnq,2001,55.4
gnq,2002,54.6
gnq,2003,53.9
gnq,2004,53.1
gnq,2005,52.4
gnq,2006,51.6
gnq,2007,50.8
gnq,2008,49.9
gnq,2009,49.1
gnq,2010,48.3
gnq,2011,47.6
gnq,2012,46.9
gnq,2013,46.4
gnq,2014,45.8
gnq,2015,45.4
gnq,2016,45
gnq,2017,44.6
gnq,2018,44.3
gnq,2019,44.2
grc,2000,12.8
grc,2001,12.6
grc,2002,12.4
grc,2003,12.3
grc,2004,12.3
grc,2005,12.4
grc,2006,12.3
grc,2007,12.3
grc,2008,12.3
grc,2009,12.3
grc,2010,12.4
grc,2011,12.5
grc,2012,12.7
grc,2013,12.9
grc,2014,13.2
grc,2015,13.5
grc,2016,13.8
grc,2017,14.2
grc,2018,14.6
grc,2019,14.9
grd,2000,24.5
grd,2001,23.8
grd,2002,23.2
grd,2003,22.4
grd,2004,22
grd,2005,21.4
grd,2006,21
grd,2007,20.5
grd,2008,20
grd,2009,19.6
grd,2010,19.4
grd,2011,19
grd,2012,18.7
grd,2013,18.6
grd,2014,18.5
grd,2015,18.5
grd,2016,18.6
grd,2017,18.7
