geo,time,eg_imp_cons_zs
ago,1971,-136.78992
ago,1972,-153.69331
ago,1973,-182.75728
ago,1974,-187.07537
ago,1975,-176.5255
ago,1976,-173.97439
ago,1977,-166.83002
ago,1978,-130.49094
ago,1979,-145.52096
ago,1980,-147.65349
ago,1981,-124.34031
ago,1982,-129.53693
ago,1983,-177.16271
ago,1984,-203.6956
ago,1985,-215.48706
ago,1986,-263.26977
ago,1987,-331.78355
ago,1988,-403.08925
ago,1989,-394.39523
ago,1990,-387.01802
ago,1991,-397.26604
ago,1992,-440.71854
ago,1993,-386.72435
ago,1994,-418.09319
ago,1995,-472.40651
ago,1996,-507.33402
ago,1997,-520.23216
ago,1998,-542.37071
ago,1999,-519.35241
ago,2000,-504.159
ago,2001,-475.11126
ago,2002,-550.71419
ago,2003,-501.43666
ago,2004,-555.80954
ago,2005,-735.86429
ago,2006,-759.62879
ago,2007,-858.18882
ago,2008,-885.24594
ago,2009,-764.54942
ago,2010,-703.77238
ago,2011,-619.05389
ago,2012,-589.50613
ago,2013,-594.54614
ago,2014,-540.99747
alb,1971,-41.69941
alb,1972,-53.63423
alb,1973,-72.51853
alb,1974,-49.21827
alb,1975,-47.19517
alb,1976,-41.39047
alb,1977,-37.40696
alb,1978,-34.85332
alb,1979,-50.54397
alb,1980,-12.25825
alb,1981,-0.07643
alb,1982,1.12903
alb,1983,0.85184
alb,1984,-2.2641
alb,1985,-3.81586
alb,1986,-3.3112
alb,1987,-2.51956
alb,1988,0.42061
alb,1989,-0.65685
alb,1990,7.96506
alb,1991,-2.78362
alb,1992,-3.37625
alb,1993,-0.09776
alb,1994,9.33073
alb,1995,6.63592
alb,1996,6.2913
alb,1997,8.69986
alb,1998,18.4129
alb,1999,40.24967
alb,2000,45.00241
alb,2001,51.68878
alb,2002,53.0441
alb,2003,49.01463
alb,2004,46.00382
alb,2005,47.76617
alb,2006,42.377
alb,2007,47.99839
alb,2008,45.21933
alb,2009,41.66725
alb,2010,23.71398
alb,2011,33.26029
alb,2012,16.29787
alb,2013,12.32071
alb,2014,13.79797
are,1971,-5116.12712
are,1972,-5588.72932
are,1973,-5734.55041
are,1974,-6106.88422
are,1975,-4258.01668
are,1976,-3842.63742
are,1977,-2365.80417
are,1978,-1883.33713
are,1979,-1612.65153
are,1980,-1147.41413
are,1981,-829.97923
are,1982,-634.53401
are,1983,-611.18298
are,1984,-432.41042
are,1985,-362.22836
are,1986,-369.883
are,1987,-363.06642
are,1988,-371.65948
are,1989,-393.38417
are,1990,-439.55311
are,1991,-441.92685
are,1992,-499.19657
are,1993,-458.34488
are,1994,-412.65323
are,1995,-394.96746
are,1996,-379.01663
are,1997,-376.87235
are,1998,-376.62853
are,1999,-341.43473
are,2000,-388.16637
are,2001,-285.94491
are,2002,-271.81653
are,2003,-313.70428
are,2004,-306.34032
are,2005,-294.15419
are,2006,-300.81671
are,2007,-265.59919
are,2008,-212.82085
are,2009,-179.80684
are,2010,-181.45959
are,2011,-191.24916
are,2012,-183.35443
are,2013,-187.52424
are,2014,-183.84397
arg,1971,9.18358
arg,1972,9.4542
arg,1973,14.22696
arg,1974,14.95534
arg,1975,14.74383
arg,1976,16.54506
arg,1977,14.3632
arg,1978,12.8437
arg,1979,11.55583
arg,1980,7.16871
arg,1981,3.37339
arg,1982,2.65154
arg,1983,-0.4085
arg,1984,0.89451
arg,1985,-2.9173
arg,1986,2.26901
arg,1987,6.38149
arg,1988,3.31958
arg,1989,-1.57735
arg,1990,-5.10971
arg,1991,-5.75462
arg,1992,-8.78137
arg,1993,-14.06663
arg,1994,-17.16983
arg,1995,-24.20045
arg,1996,-29.50647
arg,1997,-32.77603
arg,1998,-32.97148
arg,1999,-32.32028
arg,2000,-34.65256
arg,2001,-45.53511
arg,2002,-45.62213
arg,2003,-41.41718
arg,2004,-29.82443
arg,2005,-26.5428
arg,2006,-18.15882
arg,2007,-12.66995
arg,2008,-6.23159
arg,2009,-7.35451
arg,2010,-1.07204
arg,2011,3.21791
arg,2012,6.14145
arg,2013,12.68858
arg,2014,13.02936
arm,1990,98.0705
arm,1991,98.18049
arm,1992,93.3085
arm,1993,82.51092
arm,1994,77.06829
arm,1995,84.31898
arm,1996,57.65077
arm,1997,70.37276
arm,1998,70.49798
arm,1999,64.12115
arm,2000,68.07252
arm,2001,69.58601
arm,2002,60.18361
arm,2003,64.51257
arm,2004,63.81405
arm,2005,65.42836
arm,2006,66.45051
arm,2007,70.78468
arm,2008,73.21743
arm,2009,68.10664
arm,2010,64.65123
arm,2011,67.34422
arm,2012,72.70666
arm,2013,72.04648
arm,2014,71.3413
aus,1960,32.32547
aus,1961,30.98007
aus,1962,32.83598
aus,1963,34.46592
aus,1964,32.19658
aus,1965,28.26915
aus,1966,28.42404
aus,1967,28.33909
aus,1968,21.95899
aus,1969,16.78347
aus,1970,6.14993
aus,1971,-4.33555
aus,1972,-17.40751
aus,1973,-19.15686
aus,1974,-14.54795
aus,1975,-24.15363
aus,1976,-21.71584
aus,1977,-24.06255
aus,1978,-22.7957
aus,1979,-27.27487
aus,1980,-22.71216
aus,1981,-38.69796
aus,1982,-34.86464
aus,1983,-53.47947
aus,1984,-63.69298
aus,1985,-76.5549
aus,1986,-84.25709
aus,1987,-91.82991
aus,1988,-75.86279
aus,1989,-72.07401
aus,1990,-82.37047
aus,1991,-96.08562
aus,1992,-98.39685
aus,1993,-92.35458
aus,1994,-90.87476
aus,1995,-101.62533
aus,1996,-92.13294
aus,1997,-98.47262
aus,1998,-108.32675
aus,1999,-101.1088
aus,2000,-116.05071
aus,2001,-135.64555
aus,2002,-132.12721
aus,2003,-127.82602
aus,2004,-125.59655
