global,time,se_prm_enrl_tc_zs
world,1970,28.105
world,1971,28.23694
world,1972,27.836
world,1973,28.36033
world,1974,28.48107
world,1975,28.62487
world,1976,28.63334
world,1977,28.73086
world,1978,28.57155
world,1979,28.60349
world,1980,28.34571
world,1981,28.16444
world,1982,27.80012
world,1983,27.42866
world,1984,27.23172
world,1985,27.14291
world,1986,26.93052
world,1987,26.83477
world,1988,26.6785
world,1989,26.25206
world,1990,26.21584
world,1991,26.15986
world,1992,26.12866
world,1993,26.13342
world,1994,26.20764
world,1995,26.29711
world,1996,26.31457
world,1997,26.47088
world,1998,26.61422
world,1999,26.55149
world,2000,26.30914
world,2001,26.0185
world,2002,25.82453
world,2003,25.25962
world,2004,25.39072
world,2005,25.24855
world,2006,25.14194
world,2007,25.04689
world,2008,24.97171
world,2009,24.68045
world,2010,24.31042
world,2011,24.11758
world,2012,24.19696
world,2013,23.55038
world,2014,23.29472
world,2015,23.10596
world,2016,23.44392
world,2017,23.38904
world,2018,23.44631
