geo,time,sh_xpd_chex_pc_cd
afg,2002,15.80316
afg,2003,17.03574
afg,2004,20.41276
afg,2005,23.8905
afg,2006,27.83657
afg,2007,31.27184
afg,2008,38.10266
afg,2009,41.72274
afg,2010,44.99053
afg,2011,50.85347
afg,2012,51.44026
afg,2013,55.03463
afg,2014,59.00893
afg,2015,58.90653
afg,2016,60.18867
afg,2017,65.70602
afg,2018,69.9986
afg,2019,65.80603
ago,2000,12.99897
ago,2001,28.91812
ago,2002,29.04936
ago,2003,34.87519
ago,2004,49.81074
ago,2005,54.26078
ago,2006,69.8123
ago,2007,92.86031
ago,2008,135.60582
ago,2009,119.99628
ago,2010,96.69701
ago,2011,122.10723
ago,2012,122.18559
ago,2013,143.60687
ago,2014,131.64766
ago,2015,108.58294
ago,2016,95.12498
ago,2017,114.3346
ago,2018,87.31074
ago,2019,71.326
alb,2000,80.61695
alb,2001,89.58073
alb,2002,96.27112
alb,2003,125.98798
alb,2004,156.56818
alb,2005,165.26537
alb,2006,174.53024
alb,2007,222.30367
alb,2008,220.46425
alb,2009,186.44281
alb,2010,192.00322
alb,2011,211.07552
alb,2012,213.71974
alb,2013,236.95796
alb,2014,251.35826
alb,2015,192.88513
alb,2016,202.01332
alb,2017,226.28067
alb,2018,274.91409
and,2000,1302.62073
and,2001,1347.48499
and,2002,1528.75061
and,2003,1820.04187
and,2004,2043.30225
and,2005,2299.70361
and,2006,2161.20532
and,2007,2403.59912
and,2008,2818.80469
and,2009,2714.24976
and,2010,2685.47974
and,2011,2634.03271
and,2012,2370.05713
and,2013,2432.78271
and,2014,2529.08984
and,2015,2246.25439
and,2016,2361.21753
and,2017,2567.42383
and,2018,2821.80127
and,2019,2744.19434
are,2000,787.02112
are,2001,777.13062
are,2002,857.91193
are,2003,886.50122
are,2004,894.54041
are,2005,913.35608
are,2006,974.52063
are,2007,1072.70532
are,2008,1303.14075
are,2009,1296.97766
are,2010,1314.63
are,2011,1438.47217
are,2012,1403.5249
are,2013,1523.88379
are,2014,1588.28235
are,2015,1385.53772
are,2016,1322.00427
are,2017,1650.01855
are,2018,1817.34766
are,2019,1842.69446
arg,2000,708.76953
arg,2001,675.05786
arg,2002,223.8486
arg,2003,262.28659
arg,2004,311.64505
arg,2005,392.58875
arg,2006,455.7981
arg,2007,572.0401
arg,2008,746.49329
arg,2009,785.67023
arg,2010,985.03442
arg,2011,1208.3916
arg,2012,1368.42297
arg,2013,1421.65759
arg,2014,1286.21765
arg,2015,1531.48425
arg,2016,1153.53406
arg,2017,1529.67004
arg,2018,1127.92847
arg,2019,945.99194
arm,2000,26.12909
arm,2001,32.25934
arm,2002,59.63239
arm,2003,66.77802
arm,2004,72.17178
arm,2005,96.35484
arm,2006,126.25294
arm,2007,172.60187
arm,2008,266.31158
arm,2009,252.8356
arm,2010,297.22906
arm,2011,330.57556
arm,2012,336.32056
arm,2013,396.23254
arm,2014,405.72888
arm,2015,364.97281
arm,2016,357.45776
arm,2017,405.6507
arm,2018,422.28268
arm,2019,523.99908
atg,2000,512.5683
atg,2001,563.73712
atg,2002,550.06458
atg,2003,602.6936
atg,2004,585.72125
atg,2005,626.71667
atg,2006,648.22711
atg,2007,694.53644
atg,2008,673.83752
atg,2009,591.42523
atg,2010,701.81781
atg,2011,693.80725
atg,2012,727.25696
atg,2013,711.2298
atg,2014,792.84149
atg,2015,754.24188
atg,2016,778.45111
atg,2017,750.01923
atg,2018,808.69928
atg,2019,760.26495
aus,2000,1638.81494
aus,2001,1564.1665
aus,2002,1770.46619
aus,2003,2249.29077
aus,2004,2767.13696
