geo,time,eg_elc_fosl_zs
ago,1971,18.46361
ago,1972,18.85442
ago,1973,17.27642
ago,1974,30.18714
ago,1975,27.20307
ago,1976,26.83761
ago,1977,26.83761
ago,1978,9.74359
ago,1979,11.90476
ago,1980,11.85185
ago,1981,11.85185
ago,1982,12.36111
ago,1983,26.18135
ago,1984,10.29851
ago,1985,13.0273
ago,1986,13.0273
ago,1987,13.45679
ago,1988,13.98773
ago,1989,13.30891
ago,1990,13.7931
ago,1991,17.34475
ago,1992,11.29884
ago,1993,6.31579
ago,1994,6.28272
ago,1995,6.25
ago,1996,10.01946
ago,1997,23.64747
ago,1998,19.57511
ago,1999,33.03371
ago,2000,36.88581
ago,2001,37.91209
ago,2002,35.24079
ago,2003,37.79449
ago,2004,21.59498
ago,2005,20.35176
ago,2006,19.38899
ago,2007,22.3811
ago,2008,24.59095
ago,2009,34.65681
ago,2010,32.04258
ago,2011,29.0922
ago,2012,39.20052
ago,2013,41.97907
ago,2014,46.82489
ago,2015,46.82507
alb,1971,42.85714
alb,1972,37.93103
alb,1973,33.78378
alb,1974,31.57895
alb,1975,28.08989
alb,1976,25.4902
alb,1977,23.47826
alb,1978,22.58065
alb,1979,21.16788
alb,1980,20.59219
alb,1981,18.66667
alb,1982,16.99867
alb,1983,15.34392
alb,1984,26.31154
alb,1985,32.31649
alb,1986,20.46612
alb,1987,23.77702
alb,1988,26.22992
alb,1989,25.34562
alb,1990,13.59223
alb,1991,7.85752
alb,1992,4.94991
alb,1993,6.09238
alb,1994,4.31363
alb,1995,6.01386
alb,1996,4.27951
alb,1997,3.82555
alb,1998,3.67978
alb,1999,2.67084
alb,2000,3.85098
alb,2001,4.69169
alb,2002,6.04601
alb,2003,2.14343
alb,2004,2.49732
alb,2005,1.28606
alb,2006,1.68356
alb,2007,2.51748
alb,2008,0
alb,2009,0.01922
alb,2010,0.01321
alb,2011,1.40778
alb,2012,0
alb,2013,0
alb,2014,0
alb,2015,0
are,1971,100
are,1972,100
are,1973,100
are,1974,100
are,1975,100
are,1976,100
are,1977,100
are,1978,100
are,1979,100
are,1980,100
are,1981,100
are,1982,100
are,1983,100
are,1984,100
are,1985,100
are,1986,100
are,1987,100
are,1988,100
are,1989,100
are,1990,100
are,1991,100
are,1992,100
are,1993,100
are,1994,100
are,1995,100
are,1996,100
are,1997,100
are,1998,100
are,1999,100
are,2000,100
are,2001,100
are,2002,100
are,2003,100
are,2004,100
are,2005,100
are,2006,100
are,2007,100
are,2008,100
are,2009,100
are,2010,100
are,2011,100
are,2012,100
are,2013,99.90586
are,2014,99.74169
are,2015,99.7676
arg,1971,93.22299
arg,1972,93.76432
arg,1973,88.55632
arg,1974,78.0966
arg,1975,73.48601
arg,1976,74.70876
arg,1977,76.9722
arg,1978,67.96973
arg,1979,64.28097
arg,1980,55.72458
arg,1981,54.72335
arg,1982,50.93015
arg,1983,48.90124
arg,1984,45.25642
arg,1985,41.39401
arg,1986,45.25437
arg,1987,45.39864
arg,1988,59.89741
arg,1989,64.12069
arg,1990,50.20891
arg,1991,55.09949
arg,1992,52.4579
arg,1993,48.47993
arg,1994,44.63237
arg,1995,49.24271
arg,1996,55.89645
arg,1997,49.60165
arg,1998,53.53997
arg,1999,63.87463
arg,2000,59.89315
arg,2001,50.33679
arg,2002,49.54353
arg,2003,53.82701
arg,2004,60.50916
arg,2005,59.95962
arg,2006,55.67564
arg,2007,63.439
arg,2008,67.62853
arg,2009,64.37881
arg,2010,65.68979
arg,2011,62.77643
arg,2012,66.02373
arg,2013,64.05255
arg,2014,64.25707
arg,2015,66.93502
arm,1990,84.99324
arm,1991,83.75368
arm,1992,66.1928
arm,1993,31.80302
arm,1994,37.89325
arm,1995,60.02518
arm,1996,37.30286
arm,1997,50.29026
arm,1998,49.50735
arm,1999,42.66224
arm,2000,45.18295
arm,2001,48.56397
arm,2002,28.61026
arm,2003,27.64952
arm,2004,30.36484
arm,2005,28.93779
arm,2006,24.8443
arm,2007,25.24585
arm,2008,26.16984
arm,2009,20.34914
arm,2010,22.15375
arm,2011,32.16689
arm,2012,42.29716
arm,2013,41.15435
arm,2014,42.43871
arm,2015,35.91486
aus,1960,79.94778
aus,1961,78.64516
aus,1962,78.76899
aus,1963,74.80464
aus,1964,76.56938
aus,1965,74.33131
aus,1966,79.57527
aus,1967,79.67269
aus,1968,81.10962
aus,1969,81.02704
aus,1970,81.47263
aus,1971,77.67179
aus,1972,78.67513
aus,1973,81.75933
aus,1974,80.41895
aus,1975,79.37863
aus,1976,79.64577
aus,1977,83.54165
aus,1978,83.34732
aus,1979,82.58332
aus,1980,86.00605
aus,1981,85.83281
aus,1982,86.48444
aus,1983,88.09386
aus,1984,88.76543
aus,1985,88.20157
aus,1986,88.06611
aus,1987,89.30453
aus,1988,89.13257
aus,1989,89.62144
aus,1990,90.34397
aus,1991,89.4018
aus,1992,89.93313
aus,1993,89.45086
aus,1994,89.80553
aus,1995,90.37586
aus,1996,90.77027
aus,1997,90.41232
aus,1998,91.56595
aus,1999,91.45595
aus,2000,91.61838
aus,2001,91.90155
aus,2002,92.13908
aus,2003,91.5593
aus,2004,91.81335
aus,2005,91.19629
aus,2006,90.70069
aus,2007,91.35193
aus,2008,91.88474
aus,2009,92.50207
aus,2010,91.38812
aus,2011,89.57335
aus,2012,89.40735
aus,2013,86.73589
aus,2014,85.09329
aus,2015,86.36216
aut,1960,26.44088
aut,1961,30.70642
aut,1962,32.90083
aut,1963,36.3285
aut,1964,36.10776
aut,1965,28.18049
aut,1966,27.56833
aut,1967,27.93435
aut,1968,29.68263
aut,1969,37.12644
aut,1970,29.17118
aut,1971,41.6708
aut,1972,41.27571
aut,1973,38.69841
aut,1974,32.94417
aut,1975,32.1816
aut,1976,41.80111
aut,1977,33.59408
aut,1978,34.17204
aut,1979,30.5172
aut,1980,30.17067
aut,1981,25.77522
aut,1982,25.68486
aut,1983,25.65282
aut,1984,28.71853
aut,1985,27.06552
aut,1986,26.25009
aut,1987,25.58364
aut,1988,23.35251
aut,1989,25.89157
aut,1990,33.68833
aut,1991,34.83988
aut,1992,27.46951
aut,1993,25.81418
aut,1994,29.08407
aut,1995,29.36315
aut,1996,32.75656
aut,1997,31.81108
aut,1998,30.01967
aut,1999,29.04399
aut,2000,27.21048
aut,2001,30.45344
aut,2002,30.59006
aut,2003,38.79202
aut,2004,35.32317
aut,2005,35.90801
aut,2006,33.81177
aut,2007,30.61008
aut,2008,30.02681
aut,2009,27.91785
aut,2010,32.86867
aut,2011,33.38097
aut,2012,24.30214
aut,2013,20.83501
aut,2014,17.72105
aut,2015,22.22204
aze,1990,92.83863
aze,1991,92.5032
aze,1992,91.16025
aze,1993,87.26576
aze,1994,89.5908
aze,1995,90.87069
aze,1996,90.99901
aze,1997,89.83131
aze,1998,89.15991
aze,1999,91.71435
aze,2000,91.79635
aze,2001,93.1418
aze,2002,89.19844
aze,2003,88.40083
aze,2004,87.32984
aze,2005,86.84418
aze,2006,89.74046
aze,2007,89.17929
aze,2008,89.6872
aze,2009,87.75705
aze,2010,81.5767
aze,2011,86.81384
aze,2012,92.07848
aze,2013,93.04188
aze,2014,94.01893
aze,2015,92.59154
bel,1960,98.86484
bel,1961,98.82089
bel,1962,99.04816
bel,1963,98.98469
bel,1964,99.19225
bel,1965,98.73093
bel,1966,98.6533
bel,1967,98.59862
bel,1968,98.84732
bel,1969,99.13595
bel,1970,99.00731
bel,1971,99.59683
bel,1972,99.48462
bel,1973,99.10624
bel,1974,98.82781
bel,1975,82.72821
bel,1976,78.35027
bel,1977,73.52194
bel,1978,74.29538
bel,1979,76.96561
bel,1980,75.27453
bel,1981,72.96558
bel,1982,67.46769
bel,1983,52.45522
bel,1984,47.2453
bel,1985,37.42868
bel,1986,30.20947
bel,1987,31.11493
bel,1988,31.72867
bel,1989,36.94394
bel,1990,37.80516
bel,1991,38.32355
bel,1992,37.43873
bel,1993,38.54113
bel,1994,41.32126
bel,1995,41.85619
bel,1996,40.59996
bel,1997,37.55539
bel,1998,42.04203
bel,1999,39.33738
bel,2000,39.63128
bel,2001,38.42377
bel,2002,38.9182
bel,2003,40.95691
bel,2004,41.05841
bel,2005,40.93152
bel,2006,39.85275
bel,2007,39.44795
bel,2008,38.62867
bel,2009,39.80469
bel,2010,40.26409
bel,2011,35.02258
bel,2012,35.95153
bel,2013,31.93613
bel,2014,33.47739
bel,2015,39.21464
ben,1973,100
ben,1974,100
ben,1975,100
ben,1976,100
ben,1977,100
ben,1978,100
ben,1979,100
ben,1980,100
ben,1981,100
ben,1982,100
ben,1983,100
ben,1984,100
ben,1985,100
ben,1986,100
ben,1987,100
ben,1988,100
ben,1989,100
ben,1990,100
ben,1991,100
ben,1992,100
