geo,time,fp_cpi_totl_zg
abw,1985,4.03226
abw,1986,1.07397
abw,1987,3.64305
abw,1988,3.12187
abw,1989,3.99163
abw,1990,5.83669
abw,1991,5.55556
abw,1992,3.87338
abw,1993,5.21556
abw,1994,6.31108
abw,1995,3.36139
abw,1996,3.22529
abw,1997,2.99995
abw,1998,1.86949
abw,1999,2.28037
abw,2000,4.04402
abw,2001,2.8836
abw,2002,3.31525
abw,2003,3.65637
abw,2004,2.52913
abw,2005,3.39779
abw,2006,3.60802
abw,2007,5.39257
abw,2008,8.95599
abw,2009,-2.13543
abw,2010,2.07814
abw,2011,4.3163
abw,2012,0.62747
abw,2013,-2.37207
abw,2014,0.42144
abw,2015,0.47476
abw,2016,-0.9312
abw,2017,-1.02828
abw,2018,3.62604
abw,2019,4.25746
afg,2005,12.68627
afg,2006,6.7846
afg,2007,8.68057
afg,2008,26.41866
afg,2009,-6.81116
afg,2010,2.17854
afg,2011,11.80419
afg,2012,6.44121
afg,2013,7.38577
afg,2014,4.674
afg,2015,-0.66171
afg,2016,4.38389
afg,2017,4.97595
afg,2018,0.62615
afg,2019,2.30237
ago,1991,83.78378
ago,1992,299.5098
ago,1993,1378.52761
ago,1994,949.79253
ago,1995,2666.45059
ago,1996,4145.10598
ago,1997,219.17672
ago,1998,107.28482
ago,1999,248.1959
ago,2000,324.99687
ago,2001,152.56102
ago,2002,108.89744
ago,2003,98.22414
ago,2004,43.54211
ago,2005,22.95351
ago,2006,13.30521
ago,2007,12.2515
ago,2008,12.47583
ago,2009,13.73028
ago,2010,14.46966
ago,2011,13.48247
ago,2012,10.2779
ago,2013,8.77781
ago,2014,7.28039
ago,2015,9.15037
ago,2016,30.69531
ago,2017,29.84359
ago,2018,19.62861
ago,2019,17.08122
alb,1992,226.00542
alb,1993,85.00475
alb,1994,22.56505
alb,1995,7.79322
alb,1996,12.72548
alb,1997,33.18027
alb,1998,20.64286
alb,1999,0.38944
alb,2000,0.05002
alb,2001,3.10759
alb,2002,7.77053
alb,2003,0.484
alb,2004,2.28002
alb,2005,2.36658
alb,2006,2.37073
alb,2007,2.93268
alb,2008,3.32087
alb,2009,2.26692
alb,2010,3.62605
alb,2011,3.42912
alb,2012,2.03159
alb,2013,1.93762
alb,2014,1.62587
alb,2015,3.50121
alb,2016,-0.36732
alb,2017,2.0606
alb,2018,2.02806
alb,2019,1.41109
alb,2020,1.62089
alb,2021,2.04147
are,2008,12.25042
are,2009,1.56181
are,2010,0.87798
are,2011,0.87735
are,2012,0.66227
are,2013,1.10112
are,2014,2.34627
are,2015,4.06997
are,2016,1.61749
are,2017,1.96683
are,2018,3.06863
are,2019,-1.93108
are,2020,-2.0794
arm,1994,3373.75944
arm,1995,175.95133
arm,1996,18.68119
arm,1997,13.96076
arm,1998,8.67249
arm,1999,0.64825
arm,2000,-0.79088
arm,2001,3.1459
arm,2002,1.06005
arm,2003,4.72155
arm,2004,6.96126
arm,2005,0.63893
arm,2006,2.89236
arm,2007,4.40736
arm,2008,8.94995
arm,2009,3.40677
arm,2010,8.17636
arm,2011,7.65001
arm,2012,2.55802
arm,2013,5.78967
arm,2014,2.98131
arm,2015,3.73169
arm,2016,-1.40361
arm,2017,0.96955
arm,2018,2.52023
arm,2019,1.44345
arm,2020,1.21144
arm,2021,7.18484
atg,1999,1.12129
atg,2000,0.77178
atg,2001,1.4028
atg,2002,2.40766
atg,2003,1.99353
atg,2004,2.03008
atg,2005,2.09875
atg,2006,1.78779
atg,2007,1.41605
atg,2008,5.33381
atg,2009,-0.55016
atg,2010,3.37003
atg,2011,3.45675
atg,2012,3.37688
atg,2013,1.0595
atg,2014,1.08944
atg,2015,0.96899
atg,2016,-0.48944
atg,2017,2.43249
atg,2018,1.20716
atg,2019,1.43136
atg,2020,0.62599
atg,2021,2.063
aus,1960,3.72881
aus,1961,2.28758
aus,1962,-0.31949
aus,1963,0.64103
aus,1964,2.86624
aus,1965,3.40557
aus,1966,3.29341
aus,1967,3.47826
aus,1968,2.52101
aus,1969,3.27869
aus,1970,3.43915
aus,1971,6.13811
aus,1972,6.0241
aus,1973,9.09091
aus,1974,15.41667
aus,1975,15.16245
aus,1976,13.32288
aus,1977,12.30982
aus,1978,8.00493
aus,1979,9.12201
aus,1980,10.13584
aus,1981,9.48767
aus,1982,11.35182
aus,1983,10.03891
aus,1984,3.9604
aus,1985,6.73469
aus,1986,9.05035
aus,1987,8.53302
aus,1988,7.21594
aus,1989,7.5339
aus,1990,7.33302
aus,1991,3.17668
aus,1992,1.01223
aus,1993,1.75365
aus,1994,1.96963
aus,1995,4.62777
aus,1996,2.61538
aus,1997,0.22489
