geo,time,en_atm_co2e_lf_kt
abw,1960,11092.675
abw,1961,11576.719
abw,1962,12713.489
abw,1963,12178.107
abw,1964,11840.743
abw,1965,10623.299
abw,1966,9933.903
abw,1967,12236.779
abw,1968,11378.701
abw,1969,14891.687
abw,1970,16655.514
abw,1971,14495.651
abw,1972,14055.611
abw,1973,15592.084
abw,1974,14132.618
abw,1975,10234.597
abw,1976,21862.654
abw,1977,11419.038
abw,1978,9724.884
abw,1979,10201.594
abw,1980,10498.621
abw,1981,9999.909
abw,1982,11180.683
abw,1983,5746.189
abw,1984,14348.971
abw,1985,16794.86
abw,1986,179.683
abw,1987,447.374
abw,1988,612.389
abw,1989,649.059
abw,1990,487.711
abw,1991,531.715
abw,1992,539.049
abw,1993,649.059
abw,1994,660.06
abw,1995,707.731
abw,1996,726.066
abw,1997,759.069
abw,1998,806.74
abw,1999,810.407
abw,2000,2379.883
abw,2001,2409.219
abw,2002,2438.555
abw,2003,2563.233
abw,2004,2618.238
abw,2005,2720.914
abw,2006,2717.247
abw,2007,2823.59
abw,2008,2658.575
abw,2009,2629.239
abw,2010,2508.228
abw,2011,2500.894
abw,2012,1349.456
abw,2013,861.745
abw,2014,872.746
abw,2015,898.415
abw,2016,883.747
afg,1960,271.358
afg,1961,293.36
afg,1962,363.033
afg,1963,392.369
afg,1964,476.71
afg,1965,542.716
afg,1966,575.719
afg,1967,557.384
afg,1968,498.712
afg,1969,528.048
afg,1970,671.061
afg,1971,748.068
afg,1972,627.057
afg,1973,704.064
afg,1974,770.07
afg,1975,876.413
afg,1976,883.747
afg,1977,975.422
afg,1978,935.085
afg,1979,1166.106
afg,1980,924.084
afg,1981,1015.759
afg,1982,993.757
afg,1983,1221.111
afg,1984,1133.103
afg,1985,1547.474
afg,1986,1140.437
afg,1987,2016.85
afg,1988,1822.499
afg,1989,1866.503
afg,1990,1851.835
afg,1991,1719.823
afg,1992,927.751
afg,1993,894.748
afg,1994,858.078
afg,1995,825.075
afg,1996,781.071
afg,1997,726.066
afg,1998,689.396
afg,1999,495.045
afg,2000,498.712
afg,2001,491.378
afg,2002,440.04
afg,2003,619.723
afg,2004,561.051
afg,2005,861.745
afg,2006,1136.77
afg,2007,1199.109
afg,2008,2812.589
afg,2009,4946.783
afg,2010,5870.867
afg,2011,7609.025
afg,2012,6761.948
afg,2013,4785.435
afg,2014,3773.343
afg,2015,4741.431
afg,2016,3476.316
ago,1960,348.365
ago,1961,311.695
ago,1962,1008.425
ago,1963,1034.094
ago,1964,1041.428
ago,1965,1012.092
ago,1966,1334.788
ago,1967,799.406
ago,1968,1419.129
ago,1969,2500.894
ago,1970,1745.492
ago,1971,1646.483
ago,1972,2478.892
ago,1973,2511.895
ago,1974,2453.223
ago,1975,2181.865
ago,1976,1936.176
ago,1977,1074.431
ago,1978,2680.577
ago,1979,2772.252
ago,1980,2658.575
ago,1981,2764.918
ago,1982,2159.863
ago,1983,2537.564
ago,1984,2291.875
ago,1985,1961.845
ago,1986,1870.17
ago,1987,2926.266
ago,1988,1906.84
ago,1989,1745.492
ago,1990,2478.892
ago,1991,2284.541
ago,1992,2291.875
ago,1993,2970.27
ago,1994,1298.118
ago,1995,8423.099
ago,1996,7044.307
ago,1997,3333.303
ago,1998,2764.918
ago,1999,3711.004
ago,2000,3670.667
ago,2001,4305.058
ago,2002,5023.79
ago,2003,6842.622
ago,2004,5038.458
ago,2005,4737.764
ago,2006,7763.039
