geo,time,se_prm_prsl_zs
abw,1999,95.60664
abw,2000,95.86862
abw,2001,94.04868
abw,2002,93.86327
abw,2003,94.2741
abw,2004,93.65968
abw,2005,94.40294
abw,2006,93.38586
abw,2007,86.48703
abw,2008,91.41332
abw,2009,93.11888
abw,2013,95.9406
afg,1973,58.43918
afg,1976,66.9356
afg,1977,75.20044
afg,1984,75.56688
ago,1981,24.33792
ago,1990,34.57008
ago,2008,27.59042
ago,2009,31.87285
alb,1995,81.95541
alb,2000,89.61138
alb,2003,89.92898
alb,2006,93.93368
alb,2007,93.43748
alb,2008,93.7624
alb,2009,95.22871
alb,2010,97.86436
alb,2011,98.78337
alb,2012,98.66704
alb,2013,98.71253
alb,2014,95.72013
alb,2015,88.84383
alb,2016,93.17854
alb,2017,92.40209
alb,2018,89.04618
alb,2019,89.43762
and,2013,70.65059
and,2014,71.23112
and,2016,69.26509
and,2018,68.16177
and,2019,67.3534
are,1973,68.62485
are,1977,91.24598
are,1978,87.83738
are,1979,91.90039
are,1982,94.93057
are,1983,86.87103
are,1984,78.02611
are,1985,86.13432
are,1986,82.07414
are,1987,87.34709
are,1988,93.78204
are,1989,95.24103
are,1990,94.10107
are,1991,74.61468
are,1992,85.10713
are,1993,96.84662
are,1994,95.39838
are,1995,77.42829
are,1996,79.77218
are,1997,90.35443
are,1998,96.29353
are,1999,89.45936
are,2000,93.9492
are,2001,94.08477
are,2003,94.05126
are,2004,95.21975
are,2005,97.93887
are,2006,96.68172
are,2010,84.44566
are,2012,91.95901
arg,1970,63.6205
arg,1973,67.83318
arg,1974,62.14329
arg,1975,65.70531
arg,1996,63.83817
arg,1998,87.84476
arg,1999,94.99295
arg,2000,90.78639
arg,2001,89.83465
arg,2002,80.7821
arg,2003,95.08827
arg,2004,86.80684
arg,2005,94.49914
arg,2006,94.83917
arg,2007,97.40509
arg,2008,93.77038
arg,2009,95.28445
arg,2010,93.12641
arg,2011,96.27779
arg,2012,94.56793
arg,2013,95.99311
arg,2014,95.28983
arg,2015,97.47601
arg,2016,94.00438
arg,2017,94.20749
arg,2018,93.8657
arm,1996,100
arm,2002,95.76124
arm,2003,96.29422
arm,2004,98.68116
arm,2005,98.50769
arm,2006,97.7055
arm,2009,96.98474
arm,2010,95.98377
arm,2011,94.23898
arm,2013,90.2065
arm,2014,99.28234
arm,2015,94.70837
arm,2016,93.58354
arm,2017,94.43657
arm,2018,95.96818
arm,2019,99.35321
atg,2007,91.32207
aut,1971,94.79335
aut,1972,94.25398
aut,1997,96.37597
aut,1998,97.07544
aut,2003,97.76293
aut,2010,99.41166
aut,2011,99.73828
aut,2012,99.6108
aut,2013,99.49617
aut,2014,99.42775
aut,2015,99.55092
aut,2017,99.60814
aut,2018,99.77379
aze,1992,97.46702
aze,1993,97.63362
aze,1995,98.55273
aze,1997,93.47098
aze,1998,97.38915
aze,1999,96.83445
aze,2000,95.98233
aze,2001,96.73787
aze,2002,96.52302
aze,2003,97.713
aze,2004,97.85852
aze,2005,96.90844
aze,2006,98.67626
aze,2007,99.26501
aze,2008,98.42165
aze,2009,96.36094
aze,2010,97.20736
aze,2011,98.18643
aze,2012,98.81232
aze,2013,97.26262
aze,2014,97.62064
aze,2015,98.85204
aze,2016,94.59748
aze,2017,94.41387
aze,2018,95.75026
aze,2019,95.33319
bdi,1972,3.41761
bdi,1973,37.66739
bdi,1974,55.27213
bdi,1975,45.61349
bdi,1976,45.71048
bdi,1977,72.79389
bdi,1978,47.5646
bdi,1979,67.82362
bdi,1980,75.19737
bdi,1982,84.30765
bdi,1987,82.54314
bdi,1988,62.65782
bdi,1989,67.73539
bdi,1991,60.2327
bdi,1992,71.67115
bdi,2000,53.81774
bdi,2001,57.79123
bdi,2002,64.61775
bdi,2003,57.85515
bdi,2004,62.75384
bdi,2006,64.53828
bdi,2007,59.58935
bdi,2008,69.11045
bdi,2009,56.17794
bdi,2010,50.72167
bdi,2011,43.80206
bdi,2012,49.03816
bdi,2013,52.57043
bdi,2014,44.56478
bdi,2015,44.33016
bdi,2016,43.2268
bdi,2017,43.75858
bdi,2018,42.9858
bel,1974,71.07345
bel,1975,67.9938
bel,1976,72.59284
bel,1977,68.55008
bel,1978,67.88442
bel,1979,69.66917
bel,1980,72.31732
bel,1981,74.44629
bel,1982,60.36523
bel,1983,69.31249
bel,1984,71.41784
bel,1985,75.25008
bel,1986,76.80832
bel,1987,77.77636
ben,1971,65.59158
ben,1972,61.35362
ben,1973,45.03497
ben,1975,59.81124
ben,1976,48.73126
ben,1977,50.72723
ben,1978,55.21608
ben,1979,53.561
ben,1980,52.65312
ben,1982,56.09143
ben,1983,34.30754
ben,1984,50.83225
ben,1985,36.65222
ben,1986,43.49368
ben,1987,34.299
ben,1988,40.01778
ben,1989,7.54083
ben,1990,62.96448
ben,1991,46.19563
ben,1992,61.73844
ben,1993,46.96662
ben,1994,55.89496
ben,1995,51.56574
ben,1996,57.86906
ben,1997,56.70604
ben,2000,75.73928
ben,2001,68.2154
ben,2002,59.10623
ben,2003,64.27025
ben,2009,53.93676
ben,2010,55.78443
ben,2011,59.26126
ben,2012,53.2349
ben,2013,53.387
ben,2014,57.26208
ben,2015,47.49224
ben,2018,33.91594
ben,2019,38.76638
bfa,1971,49.87655
bfa,1972,46.77444
bfa,1973,52.41773
bfa,1974,60.10426
bfa,1975,58.22256
bfa,1976,61.48125
bfa,1977,59.15541
bfa,1978,62.33576
bfa,1979,64.352
bfa,1980,66.48607
bfa,1981,73.78688
bfa,1982,69.5898
bfa,1983,70.23766
bfa,1984,72.24953
bfa,1986,73.55297
bfa,1987,67.22717
bfa,1988,67.41591
bfa,1989,63.74447
bfa,1990,70.77841
bfa,1994,76.4836
bfa,1998,58.8971
bfa,1999,61.04339
bfa,2000,61.33582
bfa,2001,58.33116
bfa,2002,66.55649
bfa,2003,69.22294
bfa,2004,68.93365
bfa,2005,64.4366
bfa,2006,72.01856
bfa,2007,69.00331
bfa,2008,71.13804
bfa,2009,63.62596
bfa,2011,68.96551
bfa,2012,69.07449
bfa,2013,69.49702
bfa,2014,66.24024
bfa,2015,68.81133
bfa,2016,65.63629
bfa,2017,68.84303
bfa,2018,55.91911
bfa,2019,54.44878
bgd,1976,21.03004
bgd,1980,20.50402
bgd,1988,46.67785
bgd,2008,66.60086
bgd,2009,66.20096
bgr,1971,95.09065
bgr,1972,95.34932
bgr,1973,95.77429
bgr,1974,95.48018
bgr,1975,95.82832
bgr,1976,95.60046
bgr,1977,96.80134
bgr,1978,94.54073
bgr,1979,96.55648
bgr,1980,97.27868
bgr,1981,96.7102
bgr,1982,97.10312
bgr,1983,96.59714
bgr,1984,96.99022
bgr,1985,95.20474
bgr,1986,96.26118
bgr,1987,95.32718
bgr,1988,96.37371
bgr,1989,82.62577
bgr,1990,94.9035
bgr,1991,92.22213
bgr,1992,91.23887
bgr,1993,88.32173
bgr,1994,91.5027
bgr,1995,94.3405
bgr,1996,89.44323
bgr,1997,88.91965
bgr,1998,90.34537
bgr,1999,92.93618
bgr,2000,94.72328
bgr,2001,92.7161
bgr,2002,93.87068
bgr,2003,93.6662
bgr,2004,92.25189
bgr,2005,94.84013
bgr,2006,94.12419
bgr,2007,93.69108
bgr,2008,93.77744
bgr,2009,97.36598
bgr,2010,96.63754
bgr,2011,96.93865
bgr,2012,95.9967
bgr,2013,97.84393
bgr,2014,96.11739
bgr,2015,93.4927
bgr,2016,94.47214
bgr,2017,96.35898
bgr,2018,95.83819
bhr,1981,86.96733
bhr,1982,83.15743
bhr,1985,87.20442
bhr,1986,82.16416
bhr,1987,90.76563
bhr,1991,81.1674
bhr,1992,92.45544
bhr,1993,89.25846
bhr,1994,90.86673
bhr,1995,81.29402
bhr,1997,87.18455
bhr,1998,92.46413
bhr,1999,90.34061
bhr,2000,92.33953
bhr,2001,98.13355
bhr,2003,98.67038
bhr,2004,98.21326
bhr,2011,97.80743
bhr,2015,98.5896
bhr,2016,96.56962
bhr,2017,97.2361
bhr,2018,96.77729
bhs,1993,75.7316
bhs,2005,81.41509
bhs,2007,90.70507
bhs,2008,82.4423
bhs,2009,89.4999
bhs,2011,73.10649
bhs,2012,64.8358
bih,2009,98.74358
bih,2010,80.56391
bih,2011,83.3074
bih,2012,82.77215
bih,2013,86.51722
bih,2014,97.03734
bih,2015,95.59525
bih,2016,98.35739
bih,2017,93.93491
bih,2018,93.96211
bih,2019,93.59387
blr,1971,99.34194
blr,1972,99.29691
blr,1973,99.61151
blr,1974,99.08707
blr,1975,99.33698
blr,1976,99.2808
blr,1977,99.52541
blr,1978,99.26271
blr,1979,96.30535
blr,1980,89.39005
blr,1981,82.00065
blr,1982,76.98516
blr,1983,72.87736
blr,1984,69.29875
blr,1985,66.05687
blr,1989,45.28829
blr,1991,98.00338
blr,1992,99.35897
blr,1993,97.63682
blr,1994,96.19982
blr,1995,97.57635
blr,1996,98.06717
blr,1998,93.70778
blr,1999,99.20168
blr,2000,98.88265
blr,2001,96.21858
blr,2002,98.52336
blr,2003,95.94568
blr,2004,99.11046
blr,2005,99.22583
blr,2006,99.16696
blr,2007,98.01136
blr,2008,99.50297
blr,2009,99.67843
blr,2010,98.19252
blr,2011,99.06334
blr,2012,98.66814
blr,2013,98.32384
blr,2014,98.43256
blr,2015,98.79747
blr,2016,97.86909
blr,2017,98.26686
blz,1991,65.43803
blz,1994,67.3477
blz,1995,70.03589
blz,1999,73.9958
blz,2000,83.59917
blz,2005,90.67819
blz,2006,83.98404
blz,2007,89.86529
blz,2008,94.72908
blz,2009,90.26564
blz,2010,90.91661
blz,2012,90.91054
blz,2013,94.67144
blz,2014,98.78344
blz,2016,93.00044
blz,2017,95.79032
blz,2019,90.17875
bmu,2001,87.01658
bmu,2002,94.59889
bmu,2003,93.41088
bmu,2004,88.89063
bmu,2005,84.24221
bol,2009,84.88066
bol,2010,86.91849
bol,2011,90.25012
bol,2012,96.73082
bol,2013,94.71894
bol,2014,96.47583
bol,2015,95.94098
bol,2016,94.68227
bol,2017,95.56319
bol,2018,97.95628
bra,1971,42.09108
bra,1972,40.2061
bra,1973,39.4659
bra,1974,39.25146
bra,1975,39.73292
bra,1976,50.86109
bra,1977,50.7935
bra,1978,45.81105
bra,1979,45.95543
bra,1980,41.61033
bra,1981,50.1909
bra,1983,56.37437
bra,1984,47.12887
bra,1991,71.73241
bra,1992,70.91541
bra,1993,74.00583
bra,2000,80.13277
bra,2001,84.61972
bra,2002,83.71025
bra,2003,80.62466
brb,1999,91.20914
brb,2001,93.33171
brb,2003,95.83207
brb,2004,96.99812
brb,2005,91.06593
brb,2007,91.2585
brb,2008,89.95773
brb,2010,93.37466
brn,1975,72.75973
brn,1983,79.08975
brn,1993,92.48632
brn,1994,87.747
brn,1998,93.74051
brn,2003,97.11739
brn,2004,97.04861
brn,2005,96.54129
brn,2006,95.82997
brn,2007,96.24817
brn,2008,96.66605
brn,2009,96.1371
brn,2010,96.58052
brn,2011,96.36919
brn,2016,93.18232
brn,2017,95.40566
brn,2018,93.2553
brn,2019,97.03596
btn,1976,13.15872
btn,1977,11.07073
btn,1978,24.80808
btn,1993,71.04843
btn,1997,75.08433
btn,1998,76.49432
btn,1999,81.50739
btn,2000,81.39052
btn,2003,84.21011
btn,2004,85.98504
btn,2005,84.32039
btn,2006,87.43275
btn,2007,85.30784
btn,2008,89.52335
btn,2009,86.49731
btn,2010,91.03364
btn,2011,94.90124
btn,2016,88.72279
bwa,1970,49.65452
bwa,1973,81.86855
bwa,1974,85.80752
bwa,1975,81.64542
bwa,1976,83.47887
bwa,1977,74.88489
bwa,1978,78.60025
bwa,1979,86.73164
bwa,1980,73.16808
bwa,1981,80.90863
bwa,1983,85.04341
bwa,1984,87.54581
bwa,1985,88.17771
bwa,1989,78.08437
bwa,1991,76.95543
bwa,1992,83.12864
bwa,1993,83.65795
bwa,1994,81.3921
bwa,1995,85.69592
bwa,1998,82.33956
bwa,1999,82.03301
bwa,2000,84.47078
bwa,2001,83.60141
bwa,2002,84.01671
bwa,2003,85.05025
bwa,2004,83.779
bwa,2005,86.80011
bwa,2008,92.97212
bwa,2012,94.01205
caf,1971,29.87432
caf,1973,44.29169
caf,1975,49.8974
caf,1976,55.66488
caf,1980,40.86926
caf,1981,55.20932
caf,1982,47.98012
caf,1986,17.13858
caf,1987,58.60386
caf,1988,50.73912
caf,1990,28.37823
caf,1991,16.36007
caf,2008,46.44325
caf,2009,46.89445
caf,2010,46.47282
caf,2011,46.55629
can,1998,97.44576
can,1999,98.59447
che,1977,58.68595
che,1978,55.21759
che,1979,55.07568
che,1980,37.82699
che,1981,55.53812
che,1982,54.76947
