geo,time,ny_gdp_mktp_cn
abw,1986,725779516.64025
abw,1987,872808399.36608
abw,1988,1067598256.73534
abw,1989,1244594809.82567
abw,1990,1369147939.77813
abw,1991,1561128300
abw,1992,1715649100
abw,1993,1938533700
abw,1994,2229782000
abw,1995,2363650000
abw,1996,2470130000
abw,1997,2742180000
abw,1998,2980530000
abw,1999,3083810000
abw,2000,3353480000
abw,2001,3437000000
abw,2002,3475000000
abw,2003,3618000000
abw,2004,3989000000
abw,2005,4172000000
abw,2006,4340000000
abw,2007,4681000000
abw,2008,4914000000
abw,2009,4473000000
abw,2010,4279000000
abw,2011,4564000000
abw,2012,4537000000
abw,2013,4882851000
abw,2014,4995620000
abw,2015,5303600000
abw,2016,5340710000
abw,2017,5535450000
abw,2018,5731917606.40279
afg,1960,24200001500
afg,1961,24700000300
afg,1962,24600000500
afg,1963,33800003600
afg,1964,36000002000
afg,1965,45299998700
afg,1966,62999998500
afg,1967,75300003800
afg,1968,61800001500
afg,1969,63400001500
afg,1970,78699896800
afg,1971,82399903700
afg,1972,71799996400
afg,1973,77999996900
afg,1974,96999997400
afg,1975,106499997700
afg,1976,115000000500
afg,1977,132900003800
afg,1978,148500004900
afg,1979,161599995900
afg,1980,160599998500
afg,1981,172200001500
afg,2002,182162721300
afg,2003,221358563000
afg,2004,249791940700
afg,2005,308163225800
afg,2006,348048404600
afg,2007,485419056200
afg,2008,515046858600
afg,2009,611692107000
afg,2010,726231122700
afg,2011,850347275400
afg,2012,1028794220100
afg,2013,1138809791300
afg,2014,1176469485800
afg,2015,1222756495400
afg,2016,1222916881100
afg,2017,1285460326500
afg,2018,1327690394700
afg,2019,1469596303300
afg,2020,1547289027600
ago,1980,177.4288
ago,1981,166.05935
ago,1982,166.05935
ago,1983,173.05593
ago,1984,183.44147
ago,1985,226.00253
ago,1986,211.59614
ago,1987,241.86945
ago,1988,262.37598
ago,1989,305.21688
ago,1990,335.96465
ago,1991,700
ago,1992,3800
ago,1993,29400
ago,1994,678100
ago,1995,15015300
ago,1996,835493000
ago,1997,1751785000
ago,1998,2555800000
ago,1999,17171000000
ago,2000,91666100000
ago,2001,197110800000
ago,2002,665385000000
ago,2003,1328940035000
ago,2004,1967571431000
ago,2005,3222352000000
ago,2006,4209762000000
ago,2007,5006335000000
ago,2008,6643353030000
ago,2009,5577340741700
ago,2010,7701651395700
ago,2011,10500941840100
ago,2012,12224949831600
ago,2013,13195003553700
ago,2014,14323859000000
ago,2015,13950290849400
ago,2016,16549565423600
ago,2017,20262296106300
ago,2018,25627742117300
ago,2019,32621698000000
ago,2020,33756422000000
alb,1980,14991970000
alb,1981,15514160000
alb,1982,15968780000
alb,1983,16142520000
alb,1984,15935960000
alb,1985,16276690000
alb,1986,16778610000
alb,1987,16646370000
alb,1988,16409890000
alb,1989,18024720000
alb,1990,16228430000
alb,1991,15833650000
alb,1992,48934320000
alb,1993,120976260000
alb,1994,177981840000
alb,1995,221803320000
alb,1996,334359000000
alb,1997,331324000000
alb,1998,384848000000
alb,1999,443594000000
alb,2000,501199000000
alb,2001,563449000000
alb,2002,610494000000
alb,2003,677738000000
alb,2004,737656000000
alb,2005,804163000000
alb,2006,872735000000
alb,2007,965528000000
alb,2008,1080676000000
alb,2009,1143936000000
alb,2010,1239645000000
alb,2011,1300624000000
alb,2012,1332811000000
alb,2013,1350053000000
alb,2014,1395305000000
alb,2015,1434307000000
alb,2016,1472479000000
alb,2017,1550645000000
alb,2018,1636731000000
alb,2019,1691729000000
alb,2020,1617540920000
and,1970,33075100
and,1971,37328600
and,1972,43809600
and,1973,52817200
and,1974,64679900
and,1975,75943900
and,1976,91389700
and,1977,115960200
and,1978,141930500
and,1979,166030700
and,1980,192360700
and,1981,215833200
and,1982,248204100
and,1983,282616900
and,1984,318914300
and,1985,354366200
and,1986,405699900
and,1987,453657900
and,1988,505070300
and,1989,565962200
and,1990,630395100
and,1991,691276900
and,1992,744521400
and,1993,770274000
and,1994,819228800
and,1995,883347000
and,1996,931789600
and,1997,1038925600
and,1998,1088194100
and,1999,1163747900
and,2000,1551090000
and,2001,1728690000
and,2002,1865830000
and,2003,2092490000
and,2004,2331570000
and,2005,2540880000
and,2006,2755130000
and,2007,2887770000
and,2008,2789260000
and,2009,2644840000
and,2010,2602310000
and,2011,2607220000
and,2012,2481850000
and,2013,2404540000
and,2014,2462690000
and,2015,2514510000
and,2016,2616860000
and,2017,2655760000
and,2018,2725270000
and,2019,2818420000
and,2020,2507800000
are,1975,58313000000
are,1976,75951000000
are,1977,97082000000
are,1978,92041000000
are,1979,119147000000
are,1980,161638000000
are,1981,181103000000
are,1982,171152000000
are,1983,157131000000
are,1984,153477000000
are,1985,149056000000
are,1986,124607000000
are,1987,133569000000
are,1988,133168000000
are,1989,152218000000
