geo,time,sp_dyn_tfrt_in
abw,1960,4.82
abw,1961,4.655
abw,1962,4.471
abw,1963,4.271
abw,1964,4.059
abw,1965,3.842
abw,1966,3.625
abw,1967,3.417
abw,1968,3.226
abw,1969,3.054
abw,1970,2.908
abw,1971,2.788
abw,1972,2.691
abw,1973,2.613
abw,1974,2.552
abw,1975,2.506
abw,1976,2.472
abw,1977,2.446
abw,1978,2.425
abw,1979,2.408
abw,1980,2.392
abw,1981,2.377
abw,1982,2.364
abw,1983,2.353
abw,1984,2.342
abw,1985,2.332
abw,1986,2.32
abw,1987,2.307
abw,1988,2.291
abw,1989,2.272
abw,1990,2.249
abw,1991,2.221
abw,1992,2.187
abw,1993,2.149
abw,1994,2.108
abw,1995,2.064
abw,1996,2.021
abw,1997,1.978
abw,1998,1.939
abw,1999,1.903
abw,2000,1.872
abw,2001,1.846
abw,2002,1.823
abw,2003,1.803
abw,2004,1.787
abw,2005,1.774
abw,2006,1.765
abw,2007,1.76
abw,2008,1.759
abw,2009,1.761
abw,2010,1.768
abw,2011,1.779
abw,2012,1.795
abw,2013,1.813
abw,2014,1.834
abw,2015,1.854
abw,2016,1.872
abw,2017,1.886
abw,2018,1.896
abw,2019,1.901
abw,2020,1.901
afg,1960,7.45
afg,1961,7.45
afg,1962,7.45
afg,1963,7.45
afg,1964,7.45
afg,1965,7.45
afg,1966,7.45
afg,1967,7.45
afg,1968,7.45
afg,1969,7.45
afg,1970,7.45
afg,1971,7.45
afg,1972,7.45
afg,1973,7.45
afg,1974,7.45
afg,1975,7.45
afg,1976,7.45
afg,1977,7.449
afg,1978,7.449
afg,1979,7.449
afg,1980,7.449
afg,1981,7.449
afg,1982,7.45
afg,1983,7.452
afg,1984,7.455
afg,1985,7.458
afg,1986,7.46
afg,1987,7.461
afg,1988,7.461
afg,1989,7.461
afg,1990,7.466
afg,1991,7.479
afg,1992,7.502
afg,1993,7.535
afg,1994,7.572
afg,1995,7.606
afg,1996,7.629
afg,1997,7.632
afg,1998,7.61
afg,1999,7.561
afg,2000,7.485
afg,2001,7.387
afg,2002,7.272
afg,2003,7.148
afg,2004,7.016
afg,2005,6.875
afg,2006,6.722
afg,2007,6.555
afg,2008,6.373
afg,2009,6.18
afg,2010,5.977
afg,2011,5.77
afg,2012,5.562
afg,2013,5.359
afg,2014,5.163
afg,2015,4.976
afg,2016,4.8
afg,2017,4.633
afg,2018,4.473
afg,2019,4.321
afg,2020,4.176
ago,1960,6.708
ago,1961,6.79
ago,1962,6.872
ago,1963,6.954
ago,1964,7.036
ago,1965,7.116
ago,1966,7.194
ago,1967,7.267
ago,1968,7.332
ago,1969,7.388
ago,1970,7.434
ago,1971,7.467
ago,1972,7.488
ago,1973,7.498
ago,1974,7.5
ago,1975,7.494
ago,1976,7.485
ago,1977,7.475
ago,1978,7.467
ago,1979,7.461
ago,1980,7.459
ago,1981,7.459
ago,1982,7.461
ago,1983,7.462
ago,1984,7.459
ago,1985,7.451
