geo,time,fp_wpi_totl
ago,2008,80.09992
ago,2009,88.67603
ago,2010,100
ago,2011,111.88991
ago,2012,117.84078
ago,2013,127.7202
ago,2014,136.29642
ago,2015,148.79585
ago,2016,179.13939
ago,2017,220.38059
alb,1975,103.04762
alb,1980,103.04762
alb,1981,100
alb,1982,100
alb,1983,100
alb,1984,100
alb,1985,100
alb,1986,95.2381
aus,1969,18.98984
aus,1970,18.96956
aus,1971,19.00543
aus,1972,19.76029
aus,1973,23.28189
aus,1974,26.55396
aus,1975,28.1432
aus,1976,31.51976
aus,1977,35.96154
aus,1978,40.31598
aus,1979,53.86433
aus,1980,64.39795
aus,1981,66.57673
aus,1982,68.98945
aus,1983,75.10313
aus,1984,75.99367
aus,1985,83.53439
aus,1986,85.49864
aus,1987,89.73663
aus,1988,89.86294
aus,1989,90.084
aus,1990,93.69671
aus,1991,93.20407
aus,1992,96.33045
aus,1993,100.73896
aus,1994,99.05893
aus,1995,100
aut,2000,81.47606
aut,2001,82.68931
aut,2002,82.3905
aut,2003,83.72055
aut,2004,87.86736
aut,2005,89.67503
aut,2006,92.29281
aut,2007,96.04703
aut,2008,102.22666
aut,2009,94.65704
aut,2010,100
aut,2011,108.30811
aut,2012,110.88406
aut,2013,109.66279
aut,2014,107.53082
aut,2015,103.76134
aut,2016,101.34223
aut,2017,106.0504
aut,2018,110.49913
aut,2019,110.45163
aut,2020,105.90224
aut,2021,116.88959
bgd,1973,12.87445
bgd,1974,21.28165
bgd,1975,20.46214
bgd,1976,15.27577
bgd,1977,18.00663
bgd,1978,19.30809
bgd,1979,23.31749
bgd,1980,25.99824
bgd,1981,28.79382
bgd,1982,31.70907
bgd,1983,34.76058
bgd,1984,41.41101
bgd,1985,44.42986
bgd,1986,48.63314
bgd,1987,51.27212
bgd,1988,54.0382
bgd,1989,60.13684
bgd,1990,62.74345
bgd,1991,65.52216
bgd,1992,67.37324
bgd,1993,69.51813
bgd,1994,72.51511
bgd,1995,77.40934
bgd,1996,78.73573
bgd,1997,80.11669
bgd,1998,86.58915
bgd,1999,88.99849
bgd,2000,86.98791
bgd,2001,86.71088
bgd,2002,88.57035
bgd,2003,93.63667
bgd,2004,97.12055
bgd,2005,100
bol,1986,53.15685
bol,1987,58.73832
bol,1988,69.90126
bol,1989,83.30476
bol,1990,100
bol,1991,119.20424
bra,1960,0
bra,1961,0
bra,1962,0
bra,1963,0
bra,1964,0
bra,1965,0
bra,1966,0
bra,1967,0
bra,1968,0
bra,1969,0
bra,1970,0
bra,1971,0
bra,1972,0
bra,1973,0
bra,1974,0
bra,1975,0
bra,1976,0
bra,1977,0
bra,1978,0
bra,1979,0
bra,1980,0
bra,1981,0
bra,1982,0
bra,1983,0
bra,1984,0
bra,1985,0
bra,1986,0
bra,1987,0
bra,1988,0
bra,1989,0.00002
bra,1990,0.00045
bra,1991,0.00226
bra,1992,0.02456
bra,1993,0.52755
bra,1994,12.5503
bra,1995,19.92518
bra,1996,21.10673
bra,1997,24.49824
bra,1998,26.39789
bra,1999,30.95866
bra,2000,37.51027
bra,2001,43.86481
bra,2002,53.36987
bra,2003,69.74035
bra,2004,73.80688
bra,2005,72.01975
bra,2006,69.37648
bra,2007,78.85658
bra,2008,95.97657
bra,2009,93.645
bra,2010,100
bra,2011,117.64568
bra,2012,129.40772
bra,2013,135.71618
bra,2014,140.6275
bra,2015,153.05515
bra,2016,170.57472
bra,2017,169.30948
bra,2018,181.05509
chn,1977,35.09036
chn,1978,36.49117
chn,1979,44.54585
chn,1980,47.7327
chn,1981,50.53432
chn,1982,51.64678
chn,1983,53.93795
chn,1984,56.08592
chn,1985,60.90692
chn,1986,64.821
chn,1987,72.5537
chn,1988,89.26014
chn,1989,102.67303
chn,1990,100
chn,1991,97.99523
cog,1977,37.00774
cog,1978,40.64288
cog,1979,44.27802
cog,1980,50.48805
cog,1981,57.40491
cog,1982,66.18984
cog,1983,70.83474
cog,1984,81.08381
cog,1985,86.43554
cog,1986,89.72989
cog,1987,93.43655
cog,1988,95.97779
cog,1989,98.11932
cog,1990,100
cog,1991,96.47425
cog,1992,98.08145
cog,1993,101.06866
cri,1981,17.11129
cri,1982,35.63394
cri,1983,44.96905
cri,1984,48.41097
cri,1985,53.44427
cri,1986,58.25557
cri,1987,64.43888
cri,1988,75.94766
cri,1989,87.01875
cri,1990,100
cri,1991,128.09364
cri,1992,151.36961
cri,1993,161.0613
cyp,1968,14.80804
cyp,1969,15.25741
cyp,1970,15.79917
cyp,1971,16.22753
cyp,1972,16.79869
cyp,1973,18.76413
