geo,time,dc_dac_czel_cd
afg,2005,1960000.03815
afg,2006,4199999.80927
afg,2007,10619999.88556
afg,2008,42099998.47412
afg,2009,26090000.15259
afg,2010,13260000.22888
afg,2011,11359999.65668
afg,2012,12699999.80927
afg,2013,3789999.96185
afg,2014,5699999.80927
afg,2015,3720000.02861
afg,2016,2589999.91417
afg,2017,2380000.11444
afg,2018,2089999.91417
afg,2019,1519999.98093
ago,2005,330000.01311
ago,2006,790000.02146
ago,2007,1470000.02861
ago,2008,1870000.00477
ago,2009,2319999.93324
ago,2010,1860000.01431
ago,2011,1409999.96662
ago,2012,460000.00834
ago,2013,200000.00298
ago,2014,59999.99866
ago,2015,9999.99978
ago,2017,109999.9994
ago,2018,50000.00075
ago,2019,19999.99955
alb,2005,500000
alb,2006,509999.99046
alb,2007,680000.00715
alb,2008,419999.98689
alb,2009,460000.00834
alb,2010,540000.02146
alb,2011,469999.99881
alb,2012,419999.98689
alb,2013,219999.99881
alb,2014,230000.00417
alb,2015,280000.00119
alb,2016,159999.99642
alb,2017,230000.00417
alb,2018,230000.00417
alb,2019,150000.00596
arg,2005,90000.00358
arg,2006,159999.99642
arg,2007,189999.99762
arg,2008,159999.99642
arg,2009,180000.00715
arg,2010,170000.00179
arg,2011,50000.00075
arg,2012,19999.99955
arg,2013,9999.99978
arg,2014,9999.99978
arg,2015,19999.99955
arg,2016,9999.99978
arg,2018,19999.99955
arg,2019,19999.99955
arm,2005,500000
arm,2006,430000.00715
arm,2007,430000.00715
arm,2008,680000.00715
arm,2009,409999.99642
arm,2010,680000.00715
arm,2011,209999.99344
arm,2012,509999.99046
arm,2013,1129999.99523
arm,2014,389999.98569
arm,2015,289999.99166
arm,2016,409999.99642
arm,2017,379999.99523
arm,2018,589999.97377
arm,2019,629999.99523
atg,2008,19999.99955
atg,2014,9999.99978
aze,2005,39999.99911
aze,2006,39999.99911
aze,2007,59999.99866
aze,2008,39999.99911
aze,2009,70000.0003
aze,2010,109999.9994
aze,2011,50000.00075
aze,2012,159999.99642
aze,2013,159999.99642
aze,2014,79999.99821
aze,2015,39999.99911
aze,2016,70000.0003
aze,2017,50000.00075
aze,2018,39999.99911
aze,2019,79999.99821
bdi,2005,39999.99911
bdi,2013,9999.99978
ben,2005,9999.99978
ben,2006,9999.99978
ben,2007,9999.99978
ben,2008,39999.99911
ben,2010,19999.99955
ben,2011,19999.99955
ben,2012,19999.99955
ben,2013,29999.99933
ben,2014,19999.99955
ben,2015,9999.99978
ben,2016,9999.99978
ben,2017,9999.99978
bfa,2005,289999.99166
bfa,2007,259999.99046
bfa,2009,39999.99911
bfa,2010,19999.99955
bfa,2013,9999.99978
bfa,2018,29999.99933
bfa,2019,239999.99464
bgd,2005,9999.99978
bgd,2006,70000.0003
bgd,2007,170000.00179
bgd,2008,9999.99978
bgd,2009,79999.99821
bgd,2011,19999.99955
bgd,2012,9999.99978
bgd,2013,9999.99978
bgd,2014,19999.99955
bgd,2015,19999.99955
bgd,2016,9999.99978
bgd,2017,239999.99464
bgd,2018,19999.99955
bgd,2019,19999.99955
bih,2005,1340000.03338
bih,2006,2130000.11444
bih,2007,2609999.8951
bih,2008,3299999.95232
bih,2009,4969999.79019
bih,2010,3099999.90463
bih,2011,3579999.92371
bih,2012,3170000.07629
bih,2013,3539999.96185
bih,2014,3640000.1049
bih,2015,3720000.02861
bih,2016,3029999.97139
bih,2017,3519999.98093
bih,2018,6369999.88556
bih,2019,4449999.80927
blr,2005,1190000.05722
blr,2006,1710000.03815
blr,2007,1450000.04768
blr,2008,1700000.04768
blr,2009,1500000
blr,2010,1649999.97616
blr,2011,1779999.97139
