geo,time,dc_dac_bell_cd
abw,1997,9999.99978
abw,1999,9999.99978
abw,2000,9999.99978
afg,1973,9999.99978
afg,1974,9999.99978
afg,1975,9999.99978
afg,1976,39999.99911
afg,1977,29999.99933
afg,1978,59999.99866
afg,1979,39999.99911
afg,1984,29999.99933
afg,1985,29999.99933
afg,1989,9999.99978
afg,1990,9999.99978
afg,1992,79999.99821
afg,1993,100000.00149
afg,1994,219999.99881
afg,1995,200000.00298
afg,1996,9999.99978
afg,1997,889999.98569
afg,1998,9999.99978
afg,2001,3690000.05722
afg,2002,7000000
afg,2003,3089999.91417
afg,2004,6960000.03815
afg,2005,5079999.92371
afg,2006,7630000.11444
afg,2007,10640000.34332
afg,2008,10149999.61853
afg,2009,18690000.53406
afg,2010,15180000.30518
afg,2011,16860000.61035
afg,2012,11789999.96185
afg,2013,5750000
afg,2014,5340000.15259
afg,2015,460000.00834
afg,2016,6980000.01907
afg,2017,189999.99762
afg,2018,59999.99866
afg,2019,2250000
ago,1975,70000.0003
ago,1976,170000.00179
ago,1977,419999.98689
ago,1978,500000
ago,1979,3990000.00954
ago,1980,469999.99881
ago,1981,289999.99166
ago,1982,2740000.00954
ago,1983,90000.00358
ago,1984,1850000.02384
ago,1985,129999.99523
ago,1986,170000.00179
ago,1987,129999.99523
ago,1988,370000.00477
ago,1989,860000.01431
ago,1990,4059999.94278
ago,1991,769999.98093
ago,1992,2490000.00954
ago,1993,2589999.91417
ago,1994,3329999.92371
ago,1995,639999.98569
ago,1996,11510000.22888
ago,1997,5780000.20981
ago,1998,3829999.92371
ago,1999,1990000.00954
ago,2000,1340000.03338
ago,2001,1659999.96662
ago,2002,1340000.03338
ago,2003,2759999.99046
ago,2004,2450000.04768
ago,2005,2509999.99046
ago,2006,360000.01431
ago,2007,-6239999.77112
ago,2008,899999.97616
ago,2009,-550000.01192
ago,2010,379999.99523
ago,2011,1120000.00477
ago,2012,140000.0006
ago,2013,170000.00179
ago,2014,59999.99866
ago,2015,-230000.00417
ago,2016,-219999.99881
ago,2017,-189999.99762
alb,1992,140000.0006
alb,1994,250000
alb,1995,620000.00477
alb,1996,79999.99821
alb,1997,159999.99642
alb,1999,3029999.97139
alb,2000,889999.98569
alb,2003,9999.99978
alb,2004,370000.00477
alb,2005,509999.99046
alb,2006,50000.00075
alb,2008,819999.99285
alb,2009,9999.99978
alb,2010,50000.00075
alb,2011,19999.99955
alb,2012,9999.99978
alb,2015,19999.99955
alb,2016,109999.9994
alb,2017,39999.99911
alb,2018,29999.99933
alb,2019,29999.99933
are,1987,9999.99978
are,1988,9999.99978
are,1990,9999.99978
are,1991,9999.99978
are,1992,29999.99933
arg,1966,159999.99642
arg,1967,189999.99762
arg,1968,219999.99881
arg,1969,389999.98569
arg,1970,419999.98689
arg,1971,389999.98569
arg,1972,330000.01311
arg,1973,349999.99404
arg,1974,319999.99285
arg,1975,389999.98569
arg,1976,409999.99642
arg,1977,370000.00477
arg,1978,379999.99523
arg,1979,239999.99464
arg,1980,409999.99642
