geo,time,dc_dac_gbrl_cd
abw,2002,19999.99955
afg,1964,439999.99762
afg,1965,1509999.99046
afg,1966,370000.00477
afg,1967,750000
afg,1968,200000.00298
afg,1969,419999.98689
afg,1970,-29999.99933
afg,1971,250000
afg,1972,219999.99881
afg,1973,430000.00715
afg,1974,439999.99762
afg,1975,219999.99881
afg,1976,660000.02623
afg,1977,2950000.04768
afg,1978,1669999.95708
afg,1979,2859999.8951
afg,1980,1129999.99523
afg,1981,50000.00075
afg,1982,19999.99955
afg,1983,250000
afg,1984,419999.98689
afg,1985,519999.98093
afg,1986,550000.01192
afg,1987,970000.02861
afg,1988,2309999.94278
afg,1989,4079999.92371
afg,1990,2390000.1049
afg,1991,3210000.03815
afg,1992,3059999.94278
afg,1993,2210000.03815
afg,1994,5260000.22888
afg,1995,10899999.61853
afg,1996,8630000.11444
afg,1997,9479999.54224
afg,1998,9119999.88556
afg,1999,6019999.98093
afg,2000,12649999.61853
afg,2001,35439998.62671
afg,2002,130800003.05176
afg,2003,98610000.61035
afg,2004,224009994.50684
afg,2005,219919998.16895
afg,2006,246490005.49316
afg,2007,268709991.45508
afg,2008,322309997.55859
afg,2009,324390014.64844
afg,2010,234830001.83105
afg,2011,423420013.42773
afg,2012,433920013.42773
afg,2013,331230010.98633
afg,2014,325230010.98633
afg,2015,458250000
afg,2016,317570007.32422
afg,2017,292230010.98633
afg,2018,331730010.98633
afg,2019,372429992.67578
ago,1978,170000.00179
ago,1979,90000.00358
ago,1980,29999.99933
ago,1981,189999.99762
ago,1982,100000.00149
ago,1983,109999.9994
ago,1984,200000.00298
ago,1985,209999.99344
ago,1986,460000.00834
ago,1987,430000.00715
ago,1988,899999.97616
ago,1989,2150000.09537
ago,1990,2150000.09537
ago,1991,3279999.97139
ago,1992,3029999.97139
ago,1993,4840000.15259
ago,1994,25139999.38965
ago,1995,21530000.68665
ago,1996,16159999.84741
ago,1997,5400000.09537
ago,1998,10609999.65668
ago,1999,3559999.94278
ago,2000,8270000.45776
ago,2001,7860000.13351
ago,2002,10229999.54224
ago,2003,13779999.73297
ago,2004,15079999.92371
ago,2005,14050000.19073
ago,2006,12619999.88556
ago,2007,10039999.96185
ago,2008,9550000.19073
ago,2009,4440000.05722
ago,2010,16680000.30518
ago,2011,689999.99762
ago,2012,560000.00238
ago,2013,560000.00238
ago,2014,1509999.99046
ago,2015,1980000.01907
ago,2016,529999.97139
ago,2017,680000.00715
ago,2018,600000.02384
ago,2019,1409999.96662
alb,1992,9999.99978
alb,1993,850000.02384
alb,1994,1720000.02861
alb,1995,2200000.04768
alb,1996,1909999.96662
alb,1997,1419999.95708
alb,1998,870000.00477
alb,1999,16280000.68665
alb,2000,9590000.15259
alb,2001,5309999.94278
alb,2002,4849999.90463
alb,2003,4510000.22888
alb,2004,4030000.20981
alb,2005,3779999.97139
alb,2006,3609999.8951
alb,2007,6760000.22888
alb,2008,2769999.98093
alb,2009,2190000.05722
alb,2010,870000.00477
alb,2011,680000.00715
alb,2012,1019999.98093
alb,2013,1190000.05722
alb,2014,889999.98569
alb,2015,1009999.99046
alb,2016,500000
alb,2017,959999.97854
alb,2018,1500000
alb,2019,3519999.98093
are,1960,409999.99642
are,1961,540000.02146
are,1962,430000.00715
are,1963,389999.98569
are,1964,330000.01311
are,1966,1299999.95232
are,1967,1529999.97139
are,1968,1129999.99523
are,1969,850000.02384
are,1970,479999.98927
are,1971,490000.00954
are,1972,150000.00596
are,1973,79999.99821
are,1974,39999.99911
are,1975,19999.99955
are,1977,9999.99978
are,1978,9999.99978
are,1979,9999.99978
are,1989,-9999.99978
are,1990,9999.99978
are,1994,9999.99978
are,1996,39999.99911
are,2000,50000.00075
are,2002,119999.99732
are,2003,109999.9994
arg,1960,-5559999.94278
arg,1961,-2890000.1049
arg,1962,-3589999.91417
arg,1963,9210000.03815
arg,1964,-3549999.95232
arg,1965,-10399999.61853
arg,1966,-4219999.79019
arg,1967,-3849999.90463
arg,1968,-4570000.17166
arg,1969,-4940000.05722
arg,1970,-4860000.13351
arg,1971,-1269999.98093
arg,1972,-1529999.97139
arg,1973,490000.00954
arg,1974,289999.99166
arg,1975,280000.00119
arg,1976,109999.9994
arg,1977,39999.99911
