geo,time,ny_gdp_mktp_cn_ad
abw,1990,1369147939.77813
abw,1991,1561128300
abw,1992,1715649100
abw,1993,1938533700
abw,1994,2229782000
abw,1995,2363650000
abw,1996,2470130000
abw,1997,2742180000
abw,1998,2980530000
abw,1999,3083810000
abw,2000,3353480000
abw,2001,3437000000.00001
abw,2002,3475000000
abw,2003,3618000000.00001
abw,2004,3989000000
abw,2005,4171999999.99999
abw,2006,4340000000
abw,2007,4681000000.00001
abw,2008,4914000000.00001
abw,2009,4473000000
abw,2010,4278999999.99999
abw,2011,4564000000.00001
abw,2012,4537000000.00001
abw,2013,4882851000
abw,2014,4995620000.00001
abw,2015,5303600000.00002
abw,2016,5340709999.99999
abw,2017,5535450000.00001
afg,2002,182162721300
afg,2003,221358563000
afg,2004,249791940700
afg,2005,308163225800
afg,2006,348048404600
afg,2007,485419056200
afg,2008,515046858600
afg,2009,611692107000
afg,2010,726231122700
afg,2011,850347275400
afg,2012,1028794220100
afg,2013,1138809791300
afg,2014,1176469485800
afg,2015,1222756495400
afg,2016,1222916881100
afg,2017,1285460326500
afg,2018,1327690394700
afg,2019,1469596303300
afg,2020,1547289027600
ago,1990,411.48507
ago,1991,857.35078
ago,1992,4654.18994
ago,1993,36008.73272
ago,1994,830527.94753
ago,1995,18390541.64669
ago,1996,1023300820.63071
ago,1997,2145563192.11359
ago,1998,3130310172.99721
ago,1999,21030814610.1162
ago,2000,112271431782.213
ago,2001,241418711341.896
ago,2002,665385000000
ago,2003,1328940035000
ago,2004,1967571431000
ago,2005,3222352000000
ago,2006,4209762000000
ago,2007,5006335000000
ago,2008,6643353030000
ago,2009,5577340741700
ago,2010,7701651395700
ago,2011,10500941840100
ago,2012,12224949831600
ago,2013,13195003553700
ago,2014,14323859000000
ago,2015,13950290849400
ago,2016,16549565423600
ago,2017,20262296106300
ago,2018,25627742117300
ago,2019,32621698000000
ago,2020,33756422000000
alb,1990,19589754158.8759
alb,1991,19113205093.6341
alb,1992,59069872977.9628
alb,1993,146033546834.798
alb,1994,214846444809.78
alb,1995,267423679290.31296
alb,1996,334359000000
alb,1997,331324000000
alb,1998,384848000000
alb,1999,443594000000
alb,2000,501199000000
alb,2001,563449000000
alb,2002,610494000000
alb,2003,677738000000
alb,2004,737656000000
alb,2005,804163000000
alb,2006,872735000000
alb,2007,965528000000
alb,2008,1080676000000
alb,2009,1143936000000
alb,2010,1239645000000
alb,2011,1300624000000
alb,2012,1332811000000.01001
alb,2013,1350052999999.98999
alb,2014,1395304999999.98999
alb,2015,1434307000000
alb,2016,1472478999999.98999
alb,2017,1550644999999.98999
alb,2018,1636731000000
alb,2019,1691729000000
alb,2020,1617540919999.98999
and,1990,630395100
and,1991,691276900
and,1992,744521400
and,1993,770274000
and,1994,819228800
and,1995,883347000
and,1996,931789600
and,1997,1038925600
and,1998,1088194100
and,1999,1163747900
and,2000,1551090000
and,2001,1728690000
and,2002,1865830000
and,2003,2092490000
and,2004,2331570000
and,2005,2540880000
and,2006,2755130000
and,2007,2887770000
and,2008,2789260000
and,2009,2644840000
and,2010,2602310000
and,2011,2607220000
and,2012,2481850000
and,2013,2404539999.99999
and,2014,2462690000
and,2015,2514510000.00001
and,2016,2616859999.99999
and,2017,2655760000
and,2018,2725270000.00001
and,2019,2818419999.99999
and,2020,2507800000
are,1990,186125000000
are,1991,189248000000
are,1992,199112000000
are,1993,204200000000
are,1994,217709000000
are,1995,241345000000
are,1996,270080000000
are,1997,289418000000
are,1998,277914000000
are,1999,310126000000
are,2000,383179000000
are,2001,379412000000
are,2002,403299999999.99902
are,2003,456661999999.99902
are,2004,542884999999.99902
are,2005,663317651099.99902
are,2006,815723000000
are,2007,947197000000
are,2008,1158580526300
are,2009,931152675000
are,2010,1064244000000
are,2011,1287821000000
are,2012,1375684000000
are,2013,1432670000000
are,2014,1480521000000
are,2015,1315251000000
are,2016,1311248000000
are,2017,1416136223900
are,2018,1550584747600
are,2019,1532224142312.83008
are,2020,1317945540104.90991
arg,1990,68921999360
arg,1991,180898005000
arg,1992,226638004200
arg,1993,236504973300
arg,1994,257440000000
arg,1995,258031750000
arg,1996,272149750000
arg,1997,292859000000
arg,1998,298948250000
arg,1999,283523000000
arg,2000,284203750000
arg,2001,268696750000
arg,2002,312580000000
arg,2003,375909500000
arg,2004,485115194700
arg,2005,582538172899.99902
arg,2006,715904271700
arg,2007,896980174099.99695
arg,2008,1149646090600
arg,2009,1247929268900
arg,2010,1661720925900
arg,2011,2179024103600
arg,2012,2637913848200
arg,2013,3348308488200
arg,2014,4579086425400
arg,2015,5954510895700
arg,2016,8228159556500
arg,2017,10660228494800
arg,2018,14744810677300
arg,2019,21802256302000
arg,2020,27481439972800
arm,1990,50310000
arm,1991,79690000
arm,1992,310190000
arm,1993,4218410000
arm,1994,187065008100
arm,1995,522255990800
arm,1996,661209022500
arm,1997,804334993400
arm,1998,955384987600
