global,time,it_net_user_zs
world,1990,0.04924
world,1991,0.07918
world,1992,0.12536
world,1993,0.1789
world,1994,0.3599
world,1995,0.68146
world,1996,1.32347
world,1997,2.03951
world,1998,3.13641
world,1999,4.62949
world,2000,6.73312
world,2001,8.0576
world,2002,10.52729
world,2003,12.2086
world,2004,14.09537
world,2005,15.69612
world,2006,17.47492
world,2007,20.40295
world,2008,23.09214
world,2009,25.66851
world,2010,28.93312
world,2011,31.3706
world,2012,33.88658
world,2013,35.83993
world,2014,38.06593
world,2015,40.45705
world,2016,43.33835
world,2017,45.83984
world,2018,49.39649
world,2019,54.01299
world,2020,59.94025
