geo,time,dt_nfl_iaea_cd
afg,2006,50000.00075
afg,2007,79999.99821
afg,2008,159999.99642
afg,2009,100000.00149
afg,2010,189999.99762
afg,2011,540000.02146
afg,2012,430000.00715
afg,2013,389999.98569
afg,2014,370000.00477
afg,2015,59600.66617
afg,2016,100812.33829
afg,2017,139127.4929
afg,2018,217124.00019
afg,2019,107908.8375
ago,2006,159999.99642
ago,2007,330000.01311
ago,2008,379999.99523
ago,2009,239999.99464
ago,2010,360000.01431
ago,2011,119999.99732
ago,2012,200000.00298
ago,2013,460000.00834
ago,2014,479999.98927
ago,2015,217947.87049
ago,2016,259083.06241
ago,2017,255822.33071
ago,2018,286902.99392
ago,2019,311304.77786
alb,2006,750000
alb,2007,600000.02384
alb,2008,300000.01192
alb,2009,270000.01073
alb,2010,349999.99404
alb,2011,1129999.99523
alb,2012,430000.00715
alb,2013,699999.98808
alb,2014,379999.99523
alb,2015,274509.16171
alb,2016,789473.176
alb,2017,153545.26043
alb,2018,1114212.98981
alb,2019,157039.01649
arg,2006,680000.00715
arg,2007,899999.97616
arg,2008,699999.98808
arg,2009,819999.99285
arg,2010,750000
arg,2011,250000
arg,2012,400000.00596
arg,2013,1120000.00477
arg,2014,310000.00238
arg,2015,515895.7243
arg,2016,367919.05761
arg,2017,643084.22804
arg,2018,600795.98427
arg,2019,672695.99438
arm,2006,750000
arm,2007,740000.00954
arm,2008,879999.99523
arm,2009,850000.02384
arm,2010,910000.02623
arm,2011,939999.99762
arm,2012,469999.99881
arm,2013,1309999.94278
arm,2014,1039999.96185
arm,2015,137603.99818
arm,2016,134050.20535
arm,2017,272212.83317
arm,2018,1114871.02509
arm,2019,182079.31519
atg,2018,45582.99854
atg,2019,96555.01693
aze,2006,990000.00954
aze,2007,180000.00715
aze,2008,439999.99762
aze,2009,540000.02146
aze,2010,259999.99046
aze,2011,1039999.96185
aze,2012,259999.99046
aze,2013,200000.00298
aze,2014,519999.98093
aze,2015,376350.52204
aze,2016,196360.49867
aze,2017,210213.05025
aze,2018,93327.00074
aze,2019,1202669.97814
bdi,2012,19999.99955
bdi,2013,90000.00358
bdi,2014,150000.00596
bdi,2015,58580.14524
bdi,2016,170805.93109
bdi,2017,100259.27424
bdi,2018,153207.00407
bdi,2019,158724.93386
ben,2006,239999.99464
ben,2007,300000.01192
ben,2008,270000.01073
ben,2009,300000.01192
ben,2010,289999.99166
ben,2011,180000.00715
ben,2012,409999.99642
ben,2013,519999.98093
ben,2014,280000.00119
ben,2015,353477.53763
ben,2016,435783.14781
ben,2017,521373.03352
ben,2018,343037.00924
ben,2019,389500.61798
bfa,2006,259999.99046
bfa,2007,360000.01431
bfa,2008,540000.02146
bfa,2009,800000.01192
bfa,2010,519999.98093
bfa,2011,189999.99762
bfa,2012,230000.00417
bfa,2013,340000.00358
bfa,2014,280000.00119
bfa,2015,328752.07067
bfa,2016,309237.53977
bfa,2017,490204.03624
bfa,2018,554534.01804
bfa,2019,489956.31933
bgd,2006,469999.99881
bgd,2007,699999.98808
bgd,2008,529999.97139
bgd,2009,759999.99046
bgd,2010,920000.01669
bgd,2011,819999.99285
bgd,2012,439999.99762
bgd,2013,639999.98569
bgd,2014,550000.01192
bgd,2015,818668.90192
bgd,2016,822178.84064
bgd,2017,450929.99935
bgd,2018,473937.98828
bgd,2019,257428.43747
bih,2006,330000.01311
bih,2007,230000.00417
bih,2008,610000.01431
bih,2009,340000.00358
bih,2010,740000.00954
bih,2011,289999.99166
bih,2012,150000.00596
bih,2013,519999.98093
bih,2014,400000.00596
bih,2015,371125.90671
bih,2016,90245.381
bih,2017,321756.27351
bih,2018,650704.02622
bih,2019,564522.08757
blr,2006,800000.01192
blr,2007,569999.99285
blr,2008,500000
blr,2009,439999.99762
blr,2010,519999.98093
blr,2011,340000.00358
blr,2012,1389999.98569
blr,2013,419999.98689
blr,2014,439999.99762
blr,2015,638813.0784
blr,2016,263183.23612
blr,2017,406594.51485
blr,2018,411150.99192
blr,2019,266888.23104
blz,2006,9999.99978
blz,2007,39999.99911
blz,2008,50000.00075
blz,2009,90000.00358
blz,2010,300000.01192
blz,2011,140000.0006
blz,2012,180000.00715
blz,2013,159999.99642
blz,2014,70000.0003
blz,2015,152390.46514
blz,2016,156364.36641
blz,2017,225138.0831
blz,2018,211196.00534
blz,2019,274797.55878
bol,2006,529999.97139
bol,2007,209999.99344
bol,2008,449999.98808
bol,2009,90000.00358
bol,2010,170000.00179
bol,2011,409999.99642
bol,2012,490000.00954
bol,2013,100000.00149
bol,2014,70000.0003
bol,2015,135696.06841
bol,2016,136317.37232
bol,2017,89629.12858
bol,2018,95568.00127
bol,2019,122830.47289
bra,2006,649999.97616
bra,2007,939999.99762
bra,2008,1090000.03338
bra,2009,1090000.03338
bra,2010,720000.02861
bra,2011,490000.00954
bra,2012,1059999.94278
bra,2013,870000.00477
bra,2014,569999.99285
bra,2015,469861.3286
bra,2016,507863.64079
bra,2017,479776.79968
bra,2018,825477.00405
bra,2019,1083920.95566
bwa,2006,79999.99821
bwa,2007,200000.00298
bwa,2008,259999.99046
bwa,2009,319999.99285
bwa,2010,460000.00834
bwa,2011,109999.9994
bwa,2012,289999.99166
bwa,2013,250000
bwa,2014,189999.99762
bwa,2015,414864.12287
bwa,2016,273421.88358
bwa,2017,419772.29714
bwa,2018,599030.97153
bwa,2019,541711.68804
caf,2006,50000.00075
caf,2007,250000
caf,2008,360000.01431
caf,2009,330000.01311
caf,2010,579999.98331
caf,2011,379999.99523
caf,2012,209999.99344
caf,2013,230000.00417
caf,2014,70000.0003
caf,2015,132501.39356
caf,2016,205697.11924
caf,2017,205805.43578
caf,2018,279729.99215
caf,2019,296163.35034
chl,2006,709999.97854
chl,2007,720000.02861
chl,2008,519999.98093
chl,2009,620000.00477
chl,2010,589999.97377
chl,2011,189999.99762
chl,2012,430000.00715
chl,2013,839999.97377
chl,2014,550000.01192
chl,2015,311081.52866
chl,2016,729767.85898
chl,2017,472832.82876
chn,2006,1019999.98093
chn,2007,1149999.97616
chn,2008,1269999.98093
chn,2009,949999.98808
chn,2010,1539999.96185
chn,2011,1149999.97616
chn,2012,469999.99881
chn,2013,1000000
chn,2014,529999.97139
chn,2015,871114.79044
chn,2016,645937.7408
chn,2017,890508.41331
chn,2018,976167.02318
chn,2019,562422.9908
civ,2006,19999.99955
civ,2007,170000.00179
civ,2008,409999.99642
civ,2009,159999.99642
civ,2010,319999.99285
civ,2011,70000.0003
civ,2012,59999.99866
civ,2013,330000.01311
civ,2014,379999.99523
civ,2015,256894.05203
civ,2016,141120.86594
civ,2017,226513.35597
civ,2018,412786.9904
civ,2019,242487.07294
cmr,2006,449999.98808
cmr,2007,230000.00417
cmr,2008,449999.98808
cmr,2009,340000.00358
cmr,2010,639999.98569
cmr,2011,209999.99344
cmr,2012,159999.99642
cmr,2013,319999.99285
cmr,2014,270000.01073
cmr,2015,217670.54498
cmr,2016,246316.71607
cmr,2017,387408.40554
cmr,2018,257270.00833
cmr,2019,392509.19223
cod,2006,409999.99642
cod,2007,449999.98808
cod,2008,560000.00238
cod,2009,409999.99642
cod,2010,300000.01192
cod,2011,109999.9994
cod,2012,70000.0003
cod,2013,500000
cod,2014,419999.98689
cod,2015,228430.39036
cod,2016,288612.30612
cod,2017,340525.29931
cod,2018,410104.00653
cod,2019,530804.03805
cog,2016,5582.21806
cog,2017,25014.09128
cog,2018,13516.99978
cog,2019,84513.1278
col,2006,430000.00715
col,2007,579999.98331
col,2008,509999.99046
col,2009,500000
col,2010,649999.97616
col,2011,379999.99523
col,2012,270000.01073
col,2013,219999.99881
col,2014,550000.01192
col,2015,294997.21527
col,2016,641834.43785
col,2017,523368.29901
col,2018,376188.00998
col,2019,228253.64769
cri,2006,200000.00298
cri,2007,300000.01192
cri,2008,509999.99046
cri,2009,159999.99642
cri,2010,310000.00238
cri,2011,159999.99642
cri,2012,159999.99642
cri,2013,250000
cri,2014,810000.00238
cri,2015,341275.66218
cri,2016,703188.24053
cri,2017,566497.56432
cri,2018,342343.00256
cri,2019,464309.63278
cub,2006,879999.99523
cub,2007,800000.01192
cub,2008,1179999.94755
cub,2009,959999.97854
cub,2010,1059999.94278
cub,2011,949999.98808
cub,2012,1250000
cub,2013,610000.01431
cub,2014,1049999.95232
cub,2015,569217.97991
cub,2016,1124881.14834
cub,2017,341506.03414
cub,2018,366997.98703
cub,2019,1175906.41975
dji,2016,66453.94117
dji,2017,52553.26256
dji,2018,30208.00091
dji,2019,21022.09069
dom,2006,70000.0003
dom,2007,70000.0003
dom,2008,70000.0003
dom,2009,90000.00358
dom,2010,209999.99344
dom,2011,200000.00298
dom,2012,159999.99642
dom,2013,330000.01311
dom,2014,170000.00179
dom,2015,83194.67306
dom,2016,86387.92485
dom,2017,8849.0583
dom,2018,11300.99967
dom,2019,38547.5792
dza,2006,1299999.95232
dza,2007,980000.01907
dza,2008,889999.98569
dza,2009,720000.02861
dza,2010,1129999.99523
dza,2011,300000.01192
dza,2012,639999.98569
dza,2013,409999.99642
dza,2014,639999.98569
dza,2015,394486.96375
dza,2016,453015.35726
dza,2017,348855.82328
dza,2018,416680.00817
dza,2019,290019.15455
ecu,2006,550000.01192
ecu,2007,500000
ecu,2008,419999.98689
ecu,2009,270000.01073
ecu,2010,469999.99881
ecu,2011,409999.99642
ecu,2012,189999.99762
ecu,2013,270000.01073
ecu,2014,310000.00238
ecu,2015,378214.09106
ecu,2016,766846.29917
ecu,2017,560545.6233
ecu,2018,398703.99237
ecu,2019,444732.21898
egy,2006,1019999.98093
egy,2007,850000.02384
egy,2008,839999.97377
egy,2009,629999.99523
egy,2010,680000.00715
egy,2011,370000.00477
egy,2012,230000.00417
egy,2013,790000.02146
egy,2014,629999.99523
egy,2015,577093.72044
egy,2016,474737.13756
egy,2017,371908.45609
egy,2018,236425.99583
egy,2019,608358.74081
eri,2006,90000.00358
