income_groups,time,income_mountain_50bracket_shape_for_log
high_income,1944,"0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,10,17,34,70,160,360,785,1594,2892,4643,6548,7468,6954,5234,3120,1761,1026,591,325,172,89,44,22,11,6,3,1,1,0,0,0,0,0"
high_income,1945,"0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,6,10,17,29,54,111,245,527,1098,2116,3607,5540,7177,7476,6405,4331,2448,1401,811,451,243,126,64,32,16,8,4,2,1,0,0,0,0,0"
high_income,1946,"0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,7,11,18,32,60,129,285,637,1353,2639,4570,6660,7690,7160,5524,3529,2043,1141,617,323,165,83,42,22,11,6,3,2,1,1,0,0,0"
high_income,1947,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,6,11,18,32,66,176,551,1558,3434,6148,9736,13346,15583,16133,15001,12481,9153,5227,2103,694,228,95,44,20,11,5,3,1,1,1,0,0"
high_income,1948,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,10,18,38,103,357,1121,2658,5012,8254,12200,15458,16850,16212,13799,10338,6256,2693,928,310,124,57,26,13,7,4,2,1,1,0,0"
high_income,1949,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,10,16,28,70,246,832,2093,4089,6924,10780,14780,17276,17455,15408,11828,7504,3440,1240,424,164,72,33,15,8,4,2,1,1,0,0"
high_income,1950,"737,864,934,952,896,773,600,404,227,101,41,96,298,682,1207,1646,1681,1263,868,1403,3231,6031,10651,23168,57890,140927,321496,621834,799296,818726,696944,556438,340474,174965,91637,49654,25308,12460,6363,4081,3195,2247,1215,495,170,57,26,17,10,7"
high_income,1951,"716,860,945,976,938,827,660,462,273,130,51,77,246,598,1119,1633,1801,1489,1029,1321,2936,5611,9603,19268,47399,115634,268021,556311,782655,836936,738270,602739,399617,207915,106867,58113,30207,14912,7445,4429,3418,2525,1464,630,225,71,29,19,12,8"
high_income,1952,"738,884,970,1001,960,845,673,469,276,129,49,76,252,612,1142,1653,1799,1443,940,1208,2804,5439,9369,19135,47861,117967,275177,570391,796334,848315,745439,607832,400490,208057,107381,58747,30765,15182,7542,4491,3474,2559,1475,632,223,71,30,18,13,8"
high_income,1953,"743,896,989,1026,991,878,706,498,297,142,54,71,237,591,1125,1665,1854,1523,983,1154,2670,5258,8967,17803,44425,110076,259549,552217,797658,862207,767188,629045,425274,222228,114455,62964,33517,16604,8132,4695,3598,2692,1588,693,246,77,31,18,13,8"
high_income,1954,"733,897,1003,1048,1027,922,754,545,335,167,64,61,205,534,1057,1631,1899,1639,1067,1050,2348,4782,8123,15393,37960,95270,229394,504785,784396,873609,801285,660110,470356,251001,128586,70520,38254,19231,9318,5106,3786,2909,1798,824,298,92,35,19,13,8"
high_income,1955,"712,889,1010,1068,1063,971,810,603,385,203,83,57,172,471,976,1583,1961,1823,1286,1130,2294,4870,8663,16099,37645,91712,214901,470411,785708,907288,860908,710358,532104,295610,150664,81158,43958,22173,10823,5732,4067,3182,2071,1004,373,116,39,19,13,8"
high_income,1956,"689,879,1016,1085,1096,1017,864,658,433,238,102,53,143,410,891,1512,1972,1935,1422,1095,1981,4322,7788,13850,31183,77024,183934,412171,748804,910180,898623,751144,584149,339534,172742,91417,49737,25267,12308,6308,4267,3392,2315,1187,455,143,44,20,13,8"
high_income,1957,"686,884,1030,1107,1123,1050,899,692,462,257,113,53,130,387,859,1488,1985,1991,1482,1072,1803,3975,7168,12480,27728,69866,170432,387826,731514,915975,921964,779429,615282,366821,186649,97548,52790,26743,13000,6604,4369,3497,2440,1281,497,154,43,16,11,8"
high_income,1958,"732,928,1069,1139,1147,1060,896,678,442,239,100,54,153,442,953,1601,2059,1981,1404,1052,1954,4231,7355,12777,29494,75478,186473,428137,778361,940832,925788,775642,602155,345419,175547,93249,50606,25589,12389,6345,4347,3466,2341,1177,441,133,37,17,11,8"
high_income,1959,"708,919,1075,1160,1180,1108,954,739,497,280,126,57,130,389,875,1535,2080,2125,1623,1189,1946,4327,7953,13955,30095,73748,176205,396836,758381,964756,980375,832334,663049,402281,205719,107504,58737,30160,14594,7265,4663,3715,2619,1394,545,169,46,17,11,7"
high_income,1960,"682,910,1082,1181,1214,1158,1012,801,553,323,151,62,108,339,796,1456,2069,2222,1785,1248,1753,3927,7431,12819,26361,64301,154372,351727,709235,961512,1010995,880399,715712,461296,238709,123377,67651,35202,17068,8317,5018,3955,2895,1628,666,216,58,19,11,7"
