phase_from,phase_to,year,amount
Agricultural 'waste',Bio-conversion,2014,124.729
Bio-conversion,Liquid,2014,0.597
Bio-conversion,Losses,2014,26.862
Bio-conversion,Solid,2014,280.322
Bio-conversion,Gas,2014,81.144
Biofuel imports,Liquid,2014,35
Biomass imports,Solid,2014,35
Coal imports,Coal,2014,11.606
Coal reserves,Coal,2014,63.965
Coal,Solid,2014,75.571
District heating,Industry,2014,10.639
District heating,Heating and cooling - commercial,2014,22.505
District heating,Heating and cooling - homes,2014,46.184
Electricity grid,Over generation / exports,2014,104.453
Electricity grid,Heating and cooling - homes,2014,113.726
Electricity grid,H2 conversion,2014,27.14
Electricity grid,Industry,2014,342.165
Electricity grid,Road transport,2014,37.797
Electricity grid,Agriculture,2014,4.412
Electricity grid,Heating and cooling - commercial,2014,40.858
Electricity grid,Losses,2014,56.691
Electricity grid,Rail transport,2014,7.863
Electricity grid,Lighting & appliances - commercial,2014,90.008
Electricity grid,Lighting & appliances - homes,2014,93.494
Gas imports,Ngas,2014,40.719
Gas reserves,Ngas,2014,82.233
Gas,Heating and cooling - commercial,2014,0.129
Gas,Losses,2014,1.401
Gas,Thermal generation,2014,151.891
Gas,Agriculture,2014,2.096
Gas,Industry,2014,48.58
Geothermal,Electricity grid,2014,7.013
H2 conversion,H2,2014,20.897
H2 conversion,Losses,2014,6.242
H2,Road transport,2014,20.897
Hydro,Electricity grid,2014,6.995
Liquid,Industry,2014,121.066
Liquid,International shipping,2014,128.69
Liquid,Road transport,2014,135.835
Liquid,Domestic aviation,2014,14.458
Liquid,International aviation,2014,206.267
Liquid,Agriculture,2014,3.64
Liquid,National navigation,2014,33.218
Liquid,Rail transport,2014,4.413
Marine algae,Bio-conversion,2014,4.375
Ngas,Gas,2014,122.952
Nuclear,Thermal generation,2014,839.978
Oil imports,Oil,2014,504.287
Oil reserves,Oil,2014,107.703
Oil,Liquid,2014,611.99
Other waste,Solid,2014,56.587
Other waste,Bio-conversion,2014,77.81
Pumped heat,Heating and cooling - homes,2014,193.026
Pumped heat,Heating and cooling - commercial,2014,70.672
Solar PV,Electricity grid,2014,59.901
Solar Thermal,Heating and cooling - homes,2014,19.263
Solar,Solar Thermal,2014,19.263
Solar,Solar PV,2014,59.901
Solid,Agriculture,2014,0.882
Solid,Thermal generation,2014,400.12
Solid,Industry,2014,46.477
Thermal generation,Electricity grid,2014,525.531
Thermal generation,Losses,2014,787.129
Thermal generation,District heating,2014,79.329
Tidal,Electricity grid,2014,9.452
UK land based bioenergy,Bio-conversion,2014,182.01
Wave,Electricity grid,2014,19.013
Wind,Electricity grid,2014,289.366
Agricultural 'waste',Bio-conversion,2015,210.7290
Bio-conversion,Liquid,2015,97.5970
Bio-conversion,Losses,2015,39.8620
Bio-conversion,Solid,2015,339.3220
Bio-conversion,Gas,2015,179.1440
Biofuel imports,Liquid,2015,120.0000
Biomass imports,Solid,2015,99.0000
Coal imports,Coal,2015,106.6060
Coal reserves,Coal,2015,65.9650
Coal,Solid,2015,80.5710
District heating,Industry,2015,43.6390
District heating,Heating and cooling - commercial,2015,25.5050
District heating,Heating and cooling - homes,2015,121.1840
Electricity grid,Over generation / exports,2015,130.4530
Electricity grid,Heating and cooling - homes,2015,191.7260
Electricity grid,H2 conversion,2015,37.1400
Electricity grid,Industry,2015,348.1650
Electricity grid,Road transport,2015,50.7970
Electricity grid,Agriculture,2015,64.4120
Electricity grid,Heating and cooling - commercial,2015,88.8580
Electricity grid,Losses,2015,61.6910
Electricity grid,Rail transport,2015,32.8630
Electricity grid,Lighting & appliances - commercial,2015,116.0080
Electricity grid,Lighting & appliances - homes,2015,191.4940
Gas imports,Ngas,2015,139.7190
Gas reserves,Ngas,2015,168.2330
Gas,Heating and cooling - commercial,2015,59.1290
