country,time,ilevels3_wb
afg,1987,Low income
afg,1988,Low income
afg,1989,Low income
afg,1990,Low income
afg,1991,Low income
afg,1992,Low income
afg,1993,Low income
afg,1994,Low income
afg,1995,Low income
afg,1996,Low income
afg,1997,Low income
afg,1998,Low income
afg,1999,Low income
afg,2000,Low income
afg,2001,Low income
afg,2002,Low income
afg,2003,Low income
afg,2004,Low income
afg,2005,Low income
afg,2006,Low income
afg,2007,Low income
afg,2008,Low income
afg,2009,Low income
afg,2010,Low income
afg,2011,Low income
afg,2012,Low income
afg,2013,Low income
afg,2014,Low income
afg,2015,Low income
afg,2016,Low income
afg,2017,Low income
afg,2018,Low income
afg,2019,Low income
afg,2020,Low income
ago,1987,Middle income
ago,1988,Middle income
ago,1989,Middle income
ago,1990,Middle income
ago,1991,Middle income
ago,1992,Middle income
ago,1993,Middle income
ago,1994,Middle income
ago,1995,Low income
ago,1996,Low income
ago,1997,Low income
ago,1998,Low income
ago,1999,Low income
ago,2000,Low income
ago,2001,Low income
ago,2002,Low income
ago,2003,Low income
ago,2004,Middle income
ago,2005,Middle income
ago,2006,Middle income
ago,2007,Middle income
ago,2008,Middle income
ago,2009,Middle income
ago,2010,Middle income
ago,2011,Middle income
ago,2012,Middle income
ago,2013,Middle income
ago,2014,Middle income
ago,2015,Middle income
ago,2016,Middle income
ago,2017,Middle income
ago,2018,Middle income
ago,2019,Middle income
ago,2020,Middle income
alb,1987,Middle income
alb,1988,Middle income
alb,1989,Middle income
alb,1990,Middle income
alb,1991,Middle income
alb,1992,Middle income
alb,1993,Low income
alb,1994,Low income
alb,1995,Low income
alb,1996,Middle income
alb,1997,Low income
alb,1998,Middle income
alb,1999,Middle income
alb,2000,Middle income
alb,2001,Middle income
alb,2002,Middle income
alb,2003,Middle income
alb,2004,Middle income
alb,2005,Middle income
alb,2006,Middle income
alb,2007,Middle income
alb,2008,Middle income
alb,2009,Middle income
alb,2010,Middle income
alb,2011,Middle income
alb,2012,Middle income
alb,2013,Middle income
alb,2014,Middle income
alb,2015,Middle income
alb,2016,Middle income
alb,2017,Middle income
alb,2018,Middle income
alb,2019,Middle income
alb,2020,Middle income
and,1987,High income
and,1988,High income
and,1989,High income
and,1990,High income
and,1991,High income
and,1992,High income
and,1993,High income
and,1994,High income
and,1995,High income
and,1996,High income
and,1997,High income
and,1998,High income
and,1999,High income
and,2000,High income
and,2001,High income
and,2002,High income
and,2003,High income
and,2004,High income
and,2005,High income
and,2006,High income
and,2007,High income
and,2008,High income
and,2009,High income
and,2010,High income
and,2011,High income
and,2012,High income
and,2013,High income
and,2014,High income
and,2015,High income
and,2016,High income
and,2017,High income
and,2018,High income
and,2019,High income
and,2020,High income
are,1987,High income
are,1988,High income
are,1989,High income
are,1990,High income
are,1991,High income
are,1992,High income
are,1993,High income
are,1994,High income
are,1995,High income
are,1996,High income
are,1997,High income
are,1998,High income
are,1999,High income
are,2000,High income
are,2001,High income
are,2002,High income
are,2003,High income
are,2004,High income
are,2005,High income
are,2006,High income
are,2007,High income
are,2008,High income
are,2009,High income
are,2010,High income
are,2011,High income
are,2012,High income
are,2013,High income
are,2014,High income
are,2015,High income
are,2016,High income
are,2017,High income
are,2018,High income
are,2019,High income
are,2020,High income
arg,1987,Middle income
arg,1988,Middle income
arg,1989,Middle income
arg,1990,Middle income
arg,1991,Middle income
arg,1992,Middle income
arg,1993,Middle income
arg,1994,Middle income
arg,1995,Middle income
arg,1996,Middle income
arg,1997,Middle income
arg,1998,Middle income
arg,1999,Middle income
arg,2000,Middle income
arg,2001,Middle income
arg,2002,Middle income
arg,2003,Middle income
arg,2004,Middle income
arg,2005,Middle income
arg,2006,Middle income
arg,2007,Middle income
arg,2008,Middle income
arg,2009,Middle income
arg,2010,Middle income
arg,2011,Middle income
arg,2012,Middle income
arg,2013,Middle income
arg,2014,High income
arg,2015,Middle income
arg,2016,Middle income
arg,2017,High income
arg,2018,Middle income
arg,2019,Middle income
arg,2020,Middle income
arm,1987,Middle income
arm,1988,Middle income
arm,1989,Middle income
arm,1990,Middle income
arm,1991,Middle income
arm,1992,Middle income
arm,1993,Low income
arm,1994,Low income
arm,1995,Low income
arm,1996,Low income
arm,1997,Low income
arm,1998,Low income
arm,1999,Low income
arm,2000,Low income
arm,2001,Low income
arm,2002,Middle income
arm,2003,Middle income
arm,2004,Middle income
arm,2005,Middle income
arm,2006,Middle income
arm,2007,Middle income
arm,2008,Middle income
arm,2009,Middle income
arm,2010,Middle income
arm,2011,Middle income
arm,2012,Middle income
arm,2013,Middle income
arm,2014,Middle income
arm,2015,Middle income
arm,2016,Middle income
arm,2017,Middle income
arm,2018,Middle income
arm,2019,Middle income
arm,2020,Middle income
atg,1987,Middle income
atg,1988,Middle income
atg,1989,Middle income
atg,1990,Middle income
atg,1991,Middle income
atg,1992,Middle income
atg,1993,Middle income
atg,1994,Middle income
atg,1995,Middle income
atg,1996,Middle income
atg,1997,Middle income
atg,1998,Middle income
atg,1999,Middle income
atg,2000,Middle income
atg,2001,Middle income
atg,2002,High income
atg,2003,Middle income
atg,2004,Middle income
atg,2005,High income
atg,2006,High income
atg,2007,High income
atg,2008,High income
atg,2009,Middle income
atg,2010,Middle income
atg,2011,Middle income
atg,2012,High income
atg,2013,High income
atg,2014,High income
atg,2015,High income
atg,2016,High income
atg,2017,High income
atg,2018,High income
atg,2019,High income
atg,2020,High income
aus,1987,High income
aus,1988,High income
aus,1989,High income
aus,1990,High income
aus,1991,High income
aus,1992,High income
aus,1993,High income
aus,1994,High income
aus,1995,High income
aus,1996,High income
aus,1997,High income
aus,1998,High income
aus,1999,High income
aus,2000,High income
aus,2001,High income
aus,2002,High income
aus,2003,High income
aus,2004,High income
aus,2005,High income
aus,2006,High income
aus,2007,High income
aus,2008,High income
aus,2009,High income
aus,2010,High income
aus,2011,High income
aus,2012,High income
aus,2013,High income
aus,2014,High income
aus,2015,High income
aus,2016,High income
aus,2017,High income
aus,2018,High income
aus,2019,High income
aus,2020,High income
aut,1987,High income
aut,1988,High income
aut,1989,High income
aut,1990,High income
aut,1991,High income
aut,1992,High income
aut,1993,High income
aut,1994,High income
aut,1995,High income
aut,1996,High income
aut,1997,High income
aut,1998,High income
aut,1999,High income
aut,2000,High income
aut,2001,High income
aut,2002,High income
aut,2003,High income
aut,2004,High income
aut,2005,High income
aut,2006,High income
aut,2007,High income
aut,2008,High income
aut,2009,High income
aut,2010,High income
aut,2011,High income
aut,2012,High income
aut,2013,High income
aut,2014,High income
aut,2015,High income
aut,2016,High income
aut,2017,High income
aut,2018,High income
aut,2019,High income
aut,2020,High income
aze,1987,Middle income
aze,1988,Middle income
aze,1989,Middle income
aze,1990,Middle income
aze,1991,Middle income
aze,1992,Middle income
aze,1993,Middle income
aze,1994,Low income
aze,1995,Low income
aze,1996,Low income
aze,1997,Low income
aze,1998,Low income
aze,1999,Low income
aze,2000,Low income
aze,2001,Low income
aze,2002,Low income
aze,2003,Middle income
aze,2004,Middle income
aze,2005,Middle income
aze,2006,Middle income
aze,2007,Middle income
aze,2008,Middle income
aze,2009,Middle income
aze,2010,Middle income
aze,2011,Middle income
aze,2012,Middle income
aze,2013,Middle income
aze,2014,Middle income
aze,2015,Middle income
aze,2016,Middle income
aze,2017,Middle income
aze,2018,Middle income
aze,2019,Middle income
aze,2020,Middle income
bdi,1987,Low income
bdi,1988,Low income
bdi,1989,Low income
bdi,1990,Low income
bdi,1991,Low income
bdi,1992,Low income
bdi,1993,Low income
bdi,1994,Low income
bdi,1995,Low income
bdi,1996,Low income
bdi,1997,Low income
bdi,1998,Low income
bdi,1999,Low income
bdi,2000,Low income
bdi,2001,Low income
bdi,2002,Low income
bdi,2003,Low income
bdi,2004,Low income
bdi,2005,Low income
bdi,2006,Low income
bdi,2007,Low income
bdi,2008,Low income
bdi,2009,Low income
bdi,2010,Low income
bdi,2011,Low income
bdi,2012,Low income
bdi,2013,Low income
bdi,2014,Low income
bdi,2015,Low income
bdi,2016,Low income
bdi,2017,Low income
bdi,2018,Low income
bdi,2019,Low income
bdi,2020,Low income
bel,1987,High income
bel,1988,High income
bel,1989,High income
bel,1990,High income
bel,1991,High income
bel,1992,High income
bel,1993,High income
bel,1994,High income
bel,1995,High income
bel,1996,High income
bel,1997,High income
bel,1998,High income
bel,1999,High income
bel,2000,High income
bel,2001,High income
bel,2002,High income
bel,2003,High income
bel,2004,High income
bel,2005,High income
bel,2006,High income
bel,2007,High income
bel,2008,High income
bel,2009,High income
bel,2010,High income
bel,2011,High income
bel,2012,High income
bel,2013,High income
bel,2014,High income
bel,2015,High income
bel,2016,High income
bel,2017,High income
bel,2018,High income
bel,2019,High income
bel,2020,High income
ben,1987,Low income
ben,1988,Low income
ben,1989,Low income
ben,1990,Low income
ben,1991,Low income
ben,1992,Low income
ben,1993,Low income
ben,1994,Low income
ben,1995,Low income
ben,1996,Low income
ben,1997,Low income
ben,1998,Low income
ben,1999,Low income
ben,2000,Low income
ben,2001,Low income
ben,2002,Low income
ben,2003,Low income
ben,2004,Low income
ben,2005,Low income
ben,2006,Low income
ben,2007,Low income
ben,2008,Low income
ben,2009,Low income
ben,2010,Low income
ben,2011,Low income
ben,2012,Low income
ben,2013,Low income
ben,2014,Low income
ben,2015,Low income
ben,2016,Low income
ben,2017,Low income
ben,2018,Low income
ben,2019,Middle income
ben,2020,Middle income
bfa,1987,Low income
bfa,1988,Low income
bfa,1989,Low income
bfa,1990,Low income
bfa,1991,Low income
bfa,1992,Low income
bfa,1993,Low income
bfa,1994,Low income
bfa,1995,Low income
bfa,1996,Low income
bfa,1997,Low income
bfa,1998,Low income
bfa,1999,Low income
bfa,2000,Low income
bfa,2001,Low income
bfa,2002,Low income
bfa,2003,Low income
bfa,2004,Low income
bfa,2005,Low income
bfa,2006,Low income
bfa,2007,Low income
bfa,2008,Low income
bfa,2009,Low income
bfa,2010,Low income
bfa,2011,Low income
bfa,2012,Low income
bfa,2013,Low income
bfa,2014,Low income
bfa,2015,Low income
bfa,2016,Low income
bfa,2017,Low income
bfa,2018,Low income
bfa,2019,Low income
bfa,2020,Low income
bgd,1987,Low income
bgd,1988,Low income
bgd,1989,Low income
bgd,1990,Low income
bgd,1991,Low income
bgd,1992,Low income
bgd,1993,Low income
bgd,1994,Low income
bgd,1995,Low income
bgd,1996,Low income
bgd,1997,Low income
bgd,1998,Low income
bgd,1999,Low income
bgd,2000,Low income
bgd,2001,Low income
bgd,2002,Low income
bgd,2003,Low income
bgd,2004,Low income
bgd,2005,Low income
bgd,2006,Low income
bgd,2007,Low income
bgd,2008,Low income
bgd,2009,Low income
bgd,2010,Low income
bgd,2011,Low income
bgd,2012,Low income
bgd,2013,Low income
bgd,2014,Middle income
bgd,2015,Middle income
bgd,2016,Middle income
bgd,2017,Middle income
bgd,2018,Middle income
bgd,2019,Middle income
bgd,2020,Middle income
bgr,1987,Middle income
bgr,1988,Middle income
bgr,1989,Middle income
bgr,1990,Middle income
bgr,1991,Middle income
bgr,1992,Middle income
bgr,1993,Middle income
bgr,1994,Middle income
bgr,1995,Middle income
bgr,1996,Middle income
bgr,1997,Middle income
bgr,1998,Middle income
bgr,1999,Middle income
bgr,2000,Middle income
bgr,2001,Middle income
bgr,2002,Middle income
bgr,2003,Middle income
bgr,2004,Middle income
bgr,2005,Middle income
bgr,2006,Middle income
bgr,2007,Middle income
bgr,2008,Middle income
bgr,2009,Middle income
bgr,2010,Middle income
bgr,2011,Middle income
bgr,2012,Middle income
bgr,2013,Middle income
bgr,2014,Middle income
bgr,2015,Middle income
bgr,2016,Middle income
bgr,2017,Middle income
bgr,2018,Middle income
bgr,2019,Middle income
bgr,2020,Middle income
bhr,1987,High income
bhr,1988,High income
bhr,1989,High income
bhr,1990,Middle income
bhr,1991,Middle income
bhr,1992,Middle income
bhr,1993,Middle income
bhr,1994,Middle income
bhr,1995,Middle income
bhr,1996,Middle income
bhr,1997,Middle income
bhr,1998,Middle income
bhr,1999,Middle income
bhr,2000,Middle income
bhr,2001,High income
bhr,2002,High income
bhr,2003,High income
bhr,2004,High income
bhr,2005,High income
bhr,2006,High income
bhr,2007,High income
bhr,2008,High income
bhr,2009,High income
bhr,2010,High income
bhr,2011,High income
bhr,2012,High income
bhr,2013,High income
bhr,2014,High income
bhr,2015,High income
bhr,2016,High income
bhr,2017,High income
bhr,2018,High income
bhr,2019,High income
bhr,2020,High income
bhs,1987,High income
bhs,1988,High income
bhs,1989,High income
bhs,1990,High income
bhs,1991,High income
bhs,1992,High income
bhs,1993,High income
bhs,1994,High income
bhs,1995,High income
bhs,1996,High income
bhs,1997,High income
bhs,1998,High income
bhs,1999,High income
bhs,2000,High income
bhs,2001,High income
bhs,2002,High income
bhs,2003,High income
bhs,2004,High income
bhs,2005,High income
bhs,2006,High income
bhs,2007,High income
bhs,2008,High income
