world_4region,time,hmless_nd
africa,1900,0
africa,1901,0
africa,1902,0
africa,1903,0
africa,1904,0
africa,1905,0
africa,1906,0
africa,1907,0
africa,1908,0
africa,1909,0
africa,1910,0
africa,1911,0
africa,1912,0
africa,1913,0
africa,1914,0
africa,1915,0
africa,1916,0
africa,1917,0
africa,1918,0
africa,1919,0
africa,1920,0
africa,1921,0
africa,1922,0
africa,1923,0
africa,1924,0
africa,1925,0
africa,1926,0
africa,1927,0
africa,1928,0
africa,1929,0
africa,1930,0
africa,1931,0
africa,1932,0
africa,1933,0
africa,1934,0
africa,1935,0
africa,1936,0
africa,1937,0
africa,1938,0
africa,1939,7500
africa,1940,0
africa,1941,0
africa,1942,0
africa,1943,0
africa,1944,0
africa,1945,0
africa,1946,0
africa,1947,0
africa,1948,0
africa,1949,0
africa,1950,0
africa,1951,0
africa,1952,0
africa,1953,0
africa,1954,129250
africa,1955,0
africa,1956,0
africa,1957,0
africa,1958,0
africa,1959,0
africa,1960,1250
africa,1961,0
africa,1962,0
africa,1963,5000
africa,1964,3900
africa,1965,12000
africa,1966,15900
africa,1967,3868
africa,1968,16168
africa,1969,3955
africa,1970,0
africa,1971,0
africa,1972,10000
africa,1973,66000
africa,1974,18000
africa,1975,0
africa,1976,28850
africa,1977,149900
africa,1978,34000
africa,1979,5732
africa,1980,443000
africa,1981,1085
africa,1982,152216
africa,1983,30000
africa,1984,1970
africa,1985,166972
africa,1986,8500
africa,1987,83700
africa,1988,1347700
africa,1989,150000
africa,1990,32868
africa,1991,277100
africa,1992,27520
africa,1993,38389
africa,1994,1092069
africa,1995,358792
africa,1996,84546
africa,1997,328220
africa,1998,247050
africa,1999,418018
africa,2000,347600
africa,2001,21252
africa,2002,172650
africa,2003,345263
africa,2004,351854
africa,2005,124211
africa,2006,95224
africa,2007,642745
africa,2008,276242
africa,2009,74272
africa,2010,255375
africa,2011,47721
africa,2012,88728
africa,2013,7321
africa,2014,40586
africa,2015,222195
africa,2016,170010
africa,2017,50055
africa,2018,104193
africa,2019,6282
africa,2020,22645
americas,1900,0
americas,1901,0
americas,1902,0
americas,1903,0
americas,1904,0
americas,1905,0
americas,1906,84564
americas,1907,0
americas,1908,0
americas,1909,0
americas,1910,0
americas,1911,200
americas,1912,97320
americas,1913,0
americas,1914,0
americas,1915,0
americas,1916,0
americas,1917,0
americas,1918,0
americas,1919,0
americas,1920,0
americas,1921,0
americas,1922,11000
americas,1923,1300
americas,1924,0
americas,1925,0
americas,1926,0
americas,1927,0
americas,1928,0
americas,1929,0
americas,1930,0
americas,1931,0
americas,1932,2000
americas,1933,0
americas,1934,0
americas,1935,0
americas,1936,0
americas,1937,0
americas,1938,0
americas,1939,0
americas,1940,2000
americas,1941,0
americas,1942,0
americas,1943,0
americas,1944,2000
americas,1945,0
americas,1946,0
americas,1947,0
americas,1948,0
americas,1949,0
americas,1950,40000
americas,1951,0
americas,1952,270
americas,1953,1000
americas,1954,0
americas,1955,2000
americas,1956,0
americas,1957,0
americas,1958,0
americas,1959,0
americas,1960,0
americas,1961,0
americas,1962,0
americas,1963,0
americas,1964,0
americas,1965,113000
americas,1966,115256
americas,1967,95800
americas,1968,9603
americas,1969,17384
americas,1970,137992
americas,1971,3900
americas,1972,375000
americas,1973,30084
americas,1974,1500
americas,1975,80300
americas,1976,1291000
americas,1977,127200
americas,1978,27500
americas,1979,472100
americas,1980,859400
americas,1981,5000
americas,1982,113000
americas,1983,297000
americas,1984,157094
americas,1985,711375
americas,1986,393966
americas,1987,239920
americas,1988,129675
americas,1989,364289
americas,1990,58500
